feature_name,included_flag,feature_family,trainability_status,imputation_policy,missingness_flag_created,encoding_policy,transform_policy,model_ready_dtype,selection_reason,exclusion_reason
feature_stock_strain,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_stock_to_promo_days_ratio,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,cap_by_percentile,float64,trainability_MODEL_READY,
feature_stock_exposure_vs_promo_days,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_sellthrough_pressure_index,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_commitment_pressure_ratio,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_on_order_support_ratio,YES,feature_engineered,SPARSE_SIGNAL_KEEP,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_SPARSE_SIGNAL_KEEP,
feature_inventory_congestion,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_overhang_risk,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_underallocation_risk,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_overhang_capital_risk,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_pre_promo_rolling_demand_units,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_pre_promo_baseline_daily_units,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
