shadow_run_id,store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,human_buyer_decision,human_order_units,human_decision_reason,human_override_flag,human_override_reason,human_confidence_score,human_reviewer,human_reviewed_at
phase5t01-20260623T023554Z,772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190062,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190084,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|298522|2025-12-25|2026-01-14|772-298522-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,298522,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|92705|2025-12-25|2026-01-14|772-92705-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,92705,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|30536|2026-01-22|2026-02-04|772-30536-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,30536,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|199068|2026-02-19|2026-03-04|772-199068-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,199068,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|31522|2026-02-19|2026-03-04|772-31522-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,31522,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|198651|2026-03-05|2026-03-18|772-198651-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,198651,0.0,SUNCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|73371|2026-03-05|2026-03-18|772-73371-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,73371,0.0,ORAL HEALTH,,,,,,,,
phase5t01-20260623T023554Z,772,772|75660|2026-03-26|2026-04-08|772-75660-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,75660,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,unknown,2025-12-11,2025-12-24,195434,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190274,0.0,HAIR ACC BRUSHES,,,,,,,,
phase5t01-20260623T023554Z,772,772|197262|2025-12-25|2026-01-14|772-197262-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,197262,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|90087|2025-12-25|2026-01-14|772-90087-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,90087,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|92642|2025-12-25|2026-01-14|772-92642-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,92642,0.0,SUNCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|93461|2025-12-25|2026-01-14|772-93461-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,93461,0.0,HAIR REMOVAL,,,,,,,,
phase5t01-20260623T023554Z,772,772|369403|2026-01-22|2026-02-04|772-369403-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,369403,0.0,INCONTINENCE,,,,,,,,
phase5t01-20260623T023554Z,772,772|102088|2026-04-23|2026-05-06|772-102088-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,102088,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|24385|2026-04-23|2026-05-06|772-24385-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,24385,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190065,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190099,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|192177|2025-12-25|2026-01-14|772-192177-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,192177,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|193865|2026-02-05|2026-02-18|772-193865-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,193865,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|22926|2026-02-19|2026-03-04|772-22926-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,22926,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|369403|2026-02-19|2026-03-04|772-369403-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,369403,0.0,INCONTINENCE,,,,,,,,
phase5t01-20260623T023554Z,772,772|196029|2026-03-05|2026-03-18|772-196029-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,196029,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|42952|2026-03-26|2026-04-08|772-42952-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,42952,0.0,BATH TOILETRIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|28286|2026-04-23|2026-05-06|772-28286-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,28286,0.0,INCONTINENCE,,,,,,,,
phase5t01-20260623T023554Z,772,772|61289|2025-12-25|2026-01-14|772-61289-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,61289,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|711578|2025-12-25|2026-01-14|772-711578-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,711578,0.0,DIGESTIVE CARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|90095|2025-12-25|2026-01-14|772-90095-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,90095,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|655791|2026-02-05|2026-02-18|772-655791-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,655791,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|668178|2026-02-05|2026-02-18|772-668178-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,668178,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|93985|2026-02-05|2026-02-18|772-93985-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,93985,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|190092|2026-03-26|2026-04-08|772-190092-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,190092,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|67700|2026-03-26|2026-04-08|772-67700-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,67700,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|61294|2026-04-09|2026-04-22|772-61294-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,61294,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|61297|2026-04-09|2026-04-22|772-61297-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,61297,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|41547|2026-04-23|2026-05-06|772-41547-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,41547,0.0,ORAL HEALTH,,,,,,,,
phase5t01-20260623T023554Z,772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,unknown,2025-12-01,2025-12-13,193148,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,unknown,2025-12-11,2025-12-24,44175,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190060,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|190275|2025-12-25|2026-01-14|772-190275-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190275,0.0,HAIR ACC BRUSHES,,,,,,,,
