store_number,promotion_id,sku_number,department,long_tail_sku_flag,mission_sku_flag,actual_units_sold_promo,model_expected_units_total_promo_raw,model_expected_units_total_promo_calibrated,segment_calibrated_expected_units,segment_bias_factor,segment_bias_factor_source,segment_calibration_eligible_flag,segment_calibration_allowed_flag,requires_human_approval_flag
772,772|192236|2025-11-13|2025-11-26|772-192236-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192236,HAIRCARE,0.0,NO,2.0,0.933,1.43439,2.028844,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192237|2025-11-13|2025-11-26|772-192237-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192237,HAIRCARE,0.0,NO,1.0,1.4,2.152353,3.044353,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192238|2025-11-13|2025-11-26|772-192238-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192238,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192245|2025-11-13|2025-11-26|772-192245-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192245,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192246|2025-11-13|2025-11-26|772-192246-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192246,HAIRCARE,0.0,NO,0.0,0.002,0.003075,0.004349,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192247|2025-11-13|2025-11-26|772-192247-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192247,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192257|2025-11-13|2025-11-26|772-192257-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192257,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192258|2025-11-13|2025-11-26|772-192258-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192258,SKINCARE,0.0,NO,0.0,0.053,0.091973,0.151755,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192263|2025-11-13|2025-11-26|772-192263-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192263,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192296|2025-11-13|2025-11-26|772-192296-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192296,ALLERGY,0.0,NO,0.0,0.034,0.050408,0.047773,0.947717,phase6a_segment:ALLERGY|0.0,NO,NO,YES
772,772|192307|2025-11-13|2025-11-26|772-192307-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192307,GIFTING,0.0,NO,1.0,0.845,1.252782,1.565939,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192308|2025-11-13|2025-11-26|772-192308-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192308,GIFTING,0.0,NO,0.0,0.029,0.042995,0.053742,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192313|2025-11-13|2025-11-26|772-192313-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192313,GIFTING,0.0,NO,0.0,0.053,0.078577,0.098219,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192314|2025-11-13|2025-11-26|772-192314-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192314,GIFTING,0.0,NO,0.0,0.029,0.042995,0.053742,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192316|2025-11-13|2025-11-26|772-192316-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192316,GIFTING,0.0,NO,0.0,0.029,0.042995,0.053742,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192317|2025-11-13|2025-11-26|772-192317-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192317,GIFTING,0.0,NO,0.0,0.053,0.078577,0.098219,1.249969,phase6a_segment:GIFTING|0.0,NO,NO,YES
772,772|192355|2025-11-13|2025-11-26|772-192355-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192355,BEAUTY ELECTRICAL,0.0,NO,1.0,0.933,1.383249,1.530449,1.106416,phase6a_segment:BEAUTY ELECTRICAL|0.0,NO,NO,YES
772,772|192356|2025-11-13|2025-11-26|772-192356-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192356,BEAUTY ELECTRICAL,0.0,NO,5.0,0.933,1.383249,1.530449,1.106416,phase6a_segment:BEAUTY ELECTRICAL|0.0,NO,NO,YES
772,772|192375|2025-11-13|2025-11-26|772-192375-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192375,FRAGRANCE,0.0,NO,0.0,0.029,0.042995,0.050709,1.179425,phase6a_segment:FRAGRANCE|0.0,NO,NO,YES
772,772|192418|2025-11-13|2025-11-26|772-192418-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192418,SUNCARE,0.0,NO,1.0,1.646,3.581224,5.29354,1.478137,phase6a_segment:SUNCARE|0.0,NO,NO,YES
772,772|192471|2025-11-13|2025-11-26|772-192471-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192471,HAIRCARE,0.0,NO,1.0,1.026,1.577367,2.231075,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|192577|2025-11-13|2025-11-26|772-192577-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192577,ORAL HEALTH,0.0,NO,3.0,0.002,0.005,0.005201,1.040185,phase6a_segment:ORAL HEALTH|0.0,NO,NO,YES
772,772|192644|2025-11-13|2025-11-26|772-192644-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192644,BEAUTY ACCESSORIES,0.0,NO,0.0,0.053,0.058751,0.073379,1.248981,phase6a_segment:BEAUTY ACCESSORIES|0.0,NO,NO,YES
772,772|192720|2025-11-13|2025-11-26|772-192720-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192720,BEAUTY ACCESSORIES,0.0,NO,2.0,2.12,2.350043,2.935159,1.248981,phase6a_segment:BEAUTY ACCESSORIES|0.0,NO,NO,YES
