promotion_row_key,source_training_slice,store_number,sku_number,promotion_name,department,category,inferred_supplier_number,realized_sales_units,target_actual_units_sold,sufficient_stock_demand_units_target,target_quality_label,target_weight,target_repair_basis,target_warning,stock_integrity_issue_flag
772|186092|2025-12-11|2025-12-24|772-186092-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186092,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,THERAPEUTIC,99999,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|18614|2025-12-11|2025-12-24|772-18614-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,18614,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SMOKING CESSATION,SMOKING GUM,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186206|2025-12-11|2025-12-24|772-186206-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186206,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,COSMECEUTICAL,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186354|2025-12-11|2025-12-24|772-186354-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186354,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,COSMECEUTICAL,99999,6.0,6.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186362|2025-12-11|2025-12-24|772-186362-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186362,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,NATURAL,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,NO_EVIDENCE_NO_SALES|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186369|2025-12-11|2025-12-24|772-186369-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186369,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,EVERYDAY SKIN,99999,5.0,5.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186374|2025-12-11|2025-12-24|772-186374-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186374,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,NATURAL,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186376|2025-12-11|2025-12-24|772-186376-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186376,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,NATURAL,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186418|2025-12-11|2025-12-24|772-186418-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186418,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,RIMMEL,11813,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186439|2025-12-11|2025-12-24|772-186439-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186439,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,REVLON,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
