sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,buyer_review_queue_rank,brain_action_label,final_governed_action_label,final_governed_order_units,optimal_stock_position_order_units,regime_adjusted_decision_value,expected_promo_uplift_units,leftover_units_above_optimal,missed_demand_penalty,calibrated_regime_conviction_score,conviction_downgrade_reason,decision_triage_reason,human_interpretation_summary
23677,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,24.4,343,CONTROLLED_BUY,CONTROLLED_BUY,17.0,17.0,18.169,7.51,0.0,0.0,35.0,small_sample_regime_cap,standard_buy_review,"Brain proposes CONTROLLED_BUY for 17 units; top drivers: demand, cash, promo; constraints: none"
192177,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,24.4,344,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,8.664,0.794,0.0,0.0,22.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
405922,0.0,DEODORANTS,unknown,HIGH_PRIORITY_BUY_REVIEW,24.4,345,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,-2.066,1.93,0.959,0.0,22.0,model_bias_dangerously_negative_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, cash, promo; constraints: none"
908142,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.4,346,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,3.226,0.748,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
40164,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.4,347,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.554,0.823,0.0,2.37,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
40165,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.4,348,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.554,0.823,0.0,2.37,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
88380,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.4,349,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,6.991,0.896,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
94510,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.4,350,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,12.313,1.429,0.0,0.0,5.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, cash, promo; constraints: none"
95450,0.0,DEODORANTS,unknown,HIGH_PRIORITY_BUY_REVIEW,24.4,351,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,22.053,1.921,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
886149,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.3,352,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,-2.024,2.07,0.857,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
56483,0.0,SUNCARE,unknown,STANDARD_RUN_DOWN_REVIEW,24.2,353,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,0.0,0.0,7.073,1.732,2.0,0.0,5.0,high_wape_regime_cap,standard_run_down_review,"Brain proposes NO_BUY_RUN_DOWN for 0 units; top drivers: promo, demand, cash; constraints: overstock_run_down_no_buy"
196291,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.2,354,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,20.028,2.596,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
40165,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.2,355,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,2.379,0.873,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
88064,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.2,356,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,20.919,3.229,1.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
91016,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.1,357,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,1.98,0.873,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
49692,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.1,358,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,21.901,2.654,2.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
197262,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,24.0,359,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,17.316,0.857,0.0,0.0,17.0,small_sample_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
90440,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.0,360,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,5.676,0.794,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
42830,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.0,361,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,-2.788,2.57,1.857,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: promo, demand, cash; constraints: none"
65586,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.0,362,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,18.165,1.429,0.857,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, cash, promo; constraints: none"
190138,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.0,363,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,10.494,1.498,0.0,0.0,5.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: promo, demand, cash; constraints: none"
280607,0.0,DEODORANTS,unknown,HIGH_PRIORITY_BUY_REVIEW,23.9,364,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,7.581,1.534,0.0,0.0,5.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, cash, promo; constraints: none"
298522,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,23.9,365,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.963,0.779,0.0,0.0,22.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
