sku_number,sku_description,department,promotion_name,decision_triage_class,economic_priority_rank,economic_net_value_score,missed_sales_avoidance_value,brain_action_label,final_governed_action_label,current_soh,expected_soh_at_promo_start_before_order,long_tail_sku_flag,basket_completion_sku_flag,basket_attachment_score,basket_mission_importance_score,long_tail_stockout_risk_score,basket_loss_multiplier,long_tail_protection_value,basket_trust_convexity_value,long_tail_basket_protection_reason
87807,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,70,-18.302,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
198651,0.0,SUNCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,71,-6.582,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
188953,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,72,-18.199,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
195116,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,73,-18.462,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
20841,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,74,-16.846,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
41547,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,75,-3.898,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
50382,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,76,-8.794,0.0,AGGRESSIVE_BUY,AGGRESSIVE_BUY,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
49817,0.0,BATH TOILETRIES,unknown,HIGH_PRIORITY_BUY_REVIEW,77,-7.902,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
74131,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,78,-15.408,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
250236,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,79,-18.433,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90164,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,80,-17.114,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
67686,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,81,-19.675,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90154,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,82,-19.861,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
94005,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,83,-20.202,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
190070,0.0,BEAUTY ACCESSORIES,unknown,HIGH_PRIORITY_BUY_REVIEW,84,-13.891,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
66822,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,85,-15.53,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
10434,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,86,-18.148,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
472581,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,87,-19.674,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
191181,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,88,-18.524,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
198725,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,89,-18.568,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
73378,0.0,ORAL HEALTH,unknown,STANDARD_RUN_DOWN_REVIEW,90,-4.235,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,6.0,6.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
309146,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,91,-18.36,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
191181,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,92,-17.751,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
199066,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,93,-19.296,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90164,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,94,-19.666,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90435,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,95,-19.104,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
193835,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,96,-19.796,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
16566,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,97,-20.432,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90145,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,98,-19.95,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
67688,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,99,-20.074,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
63083,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,100,-20.457,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
94062,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,101,-19.765,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
199853,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,102,-21.804,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
22926,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,103,-21.487,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
92140,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,104,-21.147,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
198880,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,105,-12.19,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,9.0,9.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
199066,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,106,-20.182,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
668897,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,107,-21.282,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
91031,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,108,-20.117,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
483699,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,109,-9.539,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
73221,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,110,-19.694,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
65606,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,111,25.087,0.0,AGGRESSIVE_BUY,CONTROLLED_BUY,1.0,1.0,NO,NO,0.0,0.0,50.0,1.0,0.0,0.0,standard_volume_protection
34101,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,112,-21.099,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
191880,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,113,-20.848,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
