sku_number,sku_description,final_governed_action_label,brain_learned_action_label,brain_value_gap_vs_current,economic_net_value_score,brain_expected_economic_value,brain_expected_stock_exit_distance,long_tail_protection_value,basket_trust_convexity_value,stock_exit_gap,missed_demand_risk_gap,basket_trust_gap
195445,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,6.662,-80.888,-74.226,0.841,0.0,0.0,0.841,0.0,0.0
199844,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,6.509,33.17,39.679,1.278,0.227,0.0,1.278,0.0,0.227
60948,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,6.452,-80.654,-74.202,8.602,0.0,0.0,8.602,0.0,0.0
65583,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,6.447,37.44,43.887,1.314,0.452,0.0,1.314,0.0,0.452
198463,0.0,TOP_UP_TO_OPTIMAL,HOLD_FOR_REPLENISHMENT,6.372,-10.515,-4.143,2.84,0.0,0.0,2.84,0.0,0.0
188811,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,6.367,2.009,8.376,4.205,0.0,0.0,4.205,0.0,0.0
190283,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,6.275,-74.492,-68.217,7.304,0.0,0.0,7.304,0.0,0.0
94565,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,6.263,23.315,29.578,2.126,0.144,0.0,2.126,0.0,0.144
55494,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,6.112,33.278,39.39,0.431,0.0,0.0,0.431,0.0,0.0
369403,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,6.102,25.738,31.84,2.126,0.35,0.0,2.126,0.0,0.35
775126,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,6.043,-80.175,-74.132,8.61,0.0,0.0,8.61,0.0,0.0
385395,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,6.005,-0.713,5.292,8.962,0.0,0.0,8.962,0.0,0.0
87452,0.0,HOLD_FOR_REPLENISHMENT,BLOCKED_UNSAFE,5.837,1.55,7.387,1.707,0.0,0.0,1.707,0.0,0.0
65465,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,5.826,-74.114,-68.288,7.427,0.0,0.0,7.427,0.0,0.0
522252,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,5.772,33.788,39.56,0.999,0.0,0.0,0.999,0.0,0.0
90142,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,5.662,26.871,32.533,1.993,1.681,2.802,1.993,0.0,4.483
74028,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,5.634,267.688,273.322,2.135,124.92,0.0,2.135,0.0,124.92
87550,0.0,CONTROLLED_BUY,BLOCKED_UNSAFE,5.506,5.139,10.645,3.747,0.0,0.0,3.747,0.0,0.0
36999,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,5.409,-83.922,-78.513,8.639,0.0,0.0,8.639,0.0,0.0
194018,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,5.332,47.761,53.093,2.454,0.777,0.0,2.454,0.0,0.777
198463,0.0,TOP_UP_TO_OPTIMAL,HOLD_FOR_REPLENISHMENT,5.31,15.411,20.721,2.269,0.502,0.0,2.269,0.0,0.502
87439,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,5.26,-65.536,-60.276,5.815,0.0,0.0,5.815,0.0,0.0
190284,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,5.21,-73.427,-68.217,7.304,0.0,0.0,7.304,0.0,0.0
90014,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,5.146,-6.326,-1.18,1.792,0.0,0.0,1.792,0.0,0.0
195143,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,5.087,-65.507,-60.42,5.783,0.0,0.0,5.783,0.0,0.0
92214,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,5.067,6.565,11.632,6.899,0.207,0.0,6.899,0.0,0.207
198636,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,4.982,14.311,19.293,0.013,0.0,0.0,0.013,0.0,0.0
20525,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,4.901,-6.226,-1.325,5.871,0.057,0.0,5.871,0.0,0.057
199738,0.0,CONTROLLED_BUY,BLOCKED_UNSAFE,4.876,20.904,25.78,0.34,0.0,0.0,0.34,0.0,0.0
93582,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,4.869,7.18,12.049,0.386,0.0,0.0,0.386,0.0,0.0
192760,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,4.845,-65.702,-60.857,5.859,0.0,0.0,5.859,0.0,0.0
