SKU,description,department,decision_triage_class,brain_learned_action_label,brain_expected_economic_value,economic_net_value_score,brain_value_gap_vs_current,brain_top_feature_1,brain_top_feature_2,constraint_block_flag,promo_demand_source_quality,buyer_check,governance_block_reason
330442,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,61.442,45.663,15.779,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
65559,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,50.499,34.952,15.547,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
199957,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,13.809,-1.153,14.962,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
304565,0.0,VITAMIN SUPPLEMENT,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,31.328,16.524,14.804,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
192046,0.0,SKINCARE,WATCHLIST_ONLY,BLOCKED_UNSAFE,11.426,-3.31,14.736,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
189272,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,42.653,27.973,14.68,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
39545,0.0,FRAGRANCE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,40.211,25.747,14.464,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
94457,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,45.383,30.989,14.394,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
68327,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,39.317,24.928,14.389,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
591904,0.0,SKINCARE,STANDARD_RUN_DOWN_REVIEW,HOLD_FOR_REPLENISHMENT,-80.61,-94.97,14.36,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
65560,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,40.394,26.146,14.248,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
88080,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,22.299,8.379,13.92,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
194019,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,HOLD_FOR_REPLENISHMENT,37.349,23.546,13.803,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
44022,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,38.261,24.459,13.802,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
195074,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,42.718,29.138,13.58,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
194049,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,39.467,26.113,13.354,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
199901,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,38.537,25.218,13.319,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
92334,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,65.524,52.251,13.273,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
7682,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,50.0,37.348,12.652,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
91439,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,165.074,152.45,12.624,current_soh,promo_start_soh_resolved,NO,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
88081,0.0,SKINCARE,WATCHLIST_ONLY,BLOCKED_UNSAFE,25.058,12.633,12.425,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
188707,0.0,SKINCARE,AUTO_BLOCK_CAPITAL_RISK,BLOCKED_UNSAFE,27.044,14.76,12.284,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
194048,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-75.09,-86.946,11.856,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
59210,0.0,COLOUR COSMETICS,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-72.571,-84.292,11.721,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
199841,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,81.975,70.432,11.543,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
185219,0.0,FRAGRANCE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-72.189,-83.725,11.536,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
88081,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,HOLD_FOR_REPLENISHMENT,52.734,41.362,11.372,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
95116,0.0,VITAMIN SUPPLEMENT,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,40.856,29.49,11.366,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
668680,0.0,SKINCARE,WATCHLIST_ONLY,BLOCKED_UNSAFE,16.525,5.24,11.285,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
