sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
88081,1,1,0,0,0.0229133333333333,7.333333333333333,7.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.333333333333333,6.333333333333333
28287,1,1,0,0,0.0083533333333333,7.0588235294117645,7.0588,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0588235294117645,6.0588235294117645
67694,1,57,0,8,7.0,0.4444444444444444,0.4444,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
19966,1,57,0,8,7.0,1.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
40169,1,57,0,8,7.0,0.4285714285714285,0.4286,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91866,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91952,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
67699,1,57,0,8,7.0,0.5625,0.5625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
88392,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
67696,1,57,0,8,7.0,1.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
93344,1,57,0,8,7.0,5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
52118,1,57,0,8,7.0,1.4545454545454544,1.4545,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
95495,1,57,0,8,7.0,0.75,0.75,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
52116,1,57,0,8,7.0,1.6363636363636365,1.6364,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
62911,1,57,0,8,7.0,1.375,1.375,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
95840,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
92155,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
95886,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
95879,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91864,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
95494,1,57,0,8,7.0,0.75,0.75,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91063,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91953,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91901,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
30162,1,57,0,8,7.0,0.25,0.25,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91029,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
91900,1,57,0,8,7.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.0,6.0
