sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
30633,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
191947,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
94940,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
199955,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
58219,1,2,-1,0.5,7,8,0,1,1,1,1.25,17.5
196842,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
194801,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
427501,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
199266,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
51409,0,1,-1,0.0,7,7,0,1,1,0,0.0021,0.0294
195082,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
38297,0,1,-1,0.0,6,6,0,1,1,0,1.5,21.0
90509,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
194014,0,1,-1,0.0,4,4,0,1,1,0,1.5,21.0
194800,0,1,-1,0.0,12,12,0,1,1,0,1.0,14.0
93848,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
93851,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
41983,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
94700,0,1,-1,0.0,9,9,0,1,1,0,0.0,0.0
192186,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
94696,0,1,-1,0.0,8,8,0,1,1,0,0.0021,0.0294
88912,0,1,-1,0.0,8,8,0,1,1,0,0.0,0.0
186540,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
94889,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
198633,0,1,-1,0.0,4,4,0,1,1,0,1.3333333333333333,18.666666666666664
96317,0,1,-1,0.0,3,3,0,1,1,0,2.0,28.0
13146,0,1,-1,0.0,4,4,0,1,1,0,0.0021,0.0294
57315,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
194020,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
90014,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
96849,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
96848,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
96850,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
93588,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
96847,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
