sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,reason_short,audit_notes
198076,Mf Mir Pure Eye Con Buff,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$33.24; risk_reward=0.39; sku_bias=NO_COMPARABLE_EVENTS
782211,Sukin Rosehip Oil Cream 120,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$31.31; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
95565,Slt Luxe Knit Scarf Ecru 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$30.83; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
95564,Slt Luxe Long Body Hwb Asst 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$26.66; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
95567,Slt Luxe Slipprs Dusty Pink 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$26.66; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
199767,Rim Mltitskr Wmu Fndn&Con Ivry,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$25.27; risk_reward=0.48; sku_bias=NO_COMPARABLE_EVENTS
72603,Mf False Lash Effect Xxl Masc,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$23.78; risk_reward=0.47; sku_bias=NO_COMPARABLE_EVENTS
88463,Mf Divine Lashes Blk Brwn,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$23.23; risk_reward=0.49; sku_bias=NO_COMPARABLE_EVENTS
95563,Slt Luxe Heat Pack Asst 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$23.04; risk_reward=0.36; sku_bias=NO_COMPARABLE_EVENTS
98131,Jf Inf Sm Sal Blw Spr 200Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=50; capital_risk=$20.02; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
98123,Jf Fe Strength Serum 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=49; capital_risk=$19.61; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
