sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
70391,Npmu Tisi Brow Ms Brun,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=73; capital_risk=$12.30; risk_reward=0.62; sku_bias=NO_COMPARABLE_EVENTS
193991,Rim Glameyes Liner Brn Vel,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$11.78; risk_reward=0.47; sku_bias=NO_COMPARABLE_EVENTS
196406,Ysl Libre Edp 90Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$492.33; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
93835,Coach For Men Edp 100Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$329.03; risk_reward=0.30; sku_bias=NO_COMPARABLE_EVENTS
198893,Ysl Myslf Edp 60Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$269.16; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
194451,Coach Love W Edp 50Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$240.99; risk_reward=0.31; sku_bias=NO_COMPARABLE_EVENTS
87653,Emily In Paris Romantic P100,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$94.91; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
16963,J/Choo Illicit Flower Edt 40Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$90.62; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
64545,Brilliance 46 Coffee Brown,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$25.78; risk_reward=0.46; sku_bias=NO_COMPARABLE_EVENTS
187753,Garn Olia Int Deep Red 4.62,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$25.58; risk_reward=0.49; sku_bias=NO_COMPARABLE_EVENTS
196003,May Build A Brow 255 Soft,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=60; capital_risk=$19.49; risk_reward=0.50; sku_bias=NO_COMPARABLE_EVENTS
521062,May L/S Superstay Cont Coral,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=63; capital_risk=$16.77; risk_reward=0.54; sku_bias=NO_COMPARABLE_EVENTS
66096,Rexona M Apd Adv C/Clns 220Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$11.99; risk_reward=0.46; sku_bias=NO_COMPARABLE_EVENTS
195987,May Tat Liner Gel Penc Midmoc,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$11.03; risk_reward=0.61; sku_bias=NO_COMPARABLE_EVENTS
