sku_number,report_expected_promo_demand,order_units,projected_stock_gap_units,expected_promo_demand,expected_units_total_promo,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,feature_pre_promo_rolling_demand_units,demand_evidence_label,demand_evidence_class,feature_signal_max,final_minus_feature,feature_exceeds_final_by
43830,1,0,1,1,1,0.00098,1.7692307692307692,1.7692,0.0294,NO_DEMAND,low_nonzero_demand,1.7692307692307692,-0.7692307692307692,0.7692307692307692
6826,1,0,1,1,1,1.7660999999999998,0.08,0.0,0.0,NO_DEMAND,low_nonzero_demand,1.7660999999999998,-0.7660999999999998,0.7660999999999998
632856,1,0,0,1,1,0.4666666666666667,1.7647058823529411,0.75,14.0,NO_DEMAND,low_nonzero_demand,1.7647058823529411,-0.7647058823529411,0.7647058823529411
52120,1,0,0,1,1,0.9333333333333332,1.7647058823529411,1.4,28.0,NO_DEMAND,low_nonzero_demand,1.7647058823529411,-0.7647058823529411,0.7647058823529411
66794,1,0,0,1,1,1.75805,0.1818181818181818,0.0909,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
88448,1,0,2,1,1,1.75805,0.1176470588235294,0.1111,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
191383,1,0,2,1,1,1.75805,0.3181818181818182,0.1818,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
95609,1,0,0,1,1,1.75805,5.5555555555555555e-08,0.0,0.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
7531,1,0,2,1,1,1.75805,0.4000000000000001,0.3333,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
94777,1,0,1,1,1,1.75805,0.0769230769230769,0.0,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
197171,1,0,0,1,1,1.75805,0.44,0.7778,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
199752,1,0,1,1,1,1.75805,0.4,0.5,0.0,NO_DEMAND,low_nonzero_demand,1.75805,-0.7580499999999999,0.7580499999999999
