sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
42830,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,28.3,26.2,171,-17.059,-1.066,VERY_LOW,5.406,0.0,1.339,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,14,economic_value_uplift
184856,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,27.7,26.2,172,-19.094,-0.796,VERY_LOW,29.906,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,32,economic_value_uplift
55990,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,26.2,173,-24.464,-1.019,VERY_LOW,4.454,0.0,0.935,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-28,economic_value_downgrade
199846,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,19.5,26.2,174,28.522,1.188,LOW,105.26,0.0,3.616,AGGRESSIVE_BUY,AGGRESSIVE_BUY,607,economic_roi_major_uplift
51926,0.0,MENS GROOMING,unknown,HIGH_PRIORITY_BUY_REVIEW,31.1,26.2,175,-17.587,-0.733,VERY_LOW,6.785,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-87,economic_value_major_downgrade
67859,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,26.2,176,-24.363,-1.015,VERY_LOW,4.427,0.0,0.995,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-30,economic_value_downgrade
93339,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,11.6,26.2,177,110.298,6.894,MEDIUM,28.542,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1596,economic_roi_major_uplift
481130,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,26.6,26.2,178,49.5,3.094,LOW,3.962,66.774,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,72,economic_roi_major_uplift
87764,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,26.2,179,-23.398,-0.975,VERY_LOW,4.93,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-30,economic_value_downgrade
28286,0.0,INCONTINENCE,unknown,HIGH_PRIORITY_BUY_REVIEW,32.0,26.2,180,-19.465,-0.811,VERY_LOW,4.944,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-122,economic_value_major_downgrade
39410,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,30.3,26.1,181,-21.567,-0.899,VERY_LOW,3.319,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-56,economic_value_major_downgrade
188990,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.7,26.1,182,-13.233,-0.551,VERY_LOW,14.488,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-80,economic_value_major_downgrade
20866,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,31.5,26.1,183,-20.034,-0.835,VERY_LOW,4.378,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-114,economic_value_major_downgrade
