sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
43562,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,2.4,17.6,2779,-21.11,-1.319,VERY_LOW,0.0,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1108,economic_roi_major_uplift
11862,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,17.0,3524,-47.389,-2.962,VERY_LOW,6.185,0.0,3.098,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,1107,economic_roi_major_uplift
360759,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,5.6,18.6,2185,-12.963,-0.81,VERY_LOW,0.0,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1107,economic_roi_major_uplift
188640,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,3.8,18.0,2503,-38.97,-2.436,VERY_LOW,2.03,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1105,economic_roi_major_uplift
293245,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,6.6,19.0,1980,-44.426,-1.851,VERY_LOW,4.574,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1104,economic_roi_major_uplift
186524,0.0,TANNING,unknown,STANDARD_BUY_REVIEW,6.0,18.7,2105,-12.92,-0.808,VERY_LOW,0.0,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1104,economic_roi_major_uplift
65913,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,2.9,17.7,2674,-38.892,-2.431,VERY_LOW,2.108,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1101,economic_roi_major_uplift
68445,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,16.1,27.1,71,53.05,2.21,LOW,45.174,0.0,2.515,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1098,economic_roi_major_uplift
67952,0.0,BEAUTY ELECTRICAL,unknown,STANDARD_BUY_REVIEW,4.7,18.3,2341,-36.403,-2.275,VERY_LOW,4.875,0.0,0.093,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1096,economic_roi_major_uplift
27446,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,3.8,18.0,2519,-38.748,-2.422,VERY_LOW,2.252,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1096,economic_roi_major_uplift
70655,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,3.2,17.8,2633,-37.728,-2.358,VERY_LOW,3.272,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1094,economic_roi_major_uplift
36999,0.0,SUNCARE,unknown,STANDARD_BUY_REVIEW,4.1,18.1,2462,-38.53,-2.408,VERY_LOW,2.47,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1091,economic_roi_major_uplift
214329,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,2.5,17.6,2767,-40.241,-2.515,VERY_LOW,0.759,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1091,economic_roi_major_uplift
198463,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,14.2,24.6,334,14.909,0.932,VERY_LOW,21.05,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1091,economic_roi_major_uplift
92210,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,4.8,18.3,2328,-16.168,-1.01,VERY_LOW,0.0,6.733,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1091,economic_roi_major_uplift
342483,0.0,DEODORANTS,unknown,HIGH_PRIORITY_BUY_REVIEW,5.0,18.3,2293,-46.373,-1.932,VERY_LOW,0.67,2.005,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1090,economic_roi_major_uplift
41543,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,4.7,18.3,2357,-35.157,-2.197,VERY_LOW,5.843,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1089,economic_roi_major_uplift
212849,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,7.6,19.8,1612,-52.565,-2.19,VERY_LOW,5.851,0.0,1.771,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1089,economic_roi_major_uplift
63109,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,3.4,17.8,2597,-20.804,-1.3,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1088,economic_roi_major_uplift
190320,0.0,HAIR ACC BRUSHES,unknown,STANDARD_RUN_DOWN_REVIEW,8.0,20.1,1502,-43.608,-2.726,VERY_LOW,5.138,0.0,1.205,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1085,economic_roi_major_uplift
195171,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,8.1,20.2,1478,-47.14,-1.964,VERY_LOW,11.479,0.0,2.089,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1083,economic_roi_major_uplift
193212,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,0.0,16.6,3898,-32.756,-2.047,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,1083,economic_roi_major_uplift
643181,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,10.4,22.1,934,15.769,0.986,VERY_LOW,24.416,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1082,economic_roi_major_uplift
72934,0.0,FRAGRANCE,unknown,STANDARD_BUY_REVIEW,10.4,22.1,935,35.129,2.196,LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1082,economic_roi_major_uplift
710105,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,4.6,18.2,2369,-39.551,-2.472,VERY_LOW,1.449,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1081,economic_roi_major_uplift
188737,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,7.1,19.3,1772,-23.903,-1.494,VERY_LOW,20.474,0.0,1.125,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1079,economic_roi_major_uplift
71269,0.0,DIGESTIVE CARE,unknown,STANDARD_BUY_REVIEW,4.2,18.1,2456,-38.193,-2.387,VERY_LOW,2.807,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1077,economic_roi_major_uplift
190126,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,4.2,18.1,2459,-38.362,-2.398,VERY_LOW,2.638,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1075,economic_roi_major_uplift
933619,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,4.1,18.1,2482,-25.675,-1.605,VERY_LOW,0.816,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1074,economic_roi_major_uplift
63109,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,3.4,17.8,2615,-20.804,-1.3,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1073,economic_roi_major_uplift
92230,0.0,DEODORANTS,unknown,STANDARD_BUY_REVIEW,3.4,17.8,2618,-36.843,-2.303,VERY_LOW,1.288,2.927,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1071,economic_roi_major_uplift
289221,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,3.5,17.8,2604,-39.485,-2.468,VERY_LOW,1.515,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1071,economic_roi_major_uplift
185178,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,3.1,17.7,2663,-38.498,-2.406,VERY_LOW,2.502,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1070,economic_roi_major_uplift
342513,0.0,DEODORANTS,unknown,STANDARD_RUN_DOWN_REVIEW,0.0,16.4,4064,-27.46,-1.716,VERY_LOW,1.592,0.0,1.408,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1070,economic_roi_major_uplift
74457,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,16.5,3979,-33.796,-2.112,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,1068,economic_roi_major_uplift
280376,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,4.2,18.1,2472,-38.39,-2.399,VERY_LOW,2.61,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1067,economic_roi_major_uplift
92830,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,5.0,18.3,2323,-37.098,-2.319,VERY_LOW,3.902,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1065,economic_roi_major_uplift
196013,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,2.5,17.6,2798,-39.576,-2.474,VERY_LOW,1.424,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1064,economic_roi_major_uplift
90520,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,16.6,3894,2.346,0.147,VERY_LOW,4.28,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1064,economic_roi_major_uplift
95850,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,4.3,18.1,2450,-39.814,-2.488,VERY_LOW,1.677,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1061,economic_roi_major_uplift
55561,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.0,16.7,3816,-31.602,-1.975,VERY_LOW,1.073,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1059,economic_roi_major_uplift
195051,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,10.4,22.0,953,32.226,2.014,LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1059,economic_roi_major_uplift
66258,0.0,COLOUR COSMETICS,unknown,STANDARD_RUN_DOWN_REVIEW,0.0,16.6,3891,-78.394,-4.9,VERY_LOW,1.993,0.0,1.424,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1053,economic_roi_major_uplift
188688,0.0,HAIRCARE,unknown,STANDARD_RUN_DOWN_REVIEW,6.4,18.8,2073,-41.489,-2.593,VERY_LOW,0.671,0.0,0.387,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1052,economic_roi_major_uplift
