sku_number,promotion_name,raw,calibrated,policy_adjusted,feature_consensus,ratio_cal_over_raw,ratio_pol_over_cal,ratio_pol_over_raw,policy_adjustment_reason,department,category,supplier,forecast_source_used,forecast_source_raw_units,selected_demand_units,promo_window_demand_units
43537,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.7058823529411765,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
92517,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0290288012535184,0.5000005,1.0,0.5500000000000003,0.5500000000000003,weak_same_discount_and_uplift_cap,BATH TOILETRIES,PERSONAL WASH,0,predicted_units_sold,0.0290288012535184,1,1
300160,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.875,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
94054,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0052266666666666,0.0052266666666666,1.0,0.099028087366102,1.0,0.099028087366102,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,0.0784,1,1
521213,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.6666666666666667,1.0,1.0,1.0,falling_base_launch_conflict_review,SKINCARE,NATURAL,0,baseline_expected_units,7.0,1,1
385395,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,4.6,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SKINCARE,THERAPEUTIC,0,required_implied_units,0.0161,1,1
49092,Allocation Report - SE01 SKINCARE SALES EVENT,0.0616250444880151,0.0616250444880151,0.0431375311416105,2.625,1.0,0.699999999999999,0.699999999999999,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0431375311416105,1,1
94566,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,1.3333333333333333,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,0.0315,1,1
190094,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0184728735249662,0.25,1.0,0.34999999999999915,0.34999999999999915,sparse_history_multi_driver_baseline_only,BEAUTY ACCESSORIES,BEAUTY TOOLS,0,predicted_units_sold,0.0184728735249662,1,1
95858,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0031733333333333,0.0475999999999999,1.0,0.060124195900847784,0.060124195900847784,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,ESSENCE,0,required_implied_units,3.0002,1,1
74131,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0147,0.0147,0.1538461538461538,0.2785164957171654,1.0,0.2785164957171654,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,baseline_expected_units,0.0147,1,1
92926,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.00805,0.02033612508410986,1.0,0.02033612508410986,weak_same_discount_and_uplift_cap,SKINCARE,EVERYDAY SKIN,0,required_implied_units,0.0161,1,1
186525,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.6666666666666666,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,TANNING,TANNING SKIN,0,required_implied_units,0.0161,1,1
94131,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,3.3333333333333335,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,LIP CARE,0,predicted_units_sold,0.0369457470499325,1,1
193305,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,5e-08,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,predicted_units_sold,0.0369457470499325,1,1
92921,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,0.01575,0.039788070816737915,1.0,0.039788070816737915,weak_same_discount_and_uplift_cap,SKINCARE,EVERYDAY SKIN,0,required_implied_units,0.0315,1,1
93458,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,1.4285714285714286,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SUNCARE,SUN PROTECTION,0,required_implied_units,0.0161,1,1
92518,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0290288012535184,0.5000005,1.0,0.5500000000000003,0.5500000000000003,weak_same_discount_and_uplift_cap,BATH TOILETRIES,PERSONAL WASH,0,predicted_units_sold,0.0290288012535184,1,1
676195,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.8888888888888888,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
419257,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0301,0.0301,1.1111111111111112,0.5702956817065767,1.0,0.5702956817065767,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,baseline_expected_units,0.0301,1,1
19966,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.0,1.0,1.0,1.0,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,baseline_expected_units,7.0,1,1
