feature_name,feature_family,available_in_source_frame_flag,used_by_brain_model_flag,used_by_governance_flag,used_by_report_flag,used_by_dag_flag,used_by_knowledge_graph_flag,excluded_from_brain_reason,legacy_hardcoded_limit_flag,dtype_issue_flag,missingness_issue_flag,encoding_issue_flag,recommended_action
promo_demand_release_ready_flag,quality_governance,YES,YES,YES,NO,NO,NO,,NO,NO,NO,NO,KEEP
promo_demand_source_quality,quality_governance,YES,YES,YES,NO,NO,NO,,NO,NO,NO,NO,KEEP
promo_discount_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
promo_start_soh_resolved,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
promo_start_soh_source_quality,quality_governance,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
promo_uplift_multiplier,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
range_trust_sku_score,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
recent_momentum_regime,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
replenishment_lead_time_days,supplier_replenishment,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
replenishment_reliability,supplier_replenishment,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
review_roi_score,economic_triage,NO,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
segment_bias_factor,bias_calibration,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
segment_calibrated_expected_units,bias_calibration,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
segment_historical_bias_pct,derived_or_phase_extension,YES,NO,NO,NO,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
segment_historical_wape,derived_or_phase_extension,YES,NO,NO,NO,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
shadow_candidate_class,shadow_human_feedback,YES,NO,NO,YES,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
shadow_candidate_score,shadow_human_feedback,NO,NO,NO,YES,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
sku_demand_regime,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
stock_position_regime,stock_optimal,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,REPAIR_ENCODING_OR_DEFAULTS
store_sales_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
supplier_economic_risk_cost,supplier_replenishment,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
supplier_number_resolved,supplier_replenishment,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
supplier_replenishment_regime,supplier_replenishment,YES,YES,NO,NO,NO,YES,,NO,NO,NO,YES,REPAIR_ENCODING_OR_DEFAULTS
supplier_risk_cost,supplier_replenishment,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
target_day_one_promo_soh,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
target_end_promo_soh,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
unsafe_flag,quality_governance,NO,YES,YES,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
