segment,row_count,actual_units_total,forecast_units_total,forecast_bias_units,forecast_bias_pct,wape,mae,rmse,model_beats_baseline_pct,model_beats_historical_proxy_pct,median_actual_units,median_forecast_units,p75_abs_error,p95_abs_error,baseline_wape,historical_proxy_wape,segment_row_share_pct
department=GENERAL MERCHANDIS,2,2.0,0.918,-1.0819999999999999,-54.099999999999994,0.5409999999999999,0.5409999999999999,0.5409999999999999,100.0,100.0,1.0,0.459,0.5409999999999999,0.5409999999999999,1.0,1.0,0.003825188868700392
department=GIFTING,355,111.0,68.76399999999998,-42.23600000000001,-38.05045045045046,0.6009909909909911,0.1879154929577465,0.587434062227233,34.92957746478873,34.92957746478873,0.0,0.034,0.053,0.999,1.3870810810810812,1.3870810810810812,0.6789710241943195
department=HAIR ACC BRUSHES,781,1051.0,684.0409999999999,-366.959,-34.91522359657469,0.5338068506184586,0.718349551856594,1.3387498960787858,68.11779769526248,68.11779769526248,1.0,0.933,1.067,3.067,0.9256393910561371,0.9256393910561371,1.4937362532275031
department=HAIR REMOVAL,488,391.0,264.067,-126.93299999999999,-32.46368286445013,0.5581815856777494,0.4472315573770492,0.8282843430059827,64.75409836065575,64.75409836065575,0.0,0.053,0.6000000000000001,2.033099999999999,1.2456214833759591,1.2456214833759591,0.9333460839628956
department=HAIRCARE,4705,4773.0,2369.8509999999997,-2403.149,-50.348816258118575,0.6493130106851037,0.6586973432518598,2.074229563793656,64.86716259298618,64.86716259298618,0.0,0.053,0.5569999999999999,2.9914000000000005,1.0540079614498221,1.0540079614498221,8.998756813617673
department=HOME HEALTH,1,0.0,0.018,0.018,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.0,0.0,0.001912594434350196
department=INCONTINENCE,184,173.0,92.702,-80.298,-46.415028901734104,0.6350289017341041,0.5970652173913044,1.7030901039504376,66.84782608695652,66.84782608695652,0.0,0.053,0.6000000000000001,2.4754499999999995,1.0909595375722543,1.0909595375722543,0.3519173759204361
department=INSOMNIA,2,1.0,2.3369999999999997,1.337,133.7,1.337,0.6685,0.9327606874220203,0.0,0.0,0.5,1.1684999999999999,0.9937499999999999,1.25395,1.0,1.0,0.003825188868700392
department=MENS GROOMING,583,252.0,201.39,-50.61,-20.083333333333332,0.5264206349206348,0.22754373927958832,0.5194765639704834,60.891938250428815,60.891938250428815,0.0,0.053,0.06699999999999995,1.067,1.412234126984127,1.412234126984127,1.1150425552261642
department=NUTRITION WELLBEIN,111,83.0,38.354000000000006,-44.646,-53.790361445783134,0.7177590361445784,0.5367027027027027,2.186358966759926,45.94594594594595,45.94594594594595,0.0,0.048,0.31699999999999995,1.8245,1.1248192771084338,1.1248192771084338,0.21229798221287177
department=ORAL HEALTH,1225,2325.0,1002.246,-1322.754,-56.892645161290325,0.6996249462365591,1.3278595918367346,9.667132452864422,60.40816326530612,60.40816326530612,1.0,0.867,1.3,4.256999999999997,0.9845178494623655,0.9845178494623655,2.3429281820789902
department=PAPER COTTON,58,261.0,164.816,-96.18399999999998,-36.85210727969348,0.5166590038314175,2.3249655172413783,4.04740371869041,65.51724137931035,65.51724137931035,3.0,1.667,3.18325,8.06045,1.0923218390804599,1.0923218390804599,0.11093047719231137
department=SKINCARE,8527,17870.0,6233.171,-11636.829,-65.11935646334639,0.7560593732512592,1.5844706227278058,6.83023621548718,63.44552597631055,63.44552597631055,1.0,0.329,1.133,6.067,0.955511919418019,0.955511919418019,16.30869274170412
department=SMOKING CESSATION,130,21.0,20.594,-0.4059999999999999,-1.9333333333333331,0.7193333333333334,0.11620000000000001,0.31847767703440494,42.30769230769231,42.30769230769231,0.0,0.035500000000000004,0.053,0.5164999999999998,1.6858095238095239,1.6858095238095239,0.2486372764655255
department=SNACKS BEVERAGES,16,33.0,37.497,4.497,13.627272727272727,0.4185151515151515,0.8631875,1.2818232863776504,62.5,62.5,1.0,1.4,1.2502499999999999,2.74725,0.7273030303030302,0.7273030303030302,0.030601510949603138
department=SUNCARE,878,1917.0,662.499,-1254.501,-65.44084507042254,0.7449906103286384,1.6265911161731206,4.813290771525532,56.37813211845103,56.37813211845103,1.0,0.467,1.533,6.543049999999999,0.8019222743870632,0.8019222743870632,1.679257913359472
department=TANNING,771,569.0,331.44999999999993,-237.55,-41.748681898066785,0.6140386643233744,0.45316212710765247,1.1727768139134225,63.81322957198443,63.81322957198443,0.0,0.053,0.3999999999999999,2.2765,1.0853128295254832,1.0853128295254832,1.4746103088840012
department=VITAMIN SUPPLEMENT,2336,1650.0,849.562,-800.438,-48.51139393939394,0.6687418181818182,0.47235616438356165,1.6680452677943003,52.953767123287676,52.953767123287676,0.0,0.053,0.3999999999999999,1.998,1.1357957575757576,1.1357957575757576,4.467820598642058
category=ACNE,353,669.0,245.685,-423.315,-63.275784753363226,0.7215231689088191,1.3674192634560904,3.528046099134817,60.05665722379604,60.05665722379604,1.0,0.072,1.3,5.652999999999993,0.9302884902840061,0.9302884902840061,0.6751458353256192
category=ADVANCED WOUNDCARE,8,0.0,0.144,0.144,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.0,0.0,0.015300755474801569
category=AFTERSUN,35,24.0,15.754000000000001,-8.246,-34.358333333333334,0.5430833333333333,0.37239999999999995,0.8178776716076102,65.71428571428571,65.71428571428571,0.0,0.053,0.26649999999999996,1.942799999999996,1.9268333333333334,1.9268333333333334,0.06694080520225686
category=ALKALINE URINARY,21,10.0,11.472000000000003,1.4720000000000004,14.720000000000006,0.4366,0.2079047619047619,0.3247261116988402,71.42857142857143,71.42857142857143,0.0,0.053,0.3999999999999999,0.54,1.5487000000000002,1.5487000000000002,0.04016448312135412
category=ALLERGY LIQUID,15,1.0,1.3019999999999996,0.30199999999999994,30.199999999999992,0.6620000000000003,0.04413333333333335,0.058407762041244725,13.333333333333334,13.333333333333334,0.0,0.034,0.045,0.09109999999999988,1.5,1.5,0.028688916515252943
category=ALLERGY SPRAY,22,25.0,20.505,-4.495,-17.98,0.4392400000000001,0.4991363636363637,1.153944243965807,68.18181818181817,68.18181818181817,0.0,0.057499999999999996,0.3999999999999999,1.5632499999999996,1.1006,1.1006,0.04207707755570431
category=ALLERGY TABS CAPS,70,71.0,57.82999999999999,-13.169999999999996,-18.54929577464788,0.4709577464788733,0.4776857142857143,0.9631983477679231,68.57142857142857,68.57142857142857,0.0,0.053,0.4572500000000001,2.067,1.2223380281690142,1.2223380281690142,0.1338816104045137
category=ANTACIDS,92,100.0,66.244,-33.756000000000014,-33.756000000000014,0.54106,0.5881086956521738,1.1720703254609286,64.13043478260869,64.13043478260869,1.0,0.328,0.8039999999999998,2.273250000000001,1.0083199999999999,1.0083199999999999,0.17595868796021805
category=ANTI FUNGAL,13,6.0,5.389,-0.6110000000000002,-10.183333333333337,0.45316666666666666,0.20915384615384613,0.3608533688995488,53.84615384615385,53.84615384615385,0.0,0.053,0.3999999999999999,0.7591999999999994,0.7466666666666666,0.7466666666666666,0.02486372764655255
