sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
188721,Cerave Sa Smooth Clns 473Ml,REVIEW,REVIEW_STOCK_GAP,36,94.0,MODERATE,same_discount_history,27.0,0,0.0,27,116,NO,,tier_3_review_evidence_gap
188715,Cerave Moist Pm 52Ml,REVIEW,REVIEW_STOCK_GAP,35,94.0,MODERATE,same_discount_history,27.0,0,0.0,24,116,NO,,tier_3_review_evidence_gap
654921,Lrp Anth Fluid Spf50 50Ml,REVIEW,REVIEW_STOCK_GAP,49,90.0,MODERATE,same_discount_history,27.0,0,0.0,16,2,NO,,tier_3_review_evidence_gap
189553,Lrp Cicaplast Baume B5 40Ml,REVIEW,REVIEW_STOCK_GAP,27,84.0,MODERATE,same_discount_history,26.667,0,0.0,19,2,NO,,tier_3_review_evidence_gap
94902,Lrp Hyaluron Serum 50Ml,REVIEW,REVIEW_STOCK_GAP,38,100.0,MODERATE,same_discount_history,26.0,0,0.0,26,111,NO,,tier_3_review_evidence_gap
52115,Rexona W Apd Adv Shwr/F 220Ml,REVIEW,REVIEW_STOCK_GAP,66,62.0,CONFLICTING,baseline_period_demand,24.5,23,0.18,0,105,NO,,tier_3_review_evidence_gap
92846,Cerave Foaming Cleanser Refill,REVIEW,REVIEW_STOCK_GAP,25,100.0,MODERATE,same_discount_history,23.0,0,0.0,23,99,NO,,tier_3_review_evidence_gap
188713,Cerave Eye Repair Cream 14Ml,REVIEW,REVIEW_STOCK_GAP,48,94.0,MODERATE,same_discount_history,22.0,22,0.19,0,94,NO,,tier_3_review_evidence_gap
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,REVIEW,REVIEW_STOCK_GAP,42,94.0,MODERATE,same_discount_history,21.667,0,0.0,21,93,NO,,tier_3_review_evidence_gap
195412,Npmu Pro Fix Stick Cocoa,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,21.0,21,0.189,0,90,NO,,tier_3_review_evidence_gap
195518,Mf Fcefnty Cmpct 001,REVIEW,REVIEW_STOCK_GAP,62,62.0,CONFLICTING,baseline_period_demand,21.0,21,0.189,0,90,NO,,tier_3_review_evidence_gap
