sku_number,sku_description,baseline_period_demand_units,same_discount_promo_units,selected_before,selected_after,decision_before,decision_after,recommended_order_before,recommended_order_after,reason
189513,Npmu Fat Oil My Main,7.0,2.471,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
189514,Npmu Fat Oil Missed Call,7.0,3.118,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
87610,Rim Thrlskr Glsygls Pnk Cndy,7.0,0.286,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93997,May Lift Glaze 004 Cherry Swir,7.0,0.273,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192991,Rim Lasting Matte Ls 210,7.0,0.143,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94074,Npmu Fat Cheek Blsh Guava Gush,7.0,0.143,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
189519,Npmu Butter Lg Butterscotch,7.0,1.294,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93978,May Tat Gel Pen 821 Stardust,7.0,0.091,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
653048,Rim Masc Lash Acce Endless Blk,7.0,0.421,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
193318,Rim Multi Tasker Con Clas Bge,7.0,0.125,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
87603,Rim Lasting Finish Ls Pump Pch,7.0,0.714,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
30162,Rim Scandaleyes Wp Liner Brown,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67694,Rim Slv Oh My Gloss Sty My Rse,7.0,0.444,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67699,Rim Lst Fin L/L Mve Spell,7.0,0.562,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
198704,May Lash Sensa Firework Wtp,7.0,1.263,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
26154,Neut H/B Cln Gelee Milk 145G,7.0,2.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
1229,May Fit Me Mte Pore Fdn Nt Bge,7.0,1.087,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93972,May Sunkisser Highlight 20 Int,7.0,0.182,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
63031,May Ssmi Spiced Ed Exhilarator,7.0,2.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195436,Npmu Duck Plmp Bubblegum B,7.0,0.647,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195435,Npmu Duck Plmp Pick Me Pin,7.0,0.882,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
