sku_number,pre_promo_demand_units,promo_window_demand_units,total_expected_demand_units,pre_minus_promo,days_until_promo_start,promo_window_days
62977,56.0,7.0,63.0,49.0,63,7
94011,56.0,7.0,63.0,49.0,63,7
29850,56.0,7.0,63.0,49.0,63,7
198704,56.0,7.0,63.0,49.0,63,7
67692,56.0,7.0,63.0,49.0,63,7
95877,56.0,7.0,63.0,49.0,63,7
90458,56.0,7.0,63.0,49.0,63,7
96614,56.0,7.0,63.0,49.0,63,7
91912,56.0,7.0,63.0,49.0,63,7
93992,56.0,7.0,63.0,49.0,63,7
93995,56.0,7.0,63.0,49.0,63,7
70394,56.0,7.0,63.0,49.0,63,7
96605,56.0,7.0,63.0,49.0,63,7
96615,56.0,7.0,63.0,49.0,63,7
96624,56.0,7.0,63.0,49.0,63,7
96604,56.0,7.0,63.0,49.0,63,7
1229,56.0,7.0,63.0,49.0,63,7
192940,56.0,7.0,63.0,49.0,63,7
91068,56.0,7.0,63.0,49.0,63,7
39394,56.0,7.0,63.0,49.0,63,7
91067,56.0,7.0,63.0,49.0,63,7
196930,56.0,7.0,63.0,49.0,63,7
36223,56.0,7.0,63.0,49.0,63,7
39403,56.0,7.0,63.0,49.0,63,7
24420,56.0,7.0,63.0,49.0,63,7
90838,56.0,7.0,63.0,49.0,63,7
96486,56.0,7.0,63.0,49.0,63,7
96487,56.0,7.0,63.0,49.0,63,7
96484,56.0,7.0,63.0,49.0,63,7
96475,56.0,7.0,63.0,49.0,63,7
34113,56.0,7.0,63.0,49.0,63,7
21964,56.0,7.0,63.0,49.0,63,7
195439,56.0,7.0,63.0,49.0,63,7
63031,56.0,7.0,63.0,49.0,63,7
93972,56.0,7.0,63.0,49.0,63,7
194049,56.0,7.0,63.0,49.0,63,7
90794,56.0,7.0,63.0,49.0,63,7
62854,56.0,7.0,63.0,49.0,63,7
57316,56.0,7.0,63.0,49.0,63,7
94685,56.0,7.0,63.0,49.0,63,7
68266,56.0,7.0,63.0,49.0,63,7
68268,56.0,7.0,63.0,49.0,63,7
192839,56.0,7.0,63.0,49.0,63,7
193126,56.0,7.0,63.0,49.0,63,7
191180,56.0,7.0,63.0,49.0,63,7
198728,56.0,7.0,63.0,49.0,63,7
198735,56.0,7.0,63.0,49.0,63,7
93967,56.0,7.0,63.0,49.0,63,7
93973,56.0,7.0,63.0,49.0,63,7
93971,56.0,7.0,63.0,49.0,63,7
195424,56.0,7.0,63.0,49.0,63,7
94055,56.0,7.0,63.0,49.0,63,7
195431,56.0,7.0,63.0,49.0,63,7
98024,56.0,7.0,63.0,49.0,63,7
90457,56.0,7.0,63.0,49.0,63,7
199055,56.0,7.0,63.0,49.0,63,7
93981,56.0,7.0,63.0,49.0,63,7
93982,56.0,7.0,63.0,49.0,63,7
192929,56.0,7.0,63.0,49.0,63,7
195433,56.0,7.0,63.0,49.0,63,7
93974,56.0,7.0,63.0,49.0,63,7
192931,56.0,7.0,63.0,49.0,63,7
94677,56.0,7.0,63.0,49.0,63,7
192935,56.0,7.0,63.0,49.0,63,7
91037,56.0,7.0,63.0,49.0,63,7
94688,56.0,7.0,63.0,49.0,63,7
199746,56.0,7.0,63.0,49.0,63,7
94766,56.0,7.0,63.0,49.0,63,7
195443,56.0,7.0,63.0,49.0,63,7
96500,56.0,7.0,63.0,49.0,63,7
96499,56.0,7.0,63.0,49.0,63,7
96467,56.0,7.0,63.0,49.0,63,7
30540,56.0,7.0,63.0,49.0,63,7
93968,56.0,7.0,63.0,49.0,63,7
189239,56.0,7.0,63.0,49.0,63,7
70359,56.0,7.0,63.0,49.0,63,7
521195,56.0,7.0,63.0,49.0,63,7
1227,56.0,7.0,63.0,49.0,63,7
198714,56.0,7.0,63.0,49.0,63,7
521179,56.0,7.0,63.0,49.0,63,7
55218,56.0,7.0,63.0,49.0,63,7
30537,56.0,7.0,63.0,49.0,63,7
96469,56.0,7.0,63.0,49.0,63,7
46754,56.0,7.0,63.0,49.0,63,7
96473,56.0,7.0,63.0,49.0,63,7
57928,56.0,7.0,63.0,49.0,63,7
57612,56.0,7.0,63.0,49.0,63,7
193291,56.0,7.0,63.0,49.0,63,7
96502,56.0,7.0,63.0,49.0,63,7
192994,56.0,7.0,63.0,49.0,63,7
199946,48.0,5.9997,53.9997,42.0003,63,7
95025,48.0,5.9997,53.9997,42.0003,63,7
55881,48.0,5.9997,53.9997,42.0003,63,7
92214,48.0,5.9997,53.9997,42.0003,63,7
66821,48.0,5.9997,53.9997,42.0003,63,7
51645,32.0,3.9998,35.9998,28.0002,63,7
90936,32.0,3.9998,35.9998,28.0002,63,7
65837,32.0,3.9998,35.9998,28.0002,63,7
193143,28.4444,3.5,31.9444,24.9444,63,7
94063,28.4444,3.5,31.9444,24.9444,63,7
96596,24.0,3.0002,27.0002,20.9998,63,7
95868,24.0,3.0002,27.0002,20.9998,63,7
63360,24.0,3.0002,27.0002,20.9998,63,7
90346,16.0,1.9999,17.9999,14.0001,63,7
90851,16.0,1.9999,17.9999,14.0001,63,7
259519,16.0,1.9999,17.9999,14.0001,63,7
188951,16.0,1.9999,17.9999,14.0001,63,7
38392,16.0,1.9999,17.9999,14.0001,63,7
192176,16.0,1.9999,17.9999,14.0001,63,7
782211,0.8889,0.0602,0.9491,0.8287,63,7
22926,0.8889,0.0602,0.9491,0.8287,63,7
63361,0.8889,0.0602,0.9491,0.8287,63,7
198639,0.8889,0.0616,0.9505,0.8273,63,7
196554,0.8889,0.0616,0.9505,0.8273,63,7
51156,0.8889,0.0616,0.9505,0.8273,63,7
90903,0.8889,0.0616,0.9505,0.8273,63,7
826960,0.8889,0.0616,0.9505,0.8273,63,7
55497,0.8889,0.0616,0.9505,0.8273,63,7
192032,0.8889,0.0616,0.9505,0.8273,63,7
330663,0.8889,0.0616,0.9505,0.8273,63,7
195102,0.8889,0.0616,0.9505,0.8273,63,7
94286,0.8889,0.0616,0.9505,0.8273,63,7
49092,0.8889,0.0616,0.9505,0.8273,63,7
94065,0.8889,0.0749,0.9638,0.8140000000000001,63,7
372722,0.8889,0.0927,0.9816,0.7962,63,7
199738,0.8889,0.1266,1.0155,0.7623,63,7
67538,0.0,0.0161,0.0161,-0.0161,63,7
34860,0.0,0.0161,0.0161,-0.0161,63,7
189742,0.0,0.0161,0.0161,-0.0161,63,7
189268,0.0,0.0161,0.0161,-0.0161,63,7
961051,0.0,0.0161,0.0161,-0.0161,63,7
195403,0.0,0.0161,0.0161,-0.0161,63,7
69246,0.0,0.0161,0.0161,-0.0161,63,7
944637,0.0,0.0161,0.0161,-0.0161,63,7
192805,0.0,0.0161,0.0161,-0.0161,63,7
22925,0.0,0.0161,0.0161,-0.0161,63,7
198710,0.0,0.0161,0.0161,-0.0161,63,7
195101,0.0,0.0161,0.0161,-0.0161,63,7
37040,0.0,0.0161,0.0161,-0.0161,63,7
94001,0.0,0.0161,0.0161,-0.0161,63,7
93991,0.0,0.0161,0.0161,-0.0161,63,7
30554,0.0,0.0161,0.0161,-0.0161,63,7
388815,0.0,0.0161,0.0161,-0.0161,63,7
271519,0.0,0.0161,0.0161,-0.0161,63,7
38295,0.0,0.0161,0.0161,-0.0161,63,7
47677,0.0,0.0161,0.0161,-0.0161,63,7
195402,0.0,0.0161,0.0161,-0.0161,63,7
91967,0.0,0.0161,0.0161,-0.0161,63,7
41321,0.0,0.0161,0.0161,-0.0161,63,7
97555,0.0,0.0161,0.0161,-0.0161,63,7
54485,0.0,0.0161,0.0161,-0.0161,63,7
167096,0.0,0.0161,0.0161,-0.0161,63,7
191381,0.0,0.0161,0.0161,-0.0161,63,7
97557,0.0,0.0161,0.0161,-0.0161,63,7
22226,0.0,0.0161,0.0161,-0.0161,63,7
190142,0.0,0.0161,0.0161,-0.0161,63,7
196004,0.0,0.0161,0.0161,-0.0161,63,7
15138,0.0,0.0161,0.0161,-0.0161,63,7
69243,0.0,0.0161,0.0161,-0.0161,63,7
265969,0.0,0.0161,0.0161,-0.0161,63,7
93994,0.0,0.0161,0.0161,-0.0161,63,7
97128,0.0,0.0161,0.0161,-0.0161,63,7
91000,0.0,0.0161,0.0161,-0.0161,63,7
69247,0.0,0.0161,0.0161,-0.0161,63,7
194046,0.0,0.0161,0.0161,-0.0161,63,7
366781,0.0,0.0161,0.0161,-0.0161,63,7
380600,0.0,0.0161,0.0161,-0.0161,63,7
92434,0.0,0.0161,0.0161,-0.0161,63,7
28179,0.0,0.0161,0.0161,-0.0161,63,7
90168,0.0,0.0161,0.0161,-0.0161,63,7
62227,0.0,0.0161,0.0161,-0.0161,63,7
309146,0.0,0.0161,0.0161,-0.0161,63,7
66919,0.0,0.0161,0.0161,-0.0161,63,7
28551,0.0,0.0161,0.0161,-0.0161,63,7
198944,0.0,0.0161,0.0161,-0.0161,63,7
91455,0.0,0.0161,0.0161,-0.0161,63,7
92166,0.0,0.0161,0.0161,-0.0161,63,7
195414,0.0,0.0161,0.0161,-0.0161,63,7
50674,0.0,0.0161,0.0161,-0.0161,63,7
94233,0.0,0.0161,0.0161,-0.0161,63,7
37429,0.0,0.0161,0.0161,-0.0161,63,7
194044,0.0,0.0161,0.0161,-0.0161,63,7
91947,0.0,0.0161,0.0161,-0.0161,63,7
60772,0.0,0.0161,0.0161,-0.0161,63,7
71549,0.0,0.0161,0.0161,-0.0161,63,7
73205,0.0,0.0161,0.0161,-0.0161,63,7
51769,0.0,0.0161,0.0161,-0.0161,63,7
307459,0.0,0.0161,0.0161,-0.0161,63,7
22900,0.0,0.0161,0.0161,-0.0161,63,7
36121,0.0,0.0161,0.0161,-0.0161,63,7
198711,0.0,0.0161,0.0161,-0.0161,63,7
385395,0.0,0.0161,0.0161,-0.0161,63,7
68445,0.0,0.0161,0.0161,-0.0161,63,7
189005,0.0,0.0161,0.0161,-0.0161,63,7
57927,0.0,0.0161,0.0161,-0.0161,63,7
198720,0.0,0.0161,0.0161,-0.0161,63,7
521302,0.0,0.0161,0.0161,-0.0161,63,7
4661,0.0,0.0161,0.0161,-0.0161,63,7
193405,0.0,0.0161,0.0161,-0.0161,63,7
46886,0.0,0.0161,0.0161,-0.0161,63,7
189521,0.0,0.0161,0.0161,-0.0161,63,7
192342,0.0,0.0161,0.0161,-0.0161,63,7
34280,0.0,0.0161,0.0161,-0.0161,63,7
69802,0.0,0.0161,0.0161,-0.0161,63,7
90450,0.0,0.0161,0.0161,-0.0161,63,7
193065,0.0,0.0161,0.0161,-0.0161,63,7
16529,0.0,0.0161,0.0161,-0.0161,63,7
188739,0.0,0.0161,0.0161,-0.0161,63,7
94077,0.0,0.0161,0.0161,-0.0161,63,7
90427,0.0,0.0161,0.0161,-0.0161,63,7
46883,0.0,0.0161,0.0161,-0.0161,63,7
97577,0.0,0.0161,0.0161,-0.0161,63,7
56031,0.0,0.0161,0.0161,-0.0161,63,7
88355,0.0,0.0161,0.0161,-0.0161,63,7
1228,0.0,0.0161,0.0161,-0.0161,63,7
93458,0.0,0.0161,0.0161,-0.0161,63,7
94002,0.0,0.0161,0.0161,-0.0161,63,7
31528,0.0,0.0161,0.0161,-0.0161,63,7
190063,0.0,0.0161,0.0161,-0.0161,63,7
90164,0.0,0.0161,0.0161,-0.0161,63,7
167593,0.0,0.0161,0.0161,-0.0161,63,7
89772,0.0,0.0161,0.0161,-0.0161,63,7
94274,0.0,0.0161,0.0161,-0.0161,63,7
65591,0.0,0.0161,0.0161,-0.0161,63,7
90543,0.0,0.0161,0.0161,-0.0161,63,7
93436,0.0,0.0161,0.0161,-0.0161,63,7
93435,0.0,0.0161,0.0161,-0.0161,63,7
191943,0.0,0.0161,0.0161,-0.0161,63,7
228192,0.0,0.0161,0.0161,-0.0161,63,7
91039,0.0,0.0161,0.0161,-0.0161,63,7
193286,0.0,0.0161,0.0161,-0.0161,63,7
4662,0.0,0.0161,0.0161,-0.0161,63,7
43840,0.0,0.0161,0.0161,-0.0161,63,7
190140,0.0,0.0161,0.0161,-0.0161,63,7
90849,0.0,0.0161,0.0161,-0.0161,63,7
92334,0.0,0.0161,0.0161,-0.0161,63,7
192845,0.0,0.0161,0.0161,-0.0161,63,7
189238,0.0,0.0161,0.0161,-0.0161,63,7
39402,0.0,0.0161,0.0161,-0.0161,63,7
196198,0.0,0.0161,0.0161,-0.0161,63,7
197216,0.0,0.0161,0.0161,-0.0161,63,7
520924,0.0,0.0161,0.0161,-0.0161,63,7
185,0.0,0.0161,0.0161,-0.0161,63,7
96622,0.0,0.0161,0.0161,-0.0161,63,7
196197,0.0,0.0161,0.0161,-0.0161,63,7
91004,0.0,0.0161,0.0161,-0.0161,63,7
91065,0.0,0.0161,0.0161,-0.0161,63,7
188024,0.0,0.0161,0.0161,-0.0161,63,7
98137,0.0,0.0161,0.0161,-0.0161,63,7
191173,0.0,0.0161,0.0161,-0.0161,63,7
91936,0.0,0.0161,0.0161,-0.0161,63,7
738,0.0,0.0161,0.0161,-0.0161,63,7
96511,0.0,0.0161,0.0161,-0.0161,63,7
98023,0.0,0.0161,0.0161,-0.0161,63,7
923605,0.0,0.0161,0.0161,-0.0161,63,7
15841,0.0,0.0161,0.0161,-0.0161,63,7
91042,0.0,0.0161,0.0161,-0.0161,63,7
193631,0.0,0.0161,0.0161,-0.0161,63,7
91150,0.0,0.0161,0.0161,-0.0161,63,7
91153,0.0,0.0161,0.0161,-0.0161,63,7
91075,0.0,0.0161,0.0161,-0.0161,63,7
91059,0.0,0.0161,0.0161,-0.0161,63,7
90518,0.0,0.0161,0.0161,-0.0161,63,7
87955,0.0,0.0161,0.0161,-0.0161,63,7
91895,0.0,0.0161,0.0161,-0.0161,63,7
20866,0.0,0.0161,0.0161,-0.0161,63,7
91944,0.0,0.0161,0.0161,-0.0161,63,7
92951,0.0,0.0161,0.0161,-0.0161,63,7
90848,0.0,0.0161,0.0161,-0.0161,63,7
94072,0.0,0.0161,0.0161,-0.0161,63,7
90438,0.0,0.0161,0.0161,-0.0161,63,7
167073,0.0,0.0161,0.0161,-0.0161,63,7
341559,0.0,0.0161,0.0161,-0.0161,63,7
167109,0.0,0.0161,0.0161,-0.0161,63,7
167105,0.0,0.0161,0.0161,-0.0161,63,7
54488,0.0,0.0161,0.0161,-0.0161,63,7
95697,0.0,0.0161,0.0161,-0.0161,63,7
67026,0.0,0.0161,0.0161,-0.0161,63,7
196000,0.0,0.0161,0.0161,-0.0161,63,7
90480,0.0,0.0161,0.0161,-0.0161,63,7
193835,0.0,0.0161,0.0161,-0.0161,63,7
91049,0.0,0.0161,0.0161,-0.0161,63,7
36996,0.0,0.0161,0.0161,-0.0161,63,7
57420,0.0,0.0161,0.0161,-0.0161,63,7
167082,0.0,0.0161,0.0161,-0.0161,63,7
7524,0.0,0.0161,0.0161,-0.0161,63,7
167085,0.0,0.0161,0.0161,-0.0161,63,7
167095,0.0,0.0161,0.0161,-0.0161,63,7
189245,0.0,0.0161,0.0161,-0.0161,63,7
282413,0.0,0.0161,0.0161,-0.0161,63,7
195049,0.0,0.0161,0.0161,-0.0161,63,7
167075,0.0,0.0161,0.0161,-0.0161,63,7
91916,0.0,0.0161,0.0161,-0.0161,63,7
92153,0.0,0.0161,0.0161,-0.0161,63,7
67691,0.0,0.0161,0.0161,-0.0161,63,7
103912,0.0,0.0161,0.0161,-0.0161,63,7
91048,0.0,0.0161,0.0161,-0.0161,63,7
496316,0.0,0.0161,0.0161,-0.0161,63,7
193456,0.0,0.0161,0.0161,-0.0161,63,7
55227,0.0,0.0161,0.0161,-0.0161,63,7
91954,0.0,0.0161,0.0161,-0.0161,63,7
167112,0.0,0.0161,0.0161,-0.0161,63,7
199904,0.0,0.0161,0.0161,-0.0161,63,7
94075,0.0,0.0161,0.0161,-0.0161,63,7
194821,0.0,0.0161,0.0161,-0.0161,63,7
199720,0.0,0.0161,0.0161,-0.0161,63,7
94528,0.0,0.0161,0.0161,-0.0161,63,7
70977,0.0,0.0161,0.0161,-0.0161,63,7
199902,0.0,0.0161,0.0161,-0.0161,63,7
56513,0.0,0.0161,0.0161,-0.0161,63,7
69352,0.0,0.0161,0.0161,-0.0161,63,7
