sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
190076,0.0161,0.0161,0,0,0.0010733333333333,4.666666666666667,0.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.666666666666667,4.650566666666667
385395,0.0161,0.0161,0,0,0.0010733333333333,4.6,0.6667,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.6,4.5839
93921,0.1253,0.1253,0,0,0.0083533333333333,4.666666666666667,3.5,0.1253,LOW_NONZERO_DEMAND,low_nonzero_demand,4.666666666666667,4.541366666666667
90765,0.0161,0.0161,0,0,0.0010733333333333,4.5,2.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.4839
96593,0.0315,0.0315,0,0,0.0021,4.5,4.5,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.4685
90139,0.0315,0.0315,0,0,0.0021,4.5,4.5,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.4685
194422,0.3122,0.3122,0,0,0.0208133333333333,4.777777777777778,0.0,0.3122,LOW_NONZERO_DEMAND,low_nonzero_demand,4.777777777777778,4.465577777777778
192205,0.0784,0.0784,0,0,0.0052266666666666,4.5,4.5,0.0784,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.4216
33269,0.1561,0.1561,0,0,0.0104066666666666,4.571428571428571,4.5714,0.1561,LOW_NONZERO_DEMAND,low_nonzero_demand,4.571428571428571,4.415328571428571
43840,0.0161,0.0161,0,0,0.0010733333333333,4.375,4.375,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.375,4.3589
636886,0.2184,0.2184,0,0,0.0145599999999999,4.454545454545454,4.5,0.2184,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.2816
72537,0.2814,0.2814,0,0,0.01876,4.55,0.0,0.2814,LOW_NONZERO_DEMAND,low_nonzero_demand,4.55,4.2686
60948,0.2352,0.2352,0,0,0.01568,4.5,4.5,0.2352,LOW_NONZERO_DEMAND,low_nonzero_demand,4.5,4.2648
346268,0.1414,0.1414,0,0,0.0094266666666666,4.4,4.4,0.1414,LOW_NONZERO_DEMAND,low_nonzero_demand,4.4,4.2586
192837,0.0315,0.0315,0,0,0.0021,3.6666666666666665,4.2857,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.2857,4.2542
94132,0.0978,0.0623,2,2,0.0041533333333333,4.333333333333333,4.3333,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,4.333333333333333,4.235533333333333
206431,0.0476,0.0476,0,0,0.0031733333333333,4.2,4.2,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,4.2,4.1524
191661,0.0938,0.0938,0,0,0.0062533333333333,4.181818181818182,4.1818,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,4.181818181818182,4.088018181818182
242853,0.266,0.266,0,0,0.0177333333333333,4.352941176470588,3.0,0.266,LOW_NONZERO_DEMAND,low_nonzero_demand,4.352941176470588,4.086941176470588
384240,0.0315,0.0315,0,0,0.0021,4.117647058823529,2.5,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.117647058823529,4.086147058823529
56157,0.0315,0.0315,0,0,0.0021,4.111111111111111,3.4286,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,4.111111111111111,4.07961111111111
95868,3.0002,27.0002,7,7,7.0,1e-06,0.0,3.0002,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,7.0,3.9998
94130,0.0161,0.0161,0,0,0.0010733333333333,4.0,4.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.0,3.9839
