field_name,source_file,row_count_present,min,mean,median,p75,p90,p99,max,zero_count,suspected_unit_basis,safe_for_pre_promo_demand_yes_no,safe_for_promo_period_demand_yes_no,notes
projected_on_hand_at_promo_start,operator_audit,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,promo_period,NO,NO,
minimum_launch_stock_units,operator_audit,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
floor_units_required,operator_audit,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
promo_allocated_units,operator_audit,3531,0.0,1.2778249787595581,0.0,0.0,3.0,24.0,349.0,3002,promo_period,NO,NO,
expected_promo_demand,operator_audit,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
target_stock_day_one_units,operator_audit,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,0,unknown,NO,NO,
projected_stock_gap_units,operator_audit,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,1787,unknown,NO,NO,
days_to_promo_start,operator_audit,3531,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,promo_period,YES,NO,
lead_up_demand_units,operator_audit,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,3216,period_total,NO,NO,Unsafe as direct pre-promo total when days_until_promotion_start differs from source window
expected_units_before_promo_start,operator_audit,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,3216,period_total,NO,NO,Unsafe as direct pre-promo total when days_until_promotion_start differs from source window
expected_units_first_7_days,operator_audit,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,unknown,NO,NO,
promotion_period_days,operator_audit,3531,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,promo_period,NO,NO,
expected_units_per_period,operator_audit,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
expected_units_per_day,operator_audit,3531,0.0,0.14273811951288587,0.1429,0.1429,0.1429,0.1429,0.1429,4,daily_rate,YES,YES,
projected_promotional_units,operator_audit,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
expected_units_total_promo,operator_audit,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
promotion_id,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
promotion_name,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
promotion_start_date,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
promotion_end_date,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
minimum_safe_stock_day_one_units,operator_audit,3531,2.0,2.4820164259416595,2.0,2.0,2.0,7.0,30.0,0,unknown,NO,NO,
lead_days_to_promo_start,operator_audit,3531,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,promo_period,YES,NO,
current_soh_units,operator_audit,3531,0.0,3.2681959784763523,3.0,4.0,6.0,12.0,98.0,152,unknown,NO,NO,
on_order_units,operator_audit,3531,0.0,0.07335032568677428,0.0,0.0,0.0,3.0,10.0,3458,unknown,NO,NO,
effective_available_units,operator_audit,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,unknown,NO,NO,
gap_to_day_one_target_units,operator_audit,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,1787,unknown,NO,NO,
demand_evidence_class,operator_audit,0,,,,,,,,0,unknown,NO,NO,
historical_promo_response_summary,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
historical_units_same_discount_avg,operator_audit,3531,0.0,1.185702945341263,0.4545,1.2792,2.8,12.503899999999986,73.0,1253,unknown,YES,YES,
historical_units_same_or_better_discount_avg,operator_audit,3531,0.0,1.5339292834890965,0.5789,1.5,3.1176,16.0,113.0,1007,unknown,NO,NO,
historical_promo_events_same_discount,operator_audit,3531,0.0,6.107051826677995,4.0,9.0,16.0,23.0,28.0,890,promo_period,NO,NO,
historical_promo_events_same_or_better_discount,operator_audit,3531,0.0,7.273010478617955,6.0,11.0,17.0,24.0,29.0,685,promo_period,NO,NO,
promotion_backtest_within_10pct_flag,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
promotion_backtest_mean_absolute_pct_error,operator_audit,3531,151.1,151.09999999999997,151.1,151.1,151.1,151.1,151.1,0,promo_period,NO,NO,
promotion_backtest_bias_class,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
promotion_backtest_comparable_event_count,operator_audit,3531,52285.0,52285.0,52285.0,52285.0,52285.0,52285.0,52285.0,0,promo_period,NO,NO,
days_of_cover_to_promo_start,operator_audit,3531,0.0,332.9864061172472,365.0,365.0,365.0,365.0,365.0,307,promo_period,NO,NO,
projected_launch_cover_units,operator_audit,3531,-31.0,-0.3879566694987256,0.0,1.0,3.0,9.0,95.0,692,unknown,NO,NO,
estimated_leftover_units,operator_audit,3531,2.0,3.4477485131690737,2.0,4.0,7.0,14.0,97.0,0,unknown,NO,NO,
target_end_stock_units,operator_audit,3531,2.0,2.4820164259416595,2.0,2.0,2.0,7.0,30.0,0,unknown,NO,NO,
units_needed_for_trust_floor,operator_audit,3531,0.0,0.8582881336731806,0.0,1.0,2.0011,8.0,22.0,1995,unknown,NO,NO,
units_needed_for_high_demand_cover,operator_audit,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
units_above_trust_target,operator_audit,3531,0.0,1.3930447748513168,0.5616,1.8517,3.8517,9.507729999999974,95.278,1644,unknown,NO,NO,
expected_gp_on_trust_floor_units,operator_audit,3531,0.0,0.7429566694987256,0.01,0.02,0.15,12.46,67.48,1540,unknown,NO,NO,
expected_gp_on_speculative_units,operator_audit,3531,0.0,0.3649617672047578,0.0,0.0,0.0,9.551999999999898,73.84,3366,unknown,NO,NO,
risk_adjusted_value_of_speculative_units,operator_audit,3531,-1831.42,-11.581523647691874,-2.35,0.0,0.0,9.551999999999898,73.84,1480,unknown,NO,NO,
speculative_capital_above_floor_units,operator_audit,3531,0.0,0.9660152931180969,0.0,1.0,3.0,9.0,95.0,2436,unknown,NO,NO,
projected_SOH_at_promo_start,operator_audit,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,promo_period,NO,NO,
target_SOH_at_promo_start,operator_audit,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,0,promo_period,NO,NO,
weeks_of_cover_entering_promo,operator_audit,3531,0.0,47.56688190314358,52.14,52.14,52.14,52.14,52.14,307,promo_period,NO,NO,
end_of_promo_residual_risk,operator_audit,0,,,,,,,,0,promo_period,NO,NO,
order_units,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
demand_evidence_label,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
raw_model_order_units,feature_inspection,3531,0.0,0.7037666383460776,0.0,0.0,2.0,7.0,24.0,3066,unknown,NO,NO,
provisional_review_order_units,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
final_store_order_units,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
low_soh_policy_final_order_units,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
low_soh_policy_shadow_order_units,feature_inspection,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,3480,unknown,NO,NO,
shadow_policy_order_units,feature_inspection,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,3480,unknown,NO,NO,
shadow_policy_expected_reason,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
recommended_order_units,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
projected_on_hand_at_promo_start,feature_inspection,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,promo_period,NO,NO,
minimum_launch_stock_units,feature_inspection,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
floor_units_required,feature_inspection,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
promo_allocated_units,feature_inspection,3531,0.0,1.2778249787595581,0.0,0.0,3.0,24.0,349.0,3002,promo_period,NO,NO,
expected_promo_demand,feature_inspection,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
target_stock_day_one_units,feature_inspection,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,0,unknown,NO,NO,
projected_stock_gap_units,feature_inspection,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,1787,unknown,NO,NO,
days_to_promo_start,feature_inspection,3531,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,promo_period,YES,NO,
lead_up_demand_units,feature_inspection,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,3216,period_total,NO,NO,Unsafe as direct pre-promo total when days_until_promotion_start differs from source window
expected_units_before_promo_start,feature_inspection,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,3216,period_total,NO,NO,Unsafe as direct pre-promo total when days_until_promotion_start differs from source window
expected_units_first_7_days,feature_inspection,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,unknown,NO,NO,
promotion_period_days,feature_inspection,3531,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,promo_period,NO,NO,
expected_units_per_period,feature_inspection,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
expected_units_per_day,feature_inspection,3531,0.0,0.14273811951288587,0.1429,0.1429,0.1429,0.1429,0.1429,4,daily_rate,YES,YES,
projected_promotional_units,feature_inspection,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
expected_units_total_promo,feature_inspection,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,4,promo_period,NO,YES,
promotion_id,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
promotion_name,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
promotion_start_date,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
promotion_end_date,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
minimum_safe_stock_day_one_units,feature_inspection,3531,2.0,2.4820164259416595,2.0,2.0,2.0,7.0,30.0,0,unknown,NO,NO,
lead_days_to_promo_start,feature_inspection,3531,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0,promo_period,YES,NO,
current_soh_units,feature_inspection,3531,0.0,3.2681959784763523,3.0,4.0,6.0,12.0,98.0,152,unknown,NO,NO,
on_order_units,feature_inspection,3531,0.0,0.07335032568677428,0.0,0.0,0.0,3.0,10.0,3458,unknown,NO,NO,
effective_available_units,feature_inspection,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,unknown,NO,NO,
gap_to_day_one_target_units,feature_inspection,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,1787,unknown,NO,NO,
demand_evidence_class,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
historical_promo_response_summary,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
historical_units_same_discount_avg,feature_inspection,3531,0.0,1.185702945341263,0.4545,1.2792,2.8,12.503899999999986,73.0,1253,unknown,YES,YES,
historical_units_same_or_better_discount_avg,feature_inspection,3531,0.0,1.5339292834890965,0.5789,1.5,3.1176,16.0,113.0,1007,unknown,NO,NO,
historical_promo_events_same_discount,feature_inspection,3531,0.0,6.107051826677995,4.0,9.0,16.0,23.0,28.0,890,promo_period,NO,NO,
historical_promo_events_same_or_better_discount,feature_inspection,3531,0.0,7.273010478617955,6.0,11.0,17.0,24.0,29.0,685,promo_period,NO,NO,
promotion_backtest_within_10pct_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
promotion_backtest_mean_absolute_pct_error,feature_inspection,3531,151.1,151.09999999999997,151.1,151.1,151.1,151.1,151.1,0,promo_period,NO,NO,
promotion_backtest_bias_class,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
promotion_backtest_comparable_event_count,feature_inspection,3531,52285.0,52285.0,52285.0,52285.0,52285.0,52285.0,52285.0,0,promo_period,NO,NO,
days_of_cover_to_promo_start,feature_inspection,3531,0.0,332.9864061172472,365.0,365.0,365.0,365.0,365.0,307,promo_period,NO,NO,
projected_launch_cover_units,feature_inspection,3531,-31.0,-0.3879566694987256,0.0,1.0,3.0,9.0,95.0,692,unknown,NO,NO,
estimated_leftover_units,feature_inspection,3531,2.0,3.4477485131690737,2.0,4.0,7.0,14.0,97.0,0,unknown,NO,NO,
target_end_stock_units,feature_inspection,3531,2.0,2.4820164259416595,2.0,2.0,2.0,7.0,30.0,0,unknown,NO,NO,
units_needed_for_trust_floor,feature_inspection,3531,0.0,0.8582881336731806,0.0,1.0,2.0011,8.0,22.0,1995,unknown,NO,NO,
units_needed_for_high_demand_cover,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
units_above_trust_target,feature_inspection,3531,0.0,1.3930447748513168,0.5616,1.8517,3.8517,9.507729999999974,95.278,1644,unknown,NO,NO,
expected_gp_on_trust_floor_units,feature_inspection,3531,0.0,0.7429566694987256,0.01,0.02,0.15,12.46,67.48,1540,unknown,NO,NO,
expected_gp_on_speculative_units,feature_inspection,3531,0.0,0.3649617672047578,0.0,0.0,0.0,9.551999999999898,73.84,3366,unknown,NO,NO,
risk_adjusted_value_of_speculative_units,feature_inspection,3531,-1831.42,-11.581523647691874,-2.35,0.0,0.0,9.551999999999898,73.84,1480,unknown,NO,NO,
speculative_capital_above_floor_units,feature_inspection,3531,0.0,0.9660152931180969,0.0,1.0,3.0,9.0,95.0,2436,unknown,NO,NO,
projected_SOH_at_promo_start,feature_inspection,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,432,promo_period,NO,NO,
target_SOH_at_promo_start,feature_inspection,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,0,promo_period,NO,NO,
weeks_of_cover_entering_promo,feature_inspection,3531,0.0,47.56688190314358,52.14,52.14,52.14,52.14,52.14,307,promo_period,NO,NO,
end_of_promo_residual_risk,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
promotion_row_key,feature_inspection,0,,,,,,,,0,promo_period,NO,NO,
feature_promo_price_ratio_vs_normal,feature_inspection,3531,0.2622379807692307,0.5799188021871248,0.5452383755150089,0.6359946595460614,0.9090881458966564,0.9091,2.337657142857143,0,promo_period,NO,NO,
feature_expected_gm_change_dollars,feature_inspection,3531,-24.44424773,11.058920510710847,0.0,0.0,13.961098899999998,236.73266264199998,2875.38668291,1261,unknown,NO,NO,
feature_margin_sacrifice_per_expected_unit,feature_inspection,3531,0.0,4.995501913616645,0.2726999999999999,9.271799999999995,14.7045,32.7264,153.4545,1287,unknown,NO,NO,
feature_promo_capital_efficiency,feature_inspection,3531,0.0,0.06936619168963469,0.0008944444444444,0.0041608391608391,0.1543132716049382,0.7793244788080148,15.384519230769229,1290,promo_period,NO,NO,
feature_allocation_vs_baseline_demand_ratio,feature_inspection,3531,0.0,73.35924634480729,42.01680672268907,124.22360248447204,186.33540372670808,434.7826086956522,3850.9316770186338,1314,unknown,NO,NO,
feature_allocation_vs_required_implied_demand_ratio,feature_inspection,3531,0.0,60.66229705511389,0.5000250012500626,95.23809523809524,186.33540372670808,434.7826086956522,3850.9316770186338,1290,unknown,NO,NO,
feature_stock_sufficiency_gap_units,feature_inspection,3531,-0.9998,3.2497005947323703,2.9685,3.9997000000000007,6.0,11.979279999999997,97.9216,87,unknown,NO,NO,
feature_stock_to_promo_days_ratio,feature_inspection,3531,0.0,0.5760407816482581,0.4285714285714285,0.5714285714285714,0.8571428571428571,3.5714285714285716,49.857142857142854,116,promo_period,NO,NO,
feature_stock_exposure_vs_promo_days,feature_inspection,3531,0.0,81.35843586195736,57.655342857142855,124.2236,186.3354,496.89441428571433,3850.931671428571,1314,promo_period,NO,NO,
feature_pre_promo_rolling_demand_units,feature_inspection,3531,0.0,0.03748360237892947,0.0161,0.0475999999999999,0.0938,0.3122,2.7664,1285,promo_period,NO,NO,
feature_pre_promo_baseline_daily_units,feature_inspection,3531,0.0,0.005354800339847069,0.0023,0.0068,0.0134,0.0446,0.3952,1285,promo_period,NO,NO,
feature_required_vs_baseline_demand_gap,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
feature_sales_velocity_units_per_day,feature_inspection,3531,0.0,0.005354800339847069,0.0023,0.0068,0.0134,0.0446,0.3952,1285,daily_rate,NO,NO,
feature_sales_velocity_ratio_short_to_long,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
feature_pre_promo_sales_per_selling_day,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_response_same_sku_store,feature_inspection,3531,-1.0,0.5711891780918147,-0.3242519229914187,0.25980221885394295,2.634534564814068,11.17242018678353,214.8499278499279,498,promo_period,NO,NO,
feature_prior_promo_response_same_sku_network,feature_inspection,3531,-1.0,0.5711891780918147,-0.3242519229914187,0.25980221885394295,2.634534564814068,11.17242018678353,214.8499278499279,498,promo_period,NO,NO,
feature_promo_recurrence_density,feature_inspection,3531,0.0,0.0021694347132831062,0.0027397260273972,0.0027397260273972,0.0054794520547945,0.0082191780821917,0.010958904109589,1644,promo_period,NO,NO,
feature_prior_promo_14d_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_28d_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_56d_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_units_14d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_units_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_prior_promo_days_since_last_promo,feature_inspection,3531,78.0,169.1328235627301,78.0,92.0,183.0,999.0,999.0,0,promo_period,NO,NO,
feature_prior_same_or_better_discount_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
feature_prior_same_discount_days_since_last_promo,feature_inspection,3531,78.0,353.6796941376381,155.0,999.0,999.0,999.0,999.0,0,promo_period,NO,NO,
feature_prior_better_discount_days_since_last_promo,feature_inspection,3531,78.0,827.447748513169,999.0,999.0,999.0,999.0,999.0,0,promo_period,NO,NO,
feature_prior_promo_price_memory_score,feature_inspection,3531,0.0,0.006560458284733125,0.0,0.0,0.0,0.1521739130434782,0.1521739130434782,3362,promo_period,NO,NO,
feature_prior_promo_discount_memory_score,feature_inspection,3531,0.0,0.05895935717742822,0.0,0.1521739130434782,0.1521739130434782,0.1521739130434782,0.1521739130434782,2076,promo_period,NO,NO,
feature_prior_promo_cannibalisation_risk_score,feature_inspection,3531,0.0027640671273445,0.025750077904791443,0.0304347826086956,0.0304347826086956,0.0304347826086956,0.0304347826086956,0.0304347826086956,0,promo_period,NO,NO,
feature_historical_promo_events_same_discount,feature_inspection,3531,0.0,6.107051826677995,4.0,9.0,16.0,23.0,28.0,890,promo_period,NO,NO,
feature_historical_promo_events_same_or_better_discount,feature_inspection,3531,0.0,7.273010478617955,6.0,11.0,17.0,24.0,29.0,685,promo_period,NO,NO,
feature_historical_units_same_discount_avg,feature_inspection,3531,0.0,1.1857031797362634,0.4545454545454545,1.2792207792207793,2.8,12.503921568627435,73.0,1253,unknown,NO,NO,
feature_historical_units_same_or_better_discount_avg,feature_inspection,3531,0.0,1.5339294146650393,0.5789473684210527,1.5,3.1176470588235294,16.0,113.0,1007,unknown,NO,NO,
feature_historical_units_same_discount_median,feature_inspection,3531,0.0,0.900453129425092,0.0,1.0,2.0,10.0,35.0,2105,unknown,NO,NO,
feature_historical_units_same_or_better_discount_median,feature_inspection,3531,0.0,1.150099122061739,0.0,1.0,2.5,11.349999999999909,113.0,1931,unknown,NO,NO,
feature_historical_units_same_discount_std,feature_inspection,3531,0.0,0.922409588585281,0.4810456929208346,1.0897247358851685,2.1436047495548354,8.372616438693852,77.1621668954417,1407,unknown,NO,NO,
feature_historical_discount_response_confidence,feature_inspection,3531,0.0,0.6766355140186917,1.0,1.0,1.0,1.0,1.0,685,unknown,NO,NO,
feature_probability_zero_demand_same_or_better_discount,feature_inspection,2846,0.0,0.4885744703126666,0.5,0.7272727272727273,1.0,1.0,1.0,372,unknown,NO,NO,
feature_probability_low_demand_vs_baseline_same_or_better_discount,feature_inspection,2846,0.0,0.4885744703126666,0.5,0.7272727272727273,1.0,1.0,1.0,372,unknown,NO,NO,
feature_probability_demand_exceeds_allocation_same_or_better_discount,feature_inspection,1916,0.0,0.450389749235505,0.4721362229102166,0.6923076923076923,0.8888888888888888,1.0,1.0,347,unknown,NO,NO,
feature_probability_units_below_allocation_same_or_better_discount,feature_inspection,1916,0.0,0.5181181877863169,0.5,0.75,1.0,1.0,1.0,185,unknown,NO,NO,
feature_promo_history_evidence_strength,feature_inspection,3531,0.0,0.6766355140186917,1.0,1.0,1.0,1.0,1.0,685,promo_period,NO,NO,
feature_historical_comparable_promo_event_count,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_historical_zero_sale_after_buy_rate,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_trapped_capital_rate,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_sell_through_on_accepted_qty,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_overforecast_bias,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_allocation_efficiency_rate,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_overallocation_above_floor_rate,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_residual_above_floor_units_avg,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_under_floor_missed_demand_rate,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_under_floor_lost_units_avg,feature_inspection,0,,,,,,,,0,unknown,NO,NO,
feature_historical_memory_category_fallback_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
feature_historical_memory_department_fallback_flag,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,unknown,NO,NO,
feature_non_promo_units_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_non_promo_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_units_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_non_promo_avg_daily_units_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_non_promo_avg_daily_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_avg_daily_units_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_avg_daily_units_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_to_nonpromo_demand_ratio_28d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_promo_to_nonpromo_demand_ratio_56d,feature_inspection,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3531,promo_period,NO,NO,
feature_realised_prior_promo_lift_proxy,feature_inspection,3531,-1.0,3.219556659228118,0.0,10.0,10.0,10.0,10.0,1421,promo_period,NO,NO,
feature_promo_period_days,feature_inspection,3531,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,promo_period,NO,NO,
feature_promo_period_target_units,feature_inspection,3531,0.0,0.03748360237892947,0.0161,0.0475999999999999,0.0938,0.3122,2.7664,1285,promo_period,NO,NO,
feature_day_one_target_stock_units,feature_inspection,3531,1.0,1.8434875672613993,2.0161,2.0315,2.0784,2.3122,4.7664,0,unknown,NO,NO,
feature_end_of_promo_target_floor_units,feature_inspection,3531,1.0,1.8060039648824695,2.0,2.0,2.0,2.0,2.0,0,promo_period,NO,NO,
feature_trust_floor_units_dynamic,feature_inspection,3531,1.0,1.8060039648824695,2.0,2.0,2.0,2.0,2.0,0,unknown,NO,NO,
feature_end_of_promo_target_days_cover,feature_inspection,3531,0.0,280.61189074722586,178.57142857142858,444.44444444444446,869.5652173913044,869.5652173913044,869.5652173913044,1285,promo_period,NO,NO,
