sku_number,estimated_demand_before_promo_start_units,predicted_promo_period_sales_units,recommended_order_units,decision
94902,3.714,1.0,0,HOLD
92846,3.286,1.0,0,HOLD
90912,3.0,1.0,0,HOLD
188699,2.857,1.0,0,HOLD
92847,2.857,1.0,0,HOLD
188704,2.571,1.0,0,HOLD
90914,2.286,1.0,0,HOLD
367011,2.214,1.0,0,HOLD
43839,1.946,1.0,0,HOLD
195051,1.905,1.0,0,HOLD
188720,1.857,1.0,0,HOLD
188709,1.857,1.0,0,HOLD
188996,1.804,1.0,0,HOLD
63416,1.762,1.0,0,HOLD
55533,1.714,1.0,0,HOLD
87417,1.571,1.0,0,HOLD
192050,1.571,1.0,0,HOLD
20798,1.54,1.0,0,HOLD
188833,1.524,1.0,0,HOLD
199841,1.429,1.0,0,HOLD
93335,1.429,1.0,0,HOLD
193204,1.325,1.0,0,HOLD
11838,1.304,1.0,0,HOLD
46889,1.286,1.0,0,HOLD
87753,1.286,1.0,0,HOLD
198637,1.25,1.0,0,HOLD
87755,1.214,1.0,0,HOLD
495891,1.19,1.0,0,HOLD
192838,1.163,1.0,0,HOLD
198880,1.143,1.0,0,HOLD
188857,1.095,1.0,0,HOLD
200956,1.061,1.0,0,HOLD
