promotion_row_key,realized_sales_units,sufficient_stock_demand_units_target,stock_basis_units,demand_reference_units,target_repair_basis,target_warning
772|188715|2026-02-05|2026-02-18|772-188715-20260205|Allocation Report - WK32&33 BEAUTY BOX,7.0,7.0,3.0,43.4,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188804|2026-02-05|2026-02-18|772-188804-20260205|Allocation Report - WK32&33 BEAUTY BOX,1.0,1.0,1.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189236|2026-02-05|2026-02-18|772-189236-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED
772|189594|2026-02-05|2026-02-18|772-189594-20260205|Allocation Report - WK32&33 BEAUTY BOX,1.0,1.0,1.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|102282|2026-01-22|2026-02-04|772-102282-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,2.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|10434|2026-01-22|2026-02-04|772-10434-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED
772|10509|2026-01-22|2026-02-04|772-10509-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|105861|2026-01-22|2026-02-04|772-105861-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,1.0,1.0,1.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|10977|2026-01-22|2026-02-04|772-10977-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|115912|2026-01-22|2026-02-04|772-115912-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|116646|2026-01-22|2026-02-04|772-116646-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,1.0,1.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11895|2026-01-22|2026-02-04|772-11895-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4.0,4.0,3.0,28.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|1236|2026-01-22|2026-02-04|772-1236-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,7.0,7.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|1342|2026-01-22|2026-02-04|772-1342-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,2.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|15733|2026-01-22|2026-02-04|772-15733-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,8.0,8.0,3.0,28.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|15736|2026-01-22|2026-02-04|772-15736-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,7.0,7.0,3.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|15839|2026-01-22|2026-02-04|772-15839-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16857|2026-01-22|2026-02-04|772-16857-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,7.0,7.0,3.0,25.2,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|17182|2026-01-22|2026-02-04|772-17182-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,6.0,6.0,1.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|17549|2026-01-22|2026-02-04|772-17549-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|17913|2026-01-22|2026-02-04|772-17913-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,8.0,8.0,6.0,19.599999999999998,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184733|2026-01-22|2026-02-04|772-184733-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4.0,4.0,1.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|18512|2026-01-22|2026-02-04|772-18512-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,29.0,29.0,9.0,49.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185178|2026-01-22|2026-02-04|772-185178-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,1.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185182|2026-01-22|2026-02-04|772-185182-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185498|2026-01-22|2026-02-04|772-185498-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4.0,4.0,3.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|186987|2026-01-22|2026-02-04|772-186987-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,1.0,1.0,1.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187116|2026-01-22|2026-02-04|772-187116-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,9.0,9.0,2.0,28.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187118|2026-01-22|2026-02-04|772-187118-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,9.0,9.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187119|2026-01-22|2026-02-04|772-187119-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4.0,4.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187769|2026-01-22|2026-02-04|772-187769-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187996|2026-01-22|2026-02-04|772-187996-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,2.0,2.0,1.0,18.666666666666664,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188034|2026-01-22|2026-02-04|772-188034-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,5.0,5.0,1.0,0.063,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188951|2026-01-22|2026-02-04|772-188951-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189397|2026-01-22|2026-02-04|772-189397-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4.0,4.0,3.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189553|2026-01-22|2026-02-04|772-189553-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,29.0,29.0,12.0,95.2,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189975|2026-01-22|2026-02-04|772-189975-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,5.0,5.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189976|2026-01-22|2026-02-04|772-189976-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,7.0,7.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189978|2026-01-22|2026-02-04|772-189978-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,6.0,6.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|190032|2026-01-22|2026-02-04|772-190032-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,1.0,1.0,1.0,0.9996,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|190034|2026-01-22|2026-02-04|772-190034-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,3.0,3.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11822|2026-01-15|2026-01-21|772-11822-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,9.0,9.0,6.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11831|2026-01-15|2026-01-21|772-11831-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,16.0,16.0,2.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11833|2026-01-15|2026-01-21|772-11833-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,7.0,7.0,6.0,12.0001,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11838|2026-01-15|2026-01-21|772-11838-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,35.0,35.0,21.0,45.0002,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|11896|2026-01-15|2026-01-21|772-11896-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,5.0,5.0,3.0,7.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|12010|2026-01-15|2026-01-21|772-12010-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,11.0,11.0,7.0,9.333333333333332,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|1485|2026-01-15|2026-01-21|772-1485-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,25.0,25.0,1.0,18.666666666666664,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|15238|2026-01-15|2026-01-21|772-15238-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,5.0,5.0,1.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED
772|16306|2026-01-15|2026-01-21|772-16306-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,10.0,10.0,6.0,9.333333333333332,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16316|2026-01-15|2026-01-21|772-16316-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,9.0,9.0,4.0,8.4,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16527|2026-01-15|2026-01-21|772-16527-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,5.0,5.0,3.0,0.0315,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16828|2026-01-15|2026-01-21|772-16828-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,3.0,3.0,3.0,0.047599999999999996,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16859|2026-01-15|2026-01-21|772-16859-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,57.0,57.0,24.0,59.99980000000001,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|18022|2026-01-15|2026-01-21|772-18022-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,1.0,1.0,1.0,0.0161,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|18024|2026-01-15|2026-01-21|772-18024-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,2.0,2.0,1.0,7.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184677|2026-01-15|2026-01-21|772-184677-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,6.0,6.0,3.0,0.0161,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184704|2026-01-15|2026-01-21|772-184704-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,10.0,10.0,3.0,8.9999,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184705|2026-01-15|2026-01-21|772-184705-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,8.0,8.0,5.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184706|2026-01-15|2026-01-21|772-184706-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,18.0,18.0,11.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184707|2026-01-15|2026-01-21|772-184707-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,33.0,33.0,9.0,29.999900000000004,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
