promotion_row_key,realized_sales_units,sufficient_stock_demand_units_target,stock_basis_units,demand_reference_units,target_repair_basis,target_warning
772|188009|2026-03-05|2026-03-18|772-188009-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188013|2026-03-05|2026-03-18|772-188013-20260305|Allocation Report - OP21 FEMALE FOUNDERS,1.0,1.0,1.0,0.09519999999999999,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188359|2026-03-05|2026-03-18|772-188359-20260305|Allocation Report - OP21 FEMALE FOUNDERS,8.0,8.0,4.0,16.0006,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188737|2026-03-05|2026-03-18|772-188737-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188851|2026-03-05|2026-03-18|772-188851-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,2.0,26.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189391|2026-03-05|2026-03-18|772-189391-20260305|Allocation Report - OP21 FEMALE FOUNDERS,2.0,2.0,1.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|189739|2026-03-05|2026-03-18|772-189739-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|102080|2026-02-19|2026-03-04|772-102080-20260219|Allocation Report - WK34&35 AUTUMN PART 1,2.0,2.0,2.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|15777|2026-02-19|2026-03-04|772-15777-20260219|Allocation Report - WK34&35 AUTUMN PART 1,4.0,4.0,3.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16014|2026-02-19|2026-03-04|772-16014-20260219|Allocation Report - WK34&35 AUTUMN PART 1,1.0,1.0,1.0,0.9996,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|17913|2026-02-19|2026-03-04|772-17913-20260219|Allocation Report - WK34&35 AUTUMN PART 1,5.0,5.0,2.0,22.400000000000002,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185496|2026-02-19|2026-03-04|772-185496-20260219|Allocation Report - WK34&35 AUTUMN PART 1,1.0,1.0,1.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
