sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
188804,0.369,0.008,0.008,0.008,0.113,2.5e-07,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0010733333333333,0.0,anti_collapse_repair_to_1
94492,0.369,0.369,0.203,0.203,0.0,2.5e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,2.5e-07,0.0,anti_collapse_repair_to_1
91031,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
167948,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
90479,0.369,0.369,0.259,0.259,0.0,5.5555555555555555e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,5.5555555555555555e-08,0.0,anti_collapse_repair_to_1
90481,0.369,0.369,0.259,0.259,0.0,5.5555555555555555e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,5.5555555555555555e-08,0.0,anti_collapse_repair_to_1
192847,0.369,0.369,0.259,0.259,0.0,0.3333333333333333,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.3333333333333333,0.0,anti_collapse_repair_to_1
94102,0.369,0.369,0.259,0.259,0.0,0.250000125,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.250000125,0.0,anti_collapse_repair_to_1
192846,0.369,0.369,0.259,0.259,0.0,8.333333333333334e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,8.333333333333334e-08,0.0,anti_collapse_repair_to_1
63109,1.101,0.037,0.037,0.037,0.549,3.823529411764706,0.0052266666666666,7.0,1,1,MODEL_PREDICTION,True,True,3.823529411764706,2.823529411764706,anti_collapse_repair_to_1
43839,10.319,0.009,0.008,0.008,0.113,13.625,0.0012692592592592,7.0,1,1,MODEL_PREDICTION,True,True,13.625,12.625,anti_collapse_repair_to_1
67686,0.369,0.369,0.369,0.369,0.0,0.5789473684210527,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
252767,0.369,0.103,0.103,0.103,0.0,0.25,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.25,0.0,anti_collapse_repair_to_1
54487,0.369,0.369,0.369,0.369,0.0,0.25,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
102282,0.369,0.369,0.369,0.369,0.0,0.1111111111111111,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
668236,0.369,0.369,0.259,0.259,0.0,0.4444444444444444,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.4444444444444444,0.0,anti_collapse_repair_to_1
97120,0.369,0.369,0.369,0.369,0.0,1e-06,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
197166,0.369,0.369,0.259,0.259,0.0,0.4210526315789473,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.4210526315789473,0.0,anti_collapse_repair_to_1
90450,0.369,0.008,0.008,0.008,0.113,5.5555555555555555e-08,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0010733333333333,0.0,anti_collapse_repair_to_1
90448,0.369,0.369,0.259,0.259,0.0,0.1666666666666666,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1666666666666666,0.0,anti_collapse_repair_to_1
50927,0.431,0.015,0.015,0.015,0.22,2.0,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,2.0,1.0,anti_collapse_repair_to_1
44299,0.369,0.369,0.259,0.259,0.0,0.1818181818181818,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1818181818181818,0.0,anti_collapse_repair_to_1
341556,0.369,0.369,0.369,0.369,0.0,0.5294117647058824,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
198653,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
668988,0.369,0.369,0.259,0.259,0.0,0.3333333333333333,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.3333333333333333,0.0,anti_collapse_repair_to_1
186418,0.369,0.369,0.259,0.259,0.0,0.1875,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1875,0.0,anti_collapse_repair_to_1
97059,0.369,0.369,0.369,0.369,0.0,1e-06,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
91904,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
88380,0.369,0.369,0.037,0.037,0.549,0.0784,0.0052266666666666,7.0,1,1,MODEL_PREDICTION,True,True,0.0784,0.0,anti_collapse_repair_to_1
97200,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
521120,0.369,0.369,0.369,0.369,0.0,0.5,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
668194,0.369,0.369,0.259,0.259,0.0,0.2222222222222222,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.2222222222222222,0.0,anti_collapse_repair_to_1
98002,0.369,0.022,0.022,0.022,0.333,0.5238,0.0031733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.5238,0.0,anti_collapse_repair_to_1
185417,0.369,0.369,0.259,0.259,0.0,0.2222222222222222,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.2222222222222222,0.0,anti_collapse_repair_to_1
729841,0.369,0.369,0.369,0.369,0.0,0.4666666666666667,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
167110,0.369,0.369,0.029,0.029,0.436,0.0623,0.0041533333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0623,0.0,anti_collapse_repair_to_1
192342,0.369,0.008,0.008,0.008,0.113,2.0588235294117645,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,2.0588235294117645,1.0588235294117645,anti_collapse_repair_to_1
67697,0.369,0.369,0.369,0.369,0.0,0.8125,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
90988,0.369,0.369,0.008,0.008,0.113,0.0161,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0161,0.0,anti_collapse_repair_to_1
97057,0.369,0.369,0.369,0.369,0.0,1e-06,8.0,7.0,1,1,MODEL_PREDICTION,True,True,8.0,7.0,anti_collapse_repair_to_1
192033,0.422,0.008,0.008,0.008,0.113,21.75,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,21.75,20.75,anti_collapse_repair_to_1
668756,0.369,0.369,0.259,0.259,0.0,0.5,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.5,0.0,anti_collapse_repair_to_1
189592,0.369,0.369,0.259,0.259,0.0,0.4444444444444444,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.4444444444444444,0.0,anti_collapse_repair_to_1
260843,0.369,0.015,0.015,0.015,0.22,1.411764705882353,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,1.411764705882353,0.41176470588235303,anti_collapse_repair_to_1
97194,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
668673,0.369,0.369,0.259,0.259,0.0,0.1111111666666666,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1111111666666666,0.0,anti_collapse_repair_to_1
193075,0.369,0.369,0.259,0.259,0.0,0.1818181818181818,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1818181818181818,0.0,anti_collapse_repair_to_1
37407,0.369,0.369,0.259,0.259,0.0,1.3333333333333333,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.3333333333333333,0.33333333333333326,anti_collapse_repair_to_1
43907,0.369,0.369,0.259,0.259,0.0,6.25e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,6.25e-08,0.0,anti_collapse_repair_to_1
62226,0.369,0.369,0.259,0.259,0.0,0.6666666666666666,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.6666666666666666,0.0,anti_collapse_repair_to_1
189356,0.369,0.008,0.008,0.008,0.113,1.0,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.0,0.0,anti_collapse_repair_to_1
199943,0.369,0.008,0.008,0.008,0.113,2.5e-07,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0010733333333333,0.0,anti_collapse_repair_to_1
95846,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
62235,0.369,0.369,0.259,0.259,0.0,0.4285714285714285,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.4285714285714285,0.0,anti_collapse_repair_to_1
197169,0.369,0.369,0.259,0.259,0.0,0.1875,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1875,0.0,anti_collapse_repair_to_1
97203,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
668178,0.369,0.369,0.259,0.259,0.0,0.875,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.875,0.0,anti_collapse_repair_to_1
198526,0.369,0.103,0.103,0.103,0.0,0.125,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.125,0.0,anti_collapse_repair_to_1
94765,0.369,0.369,0.259,0.259,0.0,0.1,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1,0.0,anti_collapse_repair_to_1
192848,0.369,0.015,0.015,0.015,0.22,0.2000001,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.2000001,0.0,anti_collapse_repair_to_1
73217,0.369,0.369,0.369,0.369,0.0,0.6363636363636364,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
97981,0.369,0.369,0.203,0.203,0.0,5e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,5e-07,0.0,anti_collapse_repair_to_1
