regime_field,regime_value,row_count,avg_opportunity_score,avg_risk_score,avg_decision_value
promo_convexity_regime,HIGH_CONVEXITY,4031,63.734606797320765,14.368643016621185,10.103161746464897
promo_convexity_regime,LOW_CONVEXITY,45621,20.96958199074987,15.321452839701015,3.1796414808969553
promo_convexity_regime,NORMAL,2633,38.24314470186099,15.56399544246107,9.694976832510445
promo_value_regime,LOW_VALUE,27321,24.12832985615461,15.116393982650708,3.294146993155448
promo_value_regime,VALUE_UPLIFT,24964,26.239849383111675,15.41760134593815,4.859467753565133
cash_efficiency_regime,CAPITAL_EFFICIENT,45871,24.85841599267511,14.44518323123542,2.777997471169148
cash_efficiency_regime,CASH_TIE_UP_RISK,6414,27.125241658871218,21.08902400997817,13.077895385095104
cash_tied_above_optimal_regime,CAPITAL_EFFICIENT,50026,24.4996201974973,15.127333786431056,3.8826880022388353
cash_tied_above_optimal_regime,CASH_TIE_UP_RISK,2259,39.240239043824694,18.20274457724657,7.5590053120849925
capital_at_risk_regime,CASH_RELEASE_PRIORITY,2076,41.632080924855494,18.229768786127167,7.160565510597303
capital_at_risk_regime,NORMAL,50209,24.454450397339123,15.137425561154375,3.912561672210161
