sku_number,decision,optimal_order_units_to_reach_day_one_stock,recommended_order_units,remaining_gap_after_recommended_order_units,recommendation_coverage_ratio,recommendation_constraint_reason,stock_gap_units
187645,REVIEW,11,0,11,0.0,review_required,11.286
191288,REVIEW,6,0,6,0.0,review_required,6.286
386359,REVIEW,10,0,10,0.0,review_required,10.286
190839,REVIEW,11,0,11,0.0,review_required,11.286
26669,REVIEW,8,0,8,0.0,review_required,8.286
188736,REVIEW,12,0,12,0.0,review_required,12.286
94559,REVIEW,13,0,13,0.0,review_required,13.286
16857,REVIEW,10,0,10,0.0,review_required,10.286
654988,REVIEW,12,0,12,0.0,review_required,12.286
69758,REVIEW,13,0,13,0.0,review_required,13.286
96596,REVIEW,13,3,10,0.231,review_required,13.286
688711,REVIEW,12,0,12,0.0,review_required,12.286
92331,REVIEW,12,0,12,0.0,review_required,12.286
49692,REVIEW,9,0,9,0.0,review_required,8.607
92210,REVIEW,15,2,13,0.133,review_required,15.102
897272,REVIEW,9,0,9,0.0,review_required,9.08
65836,REVIEW,15,2,13,0.133,review_required,14.536
191881,REVIEW,10,0,10,0.0,review_required,9.929
396168,REVIEW,9,0,9,0.0,review_required,8.735
92213,REVIEW,14,2,12,0.143,review_required,14.347
426784,REVIEW,12,0,12,0.0,review_required,11.735
15777,REVIEW,10,0,10,0.0,review_required,9.69
190136,REVIEW,10,0,10,0.0,review_required,10.477
390860,REVIEW,2,0,2,0.0,review_required,2.477
7237,REVIEW,11,0,11,0.0,review_required,11.477
195048,REVIEW,14,2,12,0.143,review_required,14.096
655159,REVIEW,8,0,8,0.0,review_required,8.477
199839,REVIEW,10,0,10,0.0,review_required,10.477
184705,REVIEW,10,0,10,0.0,review_required,10.477
26155,REVIEW,10,0,10,0.0,review_required,10.477
195088,REVIEW,11,0,11,0.0,review_required,11.477
63369,REVIEW,9,0,9,0.0,review_required,9.25
234915,REVIEW,10,0,10,0.0,review_required,9.925
67986,REVIEW,11,0,11,0.0,review_required,10.874
94276,REVIEW,11,0,11,0.0,review_required,10.571
201057,REVIEW,10,0,10,0.0,review_required,9.571
94272,REVIEW,6,0,6,0.0,review_required,5.571
384240,REVIEW,9,0,9,0.0,review_required,8.571
54863,REVIEW,8,0,8,0.0,review_required,8.269
65630,REVIEW,10,0,10,0.0,review_required,10.184
390798,REVIEW,8,0,8,0.0,review_required,8.184
66125,REVIEW,10,0,10,0.0,review_required,10.184
388718,REVIEW,8,0,8,0.0,review_required,8.029
90105,REVIEW,9,0,9,0.0,review_required,8.832
198463,REVIEW,9,0,9,0.0,review_required,8.666
688304,REVIEW,9,0,9,0.0,review_required,8.666
298034,REVIEW,9,0,9,0.0,review_required,8.666
298018,REVIEW,10,0,10,0.0,review_required,9.666
233048,REVIEW,7,0,7,0.0,review_required,6.666
342483,REVIEW,9,0,9,0.0,review_required,8.666
23449,REVIEW,10,0,10,0.0,review_required,9.666
190121,REVIEW,8,0,8,0.0,review_required,7.666
42901,REVIEW,9,0,9,0.0,review_required,8.666
