sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
199846,5,0,2.0,3.0,3.0,0.0
184707,7,0,1.857,5.143,5.143,0.0
445650,13,0,1.81,11.19,11.19,0.0
15789,4,0,1.79,2.21,2.21,0.0
580,5,0,1.778,3.222,3.222,0.0
199243,8,0,1.714,6.286,6.286,0.0
15792,3,0,1.681,1.319,1.319,0.0
63079,1,3,1.672,2.328,2.328,0.0
193203,3,0,1.662,1.338,1.338,0.0
49686,10,0,1.643,8.357,8.357,0.0
195091,3,0,1.571,1.429,1.429,0.0
94903,3,0,1.571,1.429,1.429,0.0
188716,5,0,1.571,3.429,3.429,0.0
612448,4,0,1.524,2.476,2.476,0.0
37987,3,0,1.5,1.5,1.5,0.0
655035,3,0,1.476,1.524,1.524,0.0
655084,7,0,1.476,5.524,5.524,0.0
93339,3,0,1.429,1.571,1.571,0.0
18512,14,0,1.381,12.619,12.619,0.0
32861,10,0,1.381,8.619,8.619,0.0
188719,4,0,1.286,2.714,2.714,0.0
187118,3,0,1.286,1.714,1.714,0.0
187116,3,0,1.286,1.714,1.714,0.0
94904,7,0,1.286,5.714,5.714,0.0
390763,6,0,1.2,4.8,4.8,0.0
90933,2,0,1.143,0.857,0.857,0.0
92853,4,0,1.143,2.857,2.857,0.0
195446,4,0,1.143,2.857,2.857,0.0
193205,2,3,1.117,3.883,3.883,0.0
186369,3,0,1.095,1.905,1.905,0.0
93336,5,0,1.071,3.929,3.929,0.0
93951,17,0,1.071,15.929,15.929,0.0
194048,7,0,1.071,5.929,5.929,0.0
193212,3,0,1.052,1.948,1.948,0.0
88081,6,0,1.048,4.952,4.952,0.0
28287,4,0,1.008,2.992,2.992,0.0
947520,8,0,1.0,7.0,7.0,0.0
90330,4,0,1.0,3.0,3.0,0.0
94511,3,0,1.0,2.0,2.0,0.0
63823,6,0,1.0,5.0,5.0,0.0
463027,9,0,0.959,8.041,8.041,0.0
655050,3,0,0.952,2.048,2.048,0.0
31874,14,0,0.952,13.048,13.048,0.0
591904,3,0,0.952,2.048,2.048,0.0
475114,12,0,0.949,11.051,11.051,0.0
798169,6,0,0.946,5.054,5.054,0.0
491852,3,0,0.946,2.054,2.054,0.0
490563,12,0,0.918,11.082,11.082,0.0
75453,3,0,0.905,2.095,2.095,0.0
188766,11,0,0.905,10.095,10.095,0.0
184706,3,0,0.905,2.095,2.095,0.0
62768,3,0,0.857,2.143,2.143,0.0
188714,5,0,0.857,4.143,4.143,0.0
90374,3,0,0.857,2.143,2.143,0.0
94234,8,0,0.857,7.143,7.143,0.0
483036,6,0,0.841,5.159,5.159,0.0
195078,10,0,0.839,9.161,9.161,0.0
193713,4,0,0.829,3.171,3.171,0.0
458074,3,0,0.829,2.171,2.171,0.0
2839,3,0,0.821,2.179,2.179,0.0
