sku_number,predicted_promo_period_sales_units,promo_period_demand_source,promo_period_demand_warning
57928,1.261,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195431,1.235,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15769,1.235,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
57612,1.158,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94071,1.143,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67700,1.125,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
645745,1.125,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93985,1.091,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192940,1.091,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
46754,1.087,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
1229,1.087,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
799718,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67696,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90838,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
310832,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
32866,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
679208,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
19966,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90149,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
974463,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194050,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94063,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
69352,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67693,1.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93993,0.909,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
731188,0.905,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195433,0.882,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195435,0.882,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
29850,0.833,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
39394,0.826,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15841,0.824,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94005,0.818,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67697,0.812,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
198735,0.8,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
199751,0.786,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
71548,0.786,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
198714,0.778,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
95495,0.75,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
95494,0.75,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
68268,0.714,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
87603,0.714,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
34113,0.688,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193696,0.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90439,0.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
1227,0.652,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
30540,0.652,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
483621,0.652,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195436,0.647,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195432,0.647,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
974331,0.636,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
73217,0.636,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15009,0.625,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
974390,0.625,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
190137,0.6,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192359,0.6,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
521195,0.591,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195439,0.588,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67686,0.579,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
68266,0.571,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94066,0.571,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
198728,0.571,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67689,0.562,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
67699,0.562,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
341556,0.562,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192931,0.55,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
191180,0.546,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93987,0.546,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195994,0.546,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
62854,0.538,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
199055,0.538,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
57316,0.536,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
196930,0.529,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94684,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192935,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96517,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96615,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96614,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96502,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94874,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
96153,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
521120,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
54481,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194020,0.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193457,0.25,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193286,0.214,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194821,0.2,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192046,73.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
192083,35.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188710,27.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188721,27.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188715,27.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
