sku_number,decision,recommended_order_units,reason_order,human_review_required,production_ordering_approved
94074,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
90447,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
188037,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
188943,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
193291,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94688,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94685,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
90169,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
193318,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
94696,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
102282,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
194133,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
93967,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93978,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
193079,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
195519,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
46574,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
191380,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
196932,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
