source_id,source_type,target_id,target_type,edge_type,weight
SKU:93338,SKU,CATEGORY:DERMA COS,CATEGORY,MEMBER_OF,1.0
SKU:93338,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:93338,SKU,PROMOTION:772|93338|2025-11-13|2025-11-26|772-93338-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:93458,SKU,DEPARTMENT:SUNCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:93458,SKU,CATEGORY:SUN PROTECTION,CATEGORY,MEMBER_OF,1.0
SKU:93458,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:93458,SKU,PROMOTION:772|93458|2025-12-25|2026-01-14|772-93458-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,PROMOTION,IN_PROMOTION,1.0
SKU:22987,SKU,DEPARTMENT:FAMILY PLANNING,DEPARTMENT,MEMBER_OF,1.0
SKU:22987,SKU,CATEGORY:SEXUAL HEALTH,CATEGORY,MEMBER_OF,1.0
SKU:22987,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:22987,SKU,PROMOTION:772|22987|2026-04-09|2026-04-22|772-22987-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:591461,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:591461,SKU,CATEGORY:ESSENCE,CATEGORY,MEMBER_OF,1.0
SKU:591461,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:591461,SKU,PROMOTION:772|591461|2025-12-25|2026-01-14|772-591461-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,PROMOTION,IN_PROMOTION,1.0
