promotion_row_key,sku_number,sku_description,promo_type,legacy_expected_demand,expected_promo_demand,final_order_units,legacy_order_units,stock_basis_units,demand_reference_units,realized_sales_units,target_quality_label,target_repair_basis,target_weight,buy_change,raw_stock_gap_units,pack_size,action_reason_short,over_stock_basis
772|190280|2026-02-19|2026-03-04|772-190280-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190280,Pl Elastics Thick Blonde 10Pk,normal catalogue,0.022210337984485035,3.445839345553016,12,0,3.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|184799|2026-03-26|2026-04-08|772-184799-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,184799,Oral B 3Dw Freshness Tp 110G,normal catalogue,4.28415990778721,11.053258824977013,12,0,12.0,24.0002,8.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,12.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|189728|2026-03-05|2026-03-18|772-189728-20260305|Allocation Report - OP21 FEMALE FOUNDERS,189728,Colg Tp Plaq Frag Mint 95G,online promotion,1.5929639935605824,4.14999319033464,12,0,5.0,14.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|189729|2026-03-05|2026-03-18|772-189729-20260305|Allocation Report - OP21 FEMALE FOUNDERS,189729,Colg Tp Plaq Cool Mint 95G,online promotion,1.518461429299126,3.2728637309244406,12,12,3.0,14.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,2,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|189728|2026-03-19|2026-03-25|772-189728-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,189728,Colg Tp Plaq Frag Mint 95G,sales event,0.46179291099489533,4.574481385204633,12,0,5.0,10.5,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190264|2026-02-19|2026-03-04|772-190264-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190264,Pl Bobby Pins Thick Blond 10Pk,normal catalogue,2.0958447040401325,4.106913832146091,12,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|95602|2026-03-24|2026-04-22|772-95602-20260324|Allocation Report - New Line 26 WK38,95602,Isocol Multpurp A/Bact Wp 15Pk,newlines,0.022210337984485035,10.283468906699065,12,12,12.0,24.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,12,12.0,STOCK_GAP_ORDER,0
772|185568|2026-03-26|2026-04-08|772-185568-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185568,Libra Liner Extra Protect 30,normal catalogue,5.64687833042036,13.52217848482916,12,0,12.0,24.0002,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,7,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|189729|2026-02-19|2026-03-04|772-189729-20260219|Allocation Report - WK34&35 AUTUMN PART 1,189729,Colg Tp Plaq Cool Mint 95G,normal catalogue,1.8196224480724938,3.65963055328631,12,12,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,12.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|97783|2026-03-24|2026-04-22|772-97783-20260324|Allocation Report - New Line 26 WK38,97783,Sch Cs 6-0 Nat Lt Brn 245Ml,newlines,4.741728173935792,8.878230639234108,11,7,2.0,90.0,6.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,11,1.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|185622|2026-03-05|2026-03-18|772-185622-20260305|Allocation Report - OP21 FEMALE FOUNDERS,185622,Berocca Energy Berry Tab 30,online promotion,4.065937260638055,9.128887348679012,10,10,3.0,56.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,8,10.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|185622|2026-03-19|2026-03-25|772-185622-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,185622,Berocca Energy Berry Tab 30,sales event,2.0223883639820817,3.8231775783163626,10,10,3.0,7.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,10.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|185622|2026-03-26|2026-04-08|772-185622-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,185622,Berocca Energy Berry Tab 30,normal catalogue,0.10026978976619505,7.700911376383516,10,0,10.0,20.000400000000003,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,7,10.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|43427|2026-02-08|2026-02-14|772-43427-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,43427,Skin Repub Foot Repair,sales event,1.663813512745214,4.573883329576585,10,0,4.0,14.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,3,10.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|192105|2026-02-08|2026-02-14|772-192105-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,192105,Skin Repub Lift Up Mask,sales event,0.12891745300787616,0.12996252043651207,10,10,0.0,0.2037,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,2,10.0,STOCK_GAP_ORDER|OVER_2X_DEMAND_REF|STOCKOUT_RISK,0
772|12005|2026-02-08|2026-02-14|772-12005-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,12005,Skin Repub Spot & Blemish Mask,sales event,0.0,3.2691028933755044,10,10,0.0,45.5,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,5,10.0,STOCK_GAP_ORDER|STOCKOUT_RISK,0
772|188136|2026-03-26|2026-04-08|772-188136-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,188136,Swisse U/B O/Less Fish Oil 200,normal catalogue,1.931270201306175,7.201785768155129,9,3,6.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,7,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|15841|2026-03-26|2026-04-08|772-15841-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15841,Npmu Lg Butter Angel Food Cke,normal catalogue,0.0,9.067474874400636,9,0,3.0,42.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,7,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
