promotion_row_key,sku_number,sku_description,store_action,expected_promo_demand,uncapped_order_units,order_units,stock_basis_units,demand_reference_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary
772|17280|2026-03-26|2026-04-08|772-17280-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17280,Cenovis 1D Wmns Multi 100 Caps,BUY,0.8164070035749751,2,1,1.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 1 units (demand 0.8) [CAP APPLIED]
772|17299|2026-03-26|2026-04-08|772-17299-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17299,Cenovis Turmeric 80 Capsules,DO_NOT_BUY,0.0,0,0,2.0,0.0,0,,0,0,0,DO NOT BUY
772|17649|2026-03-26|2026-04-08|772-17649-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17649,Metamucil Nat Granular 114Dose,HOLD,0.1479116988992435,1,0,1.0,0.0322,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,HOLD — stock covers demand 0.1 [CAP APPLIED]
772|17845|2026-03-26|2026-04-08|772-17845-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17845,Rev Cs Eyeliner Black Violet,HOLD,0.026034652687849203,0,0,3.0,0.0644,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.0
772|17885|2026-03-26|2026-04-08|772-17885-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17885,Rev Powdr Blush Tickled Pink,BUY,0.17803538869066515,2,2,1.0,0.0,0,,0,0,0,BUY 2 units (demand 0.2)
772|17959|2026-03-26|2026-04-08|772-17959-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17959,Ariana Sweet Like Candy Edp 30,BUY,0.2527863591441848,1,1,1.0,0.0,0,,0,0,0,BUY 1 units (demand 0.3)
772|18022|2026-03-26|2026-04-08|772-18022-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,18022,Rev Cs O/Time Lc Bare Maximum,BUY,1.050057333496631,2,2,2.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 1.1)
772|18024|2026-03-26|2026-04-08|772-18024-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,18024,Rev Cs O/Time Lc Inf Raspberry,BUY,1.0384990323929861,2,2,2.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 1.0)
772|18030|2026-03-26|2026-04-08|772-18030-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,18030,Rev Cs O/Time Lc Perrnial Plum,BUY,0.9025998880550946,2,2,2.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 0.9)
772|18258|2026-03-26|2026-04-08|772-18258-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,18258,Rim Masc Scandaleyes Reloaded,BUY,3.1680098958301355,3,3,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 3 units (demand 3.2)
772|18260|2026-03-26|2026-04-08|772-18260-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,18260,Rim El Micro Relaunch,BUY,2.973289578197042,3,3,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 3 units (demand 3.0)
