promotion_row_key,store_action_legacy,order_units_legacy,store_action_shadow,order_units_shadow,manager_reason_short,manager_action_summary,change
772|116671|2026-03-26|2026-04-08|772-116671-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 1.1),shadow_added_buy
772|117337|2026-03-26|2026-04-08|772-117337-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 3.6),shadow_added_buy
772|11838|2026-03-26|2026-04-08|772-11838-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,6,,BUY 6 units (demand 15.0),shadow_added_buy
772|120435|2026-03-26|2026-04-08|772-120435-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 3.9),shadow_added_buy
772|12733|2026-03-26|2026-04-08|772-12733-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 1.6),shadow_added_buy
772|12979|2026-03-26|2026-04-08|772-12979-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 2.9) [CAP APPLIED],shadow_added_buy
772|13296|2026-03-26|2026-04-08|772-13296-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,DO_NOT_BUY,0,BUY,6,,BUY 6 units (demand 8.0),shadow_added_buy
772|1379|2026-03-26|2026-04-08|772-1379-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 2.5),shadow_added_buy
772|13872|2026-03-26|2026-04-08|772-13872-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,4,,BUY 4 units (demand 7.9) [CAP APPLIED],shadow_added_buy
772|13873|2026-03-26|2026-04-08|772-13873-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 2.1),shadow_added_buy
772|13989|2026-03-26|2026-04-08|772-13989-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,4,,BUY 4 units (demand 3.8),shadow_added_buy
772|14528|2026-03-26|2026-04-08|772-14528-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 4.2),shadow_added_buy
772|14739|2026-03-26|2026-04-08|772-14739-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,5,,BUY 5 units (demand 5.9) [CAP APPLIED],shadow_added_buy
772|15009|2026-03-26|2026-04-08|772-15009-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 3.2),shadow_added_buy
772|15182|2026-03-26|2026-04-08|772-15182-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,1,,BUY 1 units (demand 2.4),shadow_added_buy
772|15238|2026-03-26|2026-04-08|772-15238-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 4.0),shadow_added_buy
772|15272|2026-03-26|2026-04-08|772-15272-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,1,,BUY 1 units (demand 1.4),shadow_added_buy
772|15719|2026-03-26|2026-04-08|772-15719-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 5.5),shadow_added_buy
