report_mode,variant,promotion_row_key,sku_number,sku_description,department,category,store_action,expected_promo_demand,order_units,stock_basis_units,demand_reference_units,target_quality_label,target_repair_basis,target_weight,uncapped_order_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary,manager_reason_short
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184707|2026-03-05|2026-03-18|772-184707-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184707,Lrp Anth Inv/Spray Spf50+ 200M,SUNCARE,SUN PROTECTION,BUY,4.393622750245283,3,3.0,50.4,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,3,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 3 units (demand 4.4),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184733|2026-03-05|2026-03-18|772-184733-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184733,Batiste Vol Dry Shampoo 350Ml,HAIRCARE,DRY SHAMPOO,BUY,3.6186119333812705,2,4.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,2,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 3.6),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184777|2026-03-05|2026-03-18|772-184777-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184777,Loving Tan Dlx G/Tan Drk 150Ml,TANNING,TANNING SKIN,BUY,0.07783026911959985,2,0.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,2,0,,0,0,0,BUY 2 units (demand 0.1),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184778|2026-03-05|2026-03-18|772-184778-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184778,Loving Tan Dlx G/Tan Med 150Ml,TANNING,TANNING SKIN,BUY,0.07783026911959985,2,0.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,2,0,,0,0,0,BUY 2 units (demand 0.1),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184780|2026-03-05|2026-03-18|772-184780-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184780,Loving Tan Platinum Mse 100Ml,TANNING,TANNING SKIN,BUY,2.2855686479534265,2,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,3,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 2.3) [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184781|2026-03-05|2026-03-18|772-184781-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184781,Loving Tan Platinum Mse 200Ml,TANNING,TANNING SKIN,HOLD,0.42518527561101016,0,2.0,0.063,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.4,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184785|2026-03-05|2026-03-18|772-184785-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184785,Loving Tan D/L Mse Drk 120Ml,TANNING,TANNING SKIN,BUY,3.009049832660081,2,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,3,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.0) [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184786|2026-03-05|2026-03-18|772-184786-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184786,Loving Tan D/L Mse Med 120Ml,TANNING,TANNING SKIN,HOLD,0.24762584194496057,0,4.0,0.0,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,0,0,,0,0,0,HOLD — stock covers demand 0.2,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184787|2026-03-05|2026-03-18|772-184787-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184787,Loving Tan 2Hr Exp Drk 200Ml,TANNING,TANNING SKIN,BUY,3.2708204125324762,2,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,3,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.3) [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184788|2026-03-05|2026-03-18|772-184788-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184788,Loving Tan 2Hr Exp Med 120Ml,TANNING,TANNING SKIN,BUY,1.2549270047797882,3,0.0,17.5,INSUFFICIENT_EVIDENCE,,0.0,3,0,,0,0,0,BUY 3 units (demand 1.3),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184791|2026-03-05|2026-03-18|772-184791-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184791,Loving Tan Deluxe Mitt,TANNING,TAN APPLICATOR,HOLD,1.663570418992894,0,4.0,0.0322,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,1,1,HOLD — stock covers demand 1.7,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184794|2026-03-05|2026-03-18|772-184794-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184794,Loving Tan 2Hr Exp Drk 120Ml,TANNING,TANNING SKIN,BUY,3.68112806964633,3,4.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,3,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 3 units (demand 3.7),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184831|2026-03-05|2026-03-18|772-184831-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184831,Hey Bud Hemp Clay Mask 120G,SKINCARE,NATURAL,BUY,2.3736493022908856,2,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,2,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 2.4),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184832|2026-03-05|2026-03-18|772-184832-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184832,Hey Bud Hemp Face Oil 30Ml,SKINCARE,NATURAL,HOLD,0.10947761200836832,0,2.0,0.0322,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.1,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184833|2026-03-05|2026-03-18|772-184833-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184833,Hey Bud Night Moisturiser 50G,SKINCARE,NATURAL,BUY,1.158629572118418,1,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,1,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 1 units (demand 1.2),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184834|2026-03-05|2026-03-18|772-184834-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184834,Hey Bud Gel Cleanser 150Ml,SKINCARE,NATURAL,BUY,1.158629572118418,1,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,1,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 1 units (demand 1.2),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|184835|2026-03-05|2026-03-18|772-184835-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184835,Hey Bud Hya Acid/Hemp Srm 30Ml,SKINCARE,NATURAL,BUY,2.3736493022908856,2,2.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,2,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 2 units (demand 2.4),
