sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
193204,May Ls Sky High Wtp,9.273,39.74,49.013,0.189,0.811,49,0,49,promo_cover_gap
194014,Csc Dly Clarifying Soln 100Ml,9.25,39.643,48.893,0.189,0.811,47,8,39,base_stock_gap
11838,Avene Cicalfate Rest Skin Crm,9.125,39.107,48.232,0.189,0.811,41,0,41,base_stock_gap
46889,May Fs Set Spray 100 Lst Fx,9.0,38.571,47.571,0.189,0.811,41,0,41,base_stock_gap
87753,Innisfree Grn T Hyal Crm 50Ml,9.0,38.571,47.571,0.189,0.811,45,0,45,promo_cover_gap
188719,Cerave Hyal Acid Serum 30Ml,9.0,38.571,47.571,0.189,0.811,45,0,45,promo_cover_gap
187118,G/Mane Hair Growth Spray 100Ml,9.0,38.571,47.571,0.189,0.811,46,0,46,promo_cover_gap
187116,G/Mane 10 Min Hair Mask 220Ml,9.0,38.571,47.571,0.189,0.811,46,0,46,promo_cover_gap
94904,Lrp Hyalu Face Cream 50Ml,9.0,38.571,47.571,0.189,0.811,42,0,42,promo_cover_gap
198637,Avene Fluid Spf 50+ 50Ml,8.75,37.5,46.25,0.189,0.811,42,0,42,promo_cover_gap
87755,Innisfree Grn T Hyal Srm 80Ml,8.5,36.429,44.929,0.189,0.811,38,0,38,base_stock_gap
390763,U By Kotex U/T Reg Wing 14,8.4,36.0,44.4,0.189,0.811,40,0,40,promo_cover_gap
495891,Lrp Cicaplast Lips 7.5Ml,8.333,35.714,44.047,0.189,0.811,44,0,44,promo_cover_gap
192936,May Eye Makeup Remover 70Ml,8.318,60.0,68.318,0.122,0.878,67,12,55,base_stock_gap
192838,Blistex Lip Cond 4.25G Spf30,8.143,34.898,43.041,0.189,0.811,26,0,26,base_stock_gap
97057,Wafgi Sen S/Screen Spf50 200Ml,8.0,34.286,42.286,0.189,0.811,33,7,26,base_stock_gap
90933,Cetaphil Pro S&Rep Crm 226G,8.0,34.286,42.286,0.189,0.811,41,7,34,base_stock_gap
198880,Lrp Mela B3 Cleanser 200Ml,8.0,34.286,42.286,0.189,0.811,41,0,41,promo_cover_gap
92853,Cerave Blem Control Clns 473Ml,8.0,34.286,42.286,0.189,0.811,39,0,39,promo_cover_gap
195446,Lrp Effaclar +M F/Clnsr 400Ml,8.0,34.286,42.286,0.189,0.811,39,0,39,promo_cover_gap
193205,May Ls Sky High Cosmic Blk,7.818,33.507,41.325,0.189,0.811,38,0,38,promo_cover_gap
188857,Bioderma A/Derm Shower Oil 1L,7.667,32.857,40.524,0.189,0.811,39,0,39,promo_cover_gap
186369,Neut H/B Ha Water Gel Rfl 50G,7.667,32.857,40.524,0.189,0.811,39,0,39,promo_cover_gap
93336,Lrp Anth A/C Tint Spf50 50Ml,7.5,32.143,39.643,0.189,0.811,36,0,36,promo_cover_gap
93951,Fraim Soft Wide Headbands 5Pk,7.5,32.143,39.643,0.189,0.811,24,0,24,base_stock_gap
194048,Csc Moisture+ Sheet Mask 1Pc,7.5,32.143,39.643,0.189,0.811,34,0,34,base_stock_gap
200956,B/Bees Ultra L/Balm 4.25G Hang,7.429,31.837,39.266,0.189,0.811,34,0,34,base_stock_gap
193212,May Ls Sky High Brown,7.364,31.558,38.922,0.189,0.811,37,0,37,promo_cover_gap
88081,Bwy Hydrating Milk Serum 80Ml,7.333,31.428,38.761,0.189,0.811,33,0,33,base_stock_gap
28287,Npmu Epic Ink Lnr Black,7.059,30.252,37.311,0.189,0.811,34,0,34,promo_cover_gap
98024,Rim Thrl Skr Lip Ltx Cap,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91912,Catr Glw Eye&Chk Pal,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
88392,Es Drop Of Sunshine Brnz Drops,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
96487,May Face Lifter Fdn 325,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
96605,Npmu Make Em Wndr Fdn Light,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
96624,Npmu Make Em Wndr Fdn Warm Ric,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
96604,Npmu Make Em Wndr Fdn Fair Ivo,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91068,Catr Hd Liquid Covrge Fndn 020,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91067,Catr Hd Liquid Covrge Fndn 010,7.0,30.0,37.0,0.189,0.811,37,7,30,base_stock_gap
96469,May Lifter Conceal 45,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
96473,May Lifter Conceal 85,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
90457,Rim M.T Brnzcntrsclpt Light,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91037,Catr The Dusty Mte Es Palette,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91874,Catr Shaper Con&Glow Stick 020,7.0,30.0,37.0,0.189,0.811,37,7,30,base_stock_gap
97132,Rim Thrl Skr Shmr Shk El Jngle,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
91950,Catr Liq Brnzr 025,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
192363,Clairol Biu S/Perm Tone Opal,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91013,Catr Oil Cntrl Fixing Spray,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91903,Catr M&S Lip Blm 010,7.0,30.0,37.0,0.189,0.811,37,7,30,base_stock_gap
91073,Catr Glm & Doll Sclpt&Vol Masc,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
91051,Catr Big Bold 24H Lsh Eff Masc,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91901,Catr Liq Blsh 020,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91011,Catr Big Bold Dp Blk Vol Masc,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91056,Catr Glam&Doll Volume Masc 010,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91900,Catr Liq Blsh 030,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91029,Catr Super Glue Brow Gel 010,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91941,Catr U/E Brghtnr 030,7.0,30.0,37.0,0.189,0.811,32,7,25,base_stock_gap
91882,Catr Glsn Glw Tint Lip Oil 020,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
90999,Catr More Than Glow Hl 020,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
91063,Catr Lash Curler,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91953,Catr Glw Lip Oil 070,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91866,Catr Clr&Fix Brow Gel Masc 030,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91952,Catr Arblsh Matt 150,7.0,30.0,37.0,0.189,0.811,37,7,30,base_stock_gap
95886,Es Hydra Kiss Lip Tint 01,7.0,30.0,37.0,0.189,0.811,31,7,24,base_stock_gap
92155,Es What The Fake Lashes 01,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
95879,Es Satin Glow Lum Shine Ls 02,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
91864,Catr Cligrph 20H Mte Liner 010,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
95877,Es Satin Glow Lum Shine Ls 01,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
95888,Es Hydra Kiss Lip Tint 02,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
92157,Es Brow Powder Duo Set 01,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91079,Catr Gel 2In1 Base & Top Coat,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91036,Catr Slmmtc Prcswp Brw Pen 060,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
92147,Es Baby Got Brnze Brnz Stk 40,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
95834,Es Camo+ Matte Concealer 180,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
91855,Catr 20H Prcsn Gel Wp Eye Pen,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
91015,Catr 20H Prcisn Wp Eye Pen 020,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91885,Catr Plumping Lip Liner 170,7.0,30.0,37.0,0.189,0.811,35,7,28,base_stock_gap
91025,Catr Kohl Kajal Waterproof 040,7.0,30.0,37.0,0.189,0.811,36,7,29,base_stock_gap
21964,Es Coverstick 30 Matt Honey,7.0,30.0,37.0,0.189,0.811,37,7,30,base_stock_gap
67911,Neut Adv Acne Cleanser 150Ml,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
93344,Nivea D/C Defend Aerosol 250Ml,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
88301,Es Juicy Bomb Lipgloss 102,7.0,30.0,37.0,0.189,0.811,34,7,27,base_stock_gap
97058,Wafgi Sen S/Screen Spf50 400Ml,7.0,30.0,37.0,0.189,0.811,32,7,25,base_stock_gap
97120,Wafgi Zinc Light Spf50+ 50G,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
97059,Wafgi Groms S/Screen Spf50,7.0,30.0,37.0,0.189,0.811,33,7,26,base_stock_gap
193054,Mf Facefinity Fndn Fair Porc,7.0,30.0,37.0,0.189,0.811,34,6,28,base_stock_gap
90980,Catr Hd Liquid Covrge Fndn 065,7.0,30.0,37.0,0.189,0.811,37,6,31,base_stock_gap
95840,Es Camo+ Matte Concealer 130,7.0,30.0,37.0,0.189,0.811,37,6,31,base_stock_gap
94537,No7 Lip Oil Strawberry Glaze,7.0,30.0,37.0,0.189,0.811,33,6,27,base_stock_gap
94889,No7 12 Hour Artist Pencil Nois,7.0,30.0,37.0,0.189,0.811,33,6,27,base_stock_gap
