sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
24553,0.7619,56,5.333,5.333,0.0,5.333,
71227,0.7619,56,5.333,5.333,0.0,5.333,
698520,0.7619,56,5.333,5.333,0.0,5.333,
195050,0.7619,56,5.333,5.333,0.0,5.333,
15736,0.7563,56,5.294,5.294,0.0,5.294,
93976,0.753243,56,5.273,5.273,0.0,5.273,
390941,0.7449,56,5.214,5.214,0.0,5.214,
41313,0.742857,56,5.2,5.2,0.0,5.2,
195444,0.731086,56,5.118,5.118,0.0,5.118,
733008,0.730157,56,5.111,5.111,0.0,5.111,
92632,4.285714,56,30.0,5.0,0.0,5.0,
49091,0.714286,56,5.0,5.0,0.0,5.0,
372722,0.714286,56,5.0,5.0,0.0,5.0,
191888,0.714286,56,5.0,5.0,0.0,5.0,
49093,0.714286,56,5.0,5.0,0.0,5.0,
188031,0.714286,56,5.0,5.0,0.0,5.0,
63415,0.714286,56,5.0,5.0,0.0,5.0,
49685,0.714286,56,5.0,5.0,0.0,5.0,
11895,0.714286,56,5.0,5.0,0.0,5.0,
60949,0.714286,56,5.0,5.0,0.0,5.0,
93919,0.714286,56,5.0,5.0,0.0,5.0,
93916,0.714286,56,5.0,5.0,0.0,5.0,
93338,0.714286,56,5.0,5.0,0.0,5.0,
90766,0.714286,56,5.0,5.0,0.0,5.0,
24383,0.708071,56,4.956,4.956,0.0,4.956,
37986,0.696429,56,4.875,4.875,0.0,4.875,
63821,0.685714,56,4.8,4.8,0.0,4.8,
396133,0.673471,56,4.714,4.714,0.0,4.714,
11831,0.666671,56,4.667,4.667,0.0,4.667,
688223,0.666671,56,4.667,4.667,0.0,4.667,
15733,0.655457,56,4.588,4.588,0.0,4.588,
33269,0.653057,56,4.571,4.571,0.0,4.571,
94457,0.653057,56,4.571,4.571,0.0,4.571,
60948,0.642857,56,4.5,4.5,0.0,4.5,
192205,0.642857,56,4.5,4.5,0.0,4.5,
90139,0.642857,56,4.5,4.5,0.0,4.5,
96593,0.642857,56,4.5,4.5,0.0,4.5,
688355,0.642857,56,4.5,4.5,0.0,4.5,
636886,0.642857,56,4.5,4.5,0.0,4.5,
96594,0.642857,56,4.5,4.5,0.0,4.5,
346268,0.628571,56,4.4,4.4,0.0,4.4,
43840,0.625,56,4.375,4.375,0.0,4.375,
94132,0.619043,56,4.333,4.333,0.0,4.333,
186358,0.619043,56,4.333,4.333,0.0,4.333,
65557,0.619043,56,4.333,4.333,0.0,4.333,
61548,0.619043,56,4.333,4.333,0.0,4.333,
431699,0.619043,56,4.333,4.333,0.0,4.333,
