sku_number,promo_cover_order_units,base_stock_replenishment_units,full_target_order_units_after,raw_model_order_units,commercial_recommended_order_units_after,recommended_promo_cover_order_units,recommended_base_stock_order_units,remaining_promo_cover_gap_units,remaining_base_stock_gap_units,decision,commercial_recommended_order_units_before,full_target_order_units_before
91051,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91901,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91011,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91056,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91900,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91029,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91941,2,30,32,7,7,2,5,0,25,REVIEW,7,32
91882,6,30,36,7,7,6,1,0,29,REVIEW,7,36
90999,3,30,33,7,7,3,4,0,26,REVIEW,7,33
91063,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91953,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91866,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91952,7,30,37,7,7,7,0,0,30,REVIEW,7,37
95886,1,30,31,7,7,1,6,0,24,REVIEW,7,31
92155,4,30,34,7,7,4,3,0,27,REVIEW,7,34
95879,3,30,33,7,7,3,4,0,26,REVIEW,7,33
91864,6,30,36,7,7,6,1,0,29,REVIEW,7,36
95877,5,30,35,7,7,5,2,0,28,REVIEW,7,35
95888,4,30,34,7,7,4,3,0,27,REVIEW,7,34
92157,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91079,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91036,5,30,35,7,7,5,2,0,28,REVIEW,7,35
92147,4,30,34,7,7,4,3,0,27,REVIEW,7,34
95834,3,30,33,7,7,3,4,0,26,REVIEW,7,33
91855,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91015,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91885,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91025,6,30,36,7,7,6,1,0,29,REVIEW,7,36
21964,7,30,37,7,7,7,0,0,30,REVIEW,7,37
67911,4,30,34,7,7,4,3,0,27,REVIEW,7,34
93344,4,30,34,7,7,4,3,0,27,REVIEW,7,34
88301,4,30,34,7,7,4,3,0,27,REVIEW,7,34
97058,2,30,32,7,7,2,5,0,25,REVIEW,7,32
97120,3,30,33,7,7,3,4,0,26,REVIEW,7,33
97059,3,30,33,7,7,3,4,0,26,REVIEW,7,33
193054,4,30,34,6,6,4,2,0,28,REVIEW,6,34
90980,7,30,37,6,6,6,0,1,30,REVIEW,6,37
95840,7,30,37,6,6,6,0,1,30,REVIEW,6,37
94537,3,30,33,6,6,3,3,0,27,REVIEW,6,33
94889,3,30,33,6,6,3,3,0,27,REVIEW,6,33
87885,7,30,37,6,6,6,0,1,30,REVIEW,6,37
57452,5,30,35,0,0,0,0,5,30,REVIEW,0,35
194017,5,30,35,6,6,5,1,0,29,REVIEW,6,35
94807,3,30,33,6,6,3,3,0,27,REVIEW,6,33
94532,4,30,34,6,6,4,2,0,28,REVIEW,6,34
42110,0,23,23,0,0,0,0,0,23,REVIEW,0,23
91151,5,30,35,6,6,5,1,0,29,REVIEW,6,35
40732,5,30,35,6,6,5,1,0,29,REVIEW,6,35
195978,6,30,36,0,0,0,0,6,30,REVIEW,0,36
947520,0,30,30,0,0,0,0,0,30,REVIEW,0,30
90330,4,30,34,0,0,0,0,4,30,REVIEW,0,34
94511,5,30,35,0,0,0,0,5,30,REVIEW,0,35
63823,2,30,32,0,0,0,0,2,30,REVIEW,0,32
62765,1,29,30,0,0,0,0,1,29,REVIEW,0,30
463027,0,27,27,0,0,0,0,0,27,REVIEW,0,27
655050,5,29,34,0,0,0,0,5,29,REVIEW,0,34
31874,0,22,22,0,0,0,0,0,22,REVIEW,0,22
591904,5,29,34,0,0,0,0,5,29,REVIEW,0,34
475114,0,24,24,0,0,0,0,0,24,REVIEW,0,24
798169,2,28,30,0,0,0,0,2,28,REVIEW,0,30
491852,5,28,33,0,0,0,0,5,28,REVIEW,0,33
49087,0,25,25,0,0,0,0,0,25,REVIEW,0,25
93337,5,28,33,0,0,0,0,5,28,REVIEW,0,33
490563,0,23,23,0,0,0,0,0,23,REVIEW,0,23
75453,4,27,31,0,0,0,0,4,27,REVIEW,0,31
188766,0,23,23,0,0,0,0,0,23,REVIEW,0,23
184706,4,27,31,0,0,0,0,4,27,REVIEW,0,31
188852,3,27,30,0,0,0,0,3,27,REVIEW,0,30
62768,4,26,30,0,0,0,0,4,26,REVIEW,0,30
188714,2,26,28,0,0,0,0,2,26,REVIEW,0,28
90374,4,26,30,0,0,0,0,4,26,REVIEW,0,30
94234,0,25,25,0,0,0,0,0,25,REVIEW,0,25
483036,1,25,26,0,0,0,0,1,25,REVIEW,0,26
252999,0,22,22,0,0,0,0,0,22,REVIEW,0,22
195078,0,22,22,0,0,0,0,0,22,REVIEW,0,22
194887,4,25,29,0,0,0,0,4,25,REVIEW,0,29
193713,3,25,28,0,0,0,0,3,25,REVIEW,0,28
458074,4,25,29,0,0,0,0,4,25,REVIEW,0,29
2839,4,25,29,0,0,0,0,4,25,REVIEW,0,29
94286,0,23,23,0,0,0,0,0,23,REVIEW,0,23
57419,0,22,22,0,0,0,0,0,22,REVIEW,0,22
192218,4,24,28,0,0,0,0,4,24,REVIEW,0,28
1485,0,22,22,0,0,0,0,0,22,REVIEW,0,22
321943,1,24,25,0,0,0,0,1,24,REVIEW,0,25
94039,4,24,28,0,0,0,0,4,24,REVIEW,0,28
55054,4,24,28,0,0,0,0,4,24,REVIEW,0,28
1236,4,24,28,0,0,0,0,4,24,REVIEW,0,28
247596,0,23,23,0,0,0,0,0,23,REVIEW,0,23
610055,0,14,14,0,0,0,0,0,14,REVIEW,0,14
11822,0,22,22,0,0,0,0,0,22,REVIEW,0,22
193196,3,24,27,0,0,0,0,3,24,REVIEW,0,27
93914,0,16,16,0,0,0,0,0,16,REVIEW,0,16
92857,0,23,23,0,0,0,0,0,23,REVIEW,0,23
390771,0,22,22,0,0,0,0,0,22,REVIEW,0,22
198638,0,21,21,0,0,0,0,0,21,REVIEW,0,21
24553,2,23,25,0,0,0,0,2,23,REVIEW,0,25
71227,0,20,20,0,0,0,0,0,20,REVIEW,0,20
698520,0,23,23,0,0,0,0,0,23,REVIEW,0,23
195050,1,23,24,0,0,0,0,1,23,REVIEW,0,24
15736,0,18,18,0,0,0,0,0,18,REVIEW,0,18
93976,2,23,25,0,0,0,0,2,23,REVIEW,0,25
390941,2,22,24,0,0,0,0,2,22,REVIEW,0,24
41313,0,21,21,0,0,0,0,0,21,REVIEW,0,21
195444,1,22,23,0,0,0,0,1,22,REVIEW,0,23
733008,3,22,25,0,0,0,0,3,22,REVIEW,0,25
92632,1,129,130,24,24,1,23,0,106,REVIEW,24,130
49091,0,12,12,0,0,0,0,0,12,REVIEW,0,12
372722,3,21,24,0,0,0,0,3,21,REVIEW,0,24
191888,5,21,26,0,0,0,0,5,21,REVIEW,0,26
49093,0,8,8,0,0,0,0,0,8,REVIEW,0,8
188031,3,21,24,0,0,0,0,3,21,REVIEW,0,24
63415,0,21,21,0,0,0,0,0,21,REVIEW,0,21
49685,0,12,12,0,0,0,0,0,12,REVIEW,0,12
11895,0,21,21,0,0,0,0,0,21,REVIEW,0,21
60949,0,19,19,0,0,0,0,0,19,REVIEW,0,19
93919,1,21,22,0,0,0,0,1,21,REVIEW,0,22
93916,1,21,22,0,0,0,0,1,21,REVIEW,0,22
93338,4,21,25,0,0,0,0,4,21,REVIEW,0,25
90766,4,21,25,0,0,0,0,4,21,REVIEW,0,25
24383,1,21,22,0,0,0,0,1,21,REVIEW,0,22
37986,0,3,3,0,0,0,0,0,3,REVIEW,0,3
63821,3,21,24,0,0,0,0,3,21,REVIEW,0,24
396133,0,20,20,0,0,0,0,0,20,REVIEW,0,20
11831,0,14,14,0,0,0,0,0,14,REVIEW,0,14
688223,1,20,21,0,0,0,0,1,20,REVIEW,0,21
15733,2,20,22,0,0,0,0,2,20,REVIEW,0,22
33269,0,13,13,0,0,0,0,0,13,REVIEW,0,13
94457,1,20,21,0,0,0,0,1,20,REVIEW,0,21
60948,0,5,5,0,0,0,0,0,5,REVIEW,0,5
192205,0,17,17,0,0,0,0,0,17,REVIEW,0,17
90139,3,19,22,0,0,0,0,3,19,REVIEW,0,22
96593,3,19,22,0,0,0,0,3,19,REVIEW,0,22
688355,0,15,15,0,0,0,0,0,15,REVIEW,0,15
636886,0,17,17,0,0,0,0,0,17,REVIEW,0,17
96594,3,19,22,0,0,0,0,3,19,REVIEW,0,22
346268,0,19,19,0,0,0,0,0,19,REVIEW,0,19
43840,0,12,12,0,0,0,0,0,12,REVIEW,0,12
94132,4,19,23,2,2,2,0,2,19,REVIEW,2,23
186358,0,16,16,0,0,0,0,0,16,REVIEW,0,16
65557,0,16,16,0,0,0,0,0,16,REVIEW,0,16
61548,2,19,21,0,0,0,0,2,19,REVIEW,0,21
431699,3,19,22,0,0,0,0,3,19,REVIEW,0,22
22904,2,19,21,0,0,0,0,2,19,REVIEW,0,21
188737,3,19,22,0,0,0,0,3,19,REVIEW,0,22
90840,3,19,22,0,0,0,0,3,19,REVIEW,0,22
458104,2,19,21,0,0,0,0,2,19,REVIEW,0,21
56278,0,16,16,0,0,0,0,0,16,REVIEW,0,16
192837,0,14,14,0,0,0,0,0,14,REVIEW,0,14
94058,3,18,21,0,0,0,0,3,18,REVIEW,0,21
33264,0,17,17,0,0,0,0,0,17,REVIEW,0,17
304956,0,17,17,0,0,0,0,0,17,REVIEW,0,17
206431,2,18,20,0,0,0,0,2,18,REVIEW,0,20
193714,2,18,20,0,0,0,0,2,18,REVIEW,0,20
191661,0,16,16,0,0,0,0,0,16,REVIEW,0,16
191663,2,18,20,0,0,0,0,2,18,REVIEW,0,20
191948,3,18,21,0,0,0,0,3,18,REVIEW,0,21
984248,2,18,20,0,0,0,0,2,18,REVIEW,0,20
94130,2,17,19,0,0,0,0,2,17,REVIEW,0,19
195115,0,13,13,0,0,0,0,0,13,REVIEW,0,13
90331,0,11,11,0,0,0,0,0,11,REVIEW,0,11
90781,2,17,19,0,0,0,0,2,17,REVIEW,0,19
24552,2,17,19,0,0,0,0,2,17,REVIEW,0,19
94219,4,17,21,0,0,0,0,4,17,REVIEW,0,21
194021,2,17,19,0,0,0,0,2,17,REVIEW,0,19
187119,2,17,19,0,0,0,0,2,17,REVIEW,0,19
96595,0,15,15,0,0,0,0,0,15,REVIEW,0,15
195560,0,14,14,0,0,0,0,0,14,REVIEW,0,14
96598,0,11,11,0,0,0,0,0,11,REVIEW,0,11
360759,0,17,17,0,0,0,0,0,17,REVIEW,0,17
95696,3,17,20,0,0,0,0,3,17,REVIEW,0,20
93520,4,17,21,0,0,0,0,4,17,REVIEW,0,21
188718,3,17,20,0,0,0,0,3,17,REVIEW,0,20
188708,1,17,18,0,0,0,0,1,17,REVIEW,0,18
638781,3,17,20,0,0,0,0,3,17,REVIEW,0,20
199244,0,11,11,0,0,0,0,0,11,REVIEW,0,11
90915,0,17,17,0,0,0,0,0,17,REVIEW,0,17
96599,0,13,13,0,0,0,0,0,13,REVIEW,0,13
16316,2,17,19,0,0,0,0,2,17,REVIEW,0,19
188717,1,17,18,0,0,0,0,1,17,REVIEW,0,18
51645,0,16,16,3,3,0,3,0,13,REVIEW,3,16
37032,2,17,19,0,0,0,0,2,17,REVIEW,0,19
10974,0,12,12,0,0,0,0,0,12,REVIEW,0,12
63822,0,16,16,0,0,0,0,0,16,REVIEW,0,16
61296,2,16,18,0,0,0,0,2,16,REVIEW,0,18
63109,0,16,16,0,0,0,0,0,16,REVIEW,0,16
15834,2,16,18,0,0,0,0,2,16,REVIEW,0,18
15653,0,14,14,0,0,0,0,0,14,REVIEW,0,14
68375,3,16,19,0,0,0,0,3,16,REVIEW,0,19
188851,0,14,14,0,0,0,0,0,14,REVIEW,0,14
15186,1,16,17,0,0,0,0,1,16,REVIEW,0,17
49607,2,16,18,0,0,0,0,2,16,REVIEW,0,18
354929,3,16,19,0,0,0,0,3,16,REVIEW,0,19
92214,4,26,30,4,4,4,0,0,26,REVIEW,4,30
33266,0,14,14,0,0,0,0,0,14,REVIEW,0,14
195429,0,15,15,0,0,0,0,0,15,REVIEW,0,15
72934,2,16,18,0,0,0,0,2,16,REVIEW,0,18
67324,0,14,14,0,0,0,0,0,14,REVIEW,0,14
984256,0,16,16,0,0,0,0,0,16,REVIEW,0,16
653586,1,16,17,0,0,0,0,1,16,REVIEW,0,17
190842,0,16,16,0,0,0,0,0,16,REVIEW,0,16
60001,2,16,18,0,0,0,0,2,16,REVIEW,0,18
198461,0,14,14,0,0,0,0,0,14,REVIEW,0,14
33267,0,11,11,0,0,0,0,0,11,REVIEW,0,11
10432,1,15,16,0,0,0,0,1,15,REVIEW,0,16
199950,2,15,17,0,0,0,0,2,15,REVIEW,0,17
41594,0,15,15,0,0,0,0,0,15,REVIEW,0,15
60947,0,0,0,0,0,0,0,0,0,REVIEW,0,0
41319,1,15,16,0,0,0,0,1,15,REVIEW,0,16
49090,2,15,17,0,0,0,0,2,15,REVIEW,0,17
93921,0,0,0,0,0,0,0,0,0,REVIEW,0,0
93920,0,15,15,0,0,0,0,0,15,REVIEW,0,15
96600,2,15,17,0,0,0,0,2,15,REVIEW,0,17
87750,3,15,18,0,0,0,0,3,15,REVIEW,0,18
820504,2,15,17,0,0,0,0,2,15,REVIEW,0,17
90140,1,15,16,0,0,0,0,1,15,REVIEW,0,16
37408,2,15,17,0,0,0,0,2,15,REVIEW,0,17
36119,1,15,16,0,0,0,0,1,15,REVIEW,0,16
33265,1,15,16,0,0,0,0,1,15,REVIEW,0,16
56157,1,15,16,0,0,0,0,1,15,REVIEW,0,16
64534,3,15,18,0,0,0,0,3,15,REVIEW,0,18
735078,0,12,12,0,0,0,0,0,12,REVIEW,0,12
36133,2,15,17,0,0,0,0,2,15,REVIEW,0,17
36115,1,14,15,0,0,0,0,1,14,REVIEW,0,15
94131,2,14,16,0,0,0,0,2,14,REVIEW,0,16
193413,2,14,16,0,0,0,0,2,14,REVIEW,0,16
195049,3,14,17,2,2,2,0,1,14,REVIEW,2,17
88080,0,14,14,0,0,0,0,0,14,REVIEW,0,14
188861,0,12,12,0,0,0,0,0,12,REVIEW,0,12
184704,0,14,14,0,0,0,0,0,14,REVIEW,0,14
948845,0,8,8,0,0,0,0,0,8,REVIEW,0,8
521286,1,14,15,0,0,0,0,1,14,REVIEW,0,15
958840,0,5,5,0,0,0,0,0,5,REVIEW,0,5
94057,0,14,14,0,0,0,0,0,14,REVIEW,0,14
94458,0,14,14,0,0,0,0,0,14,REVIEW,0,14
189236,0,13,13,0,0,0,0,0,13,REVIEW,0,13
14528,2,14,16,0,0,0,0,2,14,REVIEW,0,16
15719,0,13,13,0,0,0,0,0,13,REVIEW,0,13
70394,1,30,31,7,7,1,6,0,24,REVIEW,7,31
43765,2,14,16,0,0,0,0,2,14,REVIEW,0,16
200980,0,13,13,0,0,0,0,0,13,REVIEW,0,13
11035,0,13,13,0,0,0,0,0,13,REVIEW,0,13
485861,2,13,15,0,0,0,0,2,13,REVIEW,0,15
193207,0,9,9,0,0,0,0,0,9,REVIEW,0,9
189514,2,30,32,7,7,2,5,0,25,REVIEW,7,32
15844,0,13,13,0,0,0,0,0,13,REVIEW,0,13
54862,0,11,11,0,0,0,0,0,11,REVIEW,0,11
193197,0,13,13,0,0,0,0,0,13,REVIEW,0,13
60840,0,12,12,0,0,0,0,0,12,REVIEW,0,12
15840,0,10,10,0,0,0,0,0,10,REVIEW,0,10
521278,0,13,13,0,0,0,0,0,13,REVIEW,0,13
38390,0,13,13,0,0,0,0,0,13,REVIEW,0,13
55245,0,51,51,10,10,0,10,0,41,REVIEW,10,51
189239,0,29,29,7,7,0,7,0,22,REVIEW,7,29
198639,0,11,11,0,0,0,0,0,11,REVIEW,0,11
90771,0,13,13,0,0,0,0,0,13,REVIEW,0,13
196554,0,12,12,0,0,0,0,0,12,REVIEW,0,12
92854,2,13,15,0,0,0,0,2,13,REVIEW,0,15
90839,1,13,14,0,0,0,0,1,13,REVIEW,0,14
31192,0,12,12,0,0,0,0,0,12,REVIEW,0,12
187117,1,13,14,0,0,0,0,1,13,REVIEW,0,14
491071,0,6,6,0,0,0,0,0,6,REVIEW,0,6
90841,1,13,14,0,0,0,0,1,13,REVIEW,0,14
523852,0,8,8,0,0,0,0,0,8,REVIEW,0,8
242853,0,11,11,0,0,0,0,0,11,REVIEW,0,11
92258,0,12,12,0,0,0,0,0,12,REVIEW,0,12
611271,0,12,12,0,0,0,0,0,12,REVIEW,0,12
69757,0,12,12,0,0,0,0,0,12,REVIEW,0,12
90892,0,12,12,0,0,0,0,0,12,REVIEW,0,12
92858,0,12,12,0,0,0,0,0,12,REVIEW,0,12
65465,0,8,8,0,0,0,0,0,8,REVIEW,0,8
62472,0,11,11,0,0,0,0,0,11,REVIEW,0,11
192051,2,13,15,0,0,0,0,2,13,REVIEW,0,15
97995,0,12,12,0,0,0,0,0,12,REVIEW,0,12
97989,0,13,13,0,0,0,0,0,13,REVIEW,0,13
188848,0,13,13,0,0,0,0,0,13,REVIEW,0,13
192049,0,13,13,0,0,0,0,0,13,REVIEW,0,13
95868,0,11,11,3,3,0,3,0,8,REVIEW,3,11
194018,0,13,13,0,0,0,0,0,13,REVIEW,0,13
65913,0,12,12,0,0,0,0,0,12,REVIEW,0,12
34855,0,13,13,0,0,0,0,0,13,REVIEW,0,13
277772,0,13,13,0,0,0,0,0,13,REVIEW,0,13
187645,0,11,11,0,0,0,0,0,11,REVIEW,0,11
191288,0,6,6,0,0,0,0,0,6,REVIEW,0,6
386359,0,10,10,0,0,0,0,0,10,REVIEW,0,10
190839,0,11,11,0,0,0,0,0,11,REVIEW,0,11
26669,0,8,8,0,0,0,0,0,8,REVIEW,0,8
188736,0,12,12,0,0,0,0,0,12,REVIEW,0,12
94559,0,13,13,0,0,0,0,0,13,REVIEW,0,13
16857,0,10,10,0,0,0,0,0,10,REVIEW,0,10
654988,0,12,12,0,0,0,0,0,12,REVIEW,0,12
69758,0,13,13,0,0,0,0,0,13,REVIEW,0,13
96295,1,13,14,0,0,0,0,1,13,REVIEW,0,14
96596,0,13,13,3,3,0,3,0,10,REVIEW,3,13
188952,1,13,14,0,0,0,0,1,13,REVIEW,0,14
96298,1,13,14,0,0,0,0,1,13,REVIEW,0,14
37849,1,13,14,0,0,0,0,1,13,REVIEW,0,14
688711,0,12,12,0,0,0,0,0,12,REVIEW,0,12
192760,1,13,14,0,0,0,0,1,13,REVIEW,0,14
92331,0,12,12,0,0,0,0,0,12,REVIEW,0,12
191950,1,12,13,0,0,0,0,1,12,REVIEW,0,13
553586,0,12,12,0,0,0,0,0,12,REVIEW,0,12
49692,0,9,9,0,0,0,0,0,9,REVIEW,0,9
9159,0,9,9,0,0,0,0,0,9,REVIEW,0,9
185193,1,12,13,0,0,0,0,1,12,REVIEW,0,13
184851,0,12,12,0,0,0,0,0,12,REVIEW,0,12
198650,0,9,9,0,0,0,0,0,9,REVIEW,0,9
40356,2,12,14,0,0,0,0,2,12,REVIEW,0,14
92210,3,12,15,2,2,2,0,1,12,REVIEW,2,15
64711,1,12,13,0,0,0,0,1,12,REVIEW,0,13
70358,0,11,11,0,0,0,0,0,11,REVIEW,0,11
