priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,order_strategy,recommended_order_basis,promo_units_expected_to_sell,stock_needed_for_promo_sales,stock_needed_to_finish_with_target_cover,order_needed_to_cover_promo_sales,order_needed_to_reach_full_stock_target,full_target_order_units,recommended_promo_cover_order_units,recommended_base_stock_order_units,commercial_recommended_order_units,recommended_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,raw_model_order_units,operator_review_order_low_units,operator_review_order_high_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,target_stock_on_hand_at_promo_end_units,total_expected_demand_to_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,stock_target_conflict_flag,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes,promo_portion_visible,base_portion_visible,partial_or_full,gap_explained
1396,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,46887,May Fit Me Pwd True Beige,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.826,0.826,3.54,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.366,2.882,2.882,3,0,0.118,3.54,0.944,2.056,50.0,0.826,0.1,4.38,67,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1397,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,191176,May Superstay Glow Tint 03,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.826,0.826,3.54,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,4.366,1.882,1.882,2,0,0.118,3.54,0.944,1.056,50.0,0.826,0.01,8.97,65,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1398,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,24385,May Iar Conc Honey,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.826,0.826,3.54,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.366,4.882,4.882,5,0,0.118,3.54,0.944,4.056,50.0,0.826,0.0,12.32,63,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1399,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,195437,Npmu Duck Plmp Hall Of Fla,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.824,0.824,3.529,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.353,3.882,3.882,4,0,0.118,3.529,0.942,3.058,50.0,0.824,0.06,8.28,65,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1400,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43876,Clairol Rtu Powder Dark Brown,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.824,0.824,3.529,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,4.353,1.882,1.882,2,0,0.118,3.529,0.942,1.058,40.0,0.824,0.01,13.34,26,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1401,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,63083,Npmu Ew Gel Liner Berry,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.824,0.824,3.529,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.353,3.882,3.882,1,3,0.118,3.529,0.942,3.058,50.0,0.824,0.01,15.04,24,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1402,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,94005,May Lift Gloss 014 Heat As X,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,raw_model_order,0.818,0.818,30.0,0,28,28,0,7,7,7,0,21,21,21,0.25,0.25,7,7,28,30.818,3.0,10.0,4,0,1.0,30.0,1.818,9.182,50.0,0.818,13.76,16.34,67,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.0; promo cover required 0.8 units; base-stock required 30.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 28 units; raw model 7; commercial recommended promo 0 + base 7 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
1403,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,66096,Rexona M Apd Adv C/Clns 220Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.818,0.818,3.507,0,3,3,0,0,0,0,0,3,3,3,0.0,0.0,0,0,3,4.325,0.883,0.883,1,0,0.117,3.507,0.935,0.065,50.0,0.818,0.02,2.81,65,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1404,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,34115,Rim Eyebrow Pencil Black Brown,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.818,0.818,3.507,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,4.325,1.883,1.883,2,0,0.117,3.507,0.935,1.065,50.0,0.818,0.0,2.62,65,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1405,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,94001,May Lift Glaze 009 Latte Crush,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.818,0.818,3.507,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.325,3.883,3.883,4,0,0.117,3.507,0.935,3.065,50.0,0.818,0.0,7.29,64,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1406,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,93998,May Lift Glaze 005 Peach Quenc,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.818,0.818,3.507,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.325,2.883,2.883,3,0,0.117,3.507,0.935,2.065,50.0,0.818,0.01,4.86,64,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1407,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,93999,May Lift Glaze 006 Caramel Glo,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.818,0.818,3.507,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.325,2.883,2.883,3,0,0.117,3.507,0.935,2.065,50.0,0.818,0.01,9.51,29,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.5 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1408,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,67697,Rim Lst Fin L/L Pnk Enchnt,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,raw_model_order,0.812,0.812,30.0,0,30,30,0,7,7,7,0,23,23,23,0.233,0.233,7,7,30,30.812,1.0,8.0,2,0,1.0,30.0,1.812,7.188,50.0,0.812,5.14,11.5,63,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 0.8 units; base-stock required 30.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 0 + base 7 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
1409,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,198735,May Sst Lumi Matte Fnd 140,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,raw_model_order,0.8,0.8,30.0,1,30,31,1,6,7,7,0,24,24,24,0.226,0.226,7,7,31,30.8,0.0,7.0,1,0,1.0,30.0,1.8,6.2,50.0,0.8,11.46,32.46,67,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.8 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 1 + base 6 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
1410,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,403014,Loreal Age Perf Int Day 50Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.8,0.8,3.429,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.229,3.886,3.886,4,0,0.114,3.429,0.914,3.086,50.0,0.8,0.0,16.88,66,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1411,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,485632,Loreal De Rev Spf15 Day 50Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.229,2.886,2.886,3,0,0.114,3.429,0.914,2.086,50.0,0.8,0.0,11.59,65,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1412,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,198940,Illi Fash Tape Clr Strip 2X36P,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.8,0.8,3.429,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.229,3.886,3.886,4,0,0.114,3.429,0.914,3.086,20.0,0.8,0.0,11.64,57,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1413,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,199120,Urbane Mess Texture Clay 85G,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,0.8,0.8,3.429,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4.229,3.886,3.886,4,0,0.114,3.429,0.914,3.086,30.0,0.8,0.01,5.07,57,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 0 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales and end-stock target.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,full,True
1414,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,10435,Lor Magic Ret Blonde 9,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,4.229,1.886,1.886,2,0,0.114,3.429,0.914,1.086,40.0,0.8,0.0,8.14,55,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1415,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,27981,Urbane Mess Hair Pomade 85G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,3,3,0,0,0,0,0,3,3,3,0.0,0.0,0,0,3,4.229,0.886,0.886,1,0,0.114,3.429,0.914,0.086,30.1,0.8,0.01,5.33,32,LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1416,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,385409,Cetaphil Acne Facial Mst 118Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.229,2.886,2.886,3,0,0.114,3.429,0.914,2.086,40.0,0.8,0.01,14.45,28,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1417,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,50356,Lor Excel 3 Darkest Brown,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,3,3,0,0,0,0,0,3,3,3,0.0,0.0,0,0,3,4.229,0.886,0.886,1,0,0.114,3.429,0.914,0.086,40.0,0.8,0.0,18.66,28,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1418,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43877,Clairol Rtu Powder Med Brown,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,3,3,0,0,0,0,0,3,3,3,0.0,0.0,0,0,3,4.229,0.886,0.886,1,0,0.114,3.429,0.914,0.086,40.0,0.8,0.01,13.43,26,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1419,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,504300,Clairol Rtu Perm 5 Med Brown,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,3,3,0,0,0,0,0,3,3,3,0.0,0.0,0,0,3,4.229,0.886,0.886,1,0,0.114,3.429,0.914,0.086,40.0,0.8,0.0,10.23,26,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1420,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,191996,Ego Qv Face N/Night Crm 50G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.229,2.886,2.886,3,0,0.114,3.429,0.914,2.086,20.0,0.8,0.02,19.46,25,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1421,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,87764,Innisfree Ceramide Mask 25Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,0.8,0.8,3.429,0,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,4.229,2.886,2.886,3,0,0.114,3.429,0.914,2.086,20.0,0.8,0.01,4.35,24,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.9; promo cover required 0.8 units; base-stock required 3.4 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 1 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
1422,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,199751,Rim Oh My Gloss Lipoil Pnk Fls,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,raw_model_order,0.786,0.786,30.0,1,30,31,1,6,7,7,0,24,24,24,0.226,0.226,7,7,31,30.786,0.0,7.0,1,0,1.0,30.0,1.786,6.214,50.0,0.786,8.84,19.02,64,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 0.8 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 1 + base 6 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
