sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
94872,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
195101,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
199952,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
199405,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
195603,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
388815,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
17082,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
40520,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
90846,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
727,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
18258,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
39403,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94055,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
87610,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
75419,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
93973,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93971,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93968,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93997,26,7,19,0.269,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
196240,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
62977,30,6,24,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
54486,28,6,22,0.214,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
65607,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
41206,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
192994,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96467,26,7,19,0.269,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96499,26,7,19,0.269,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96500,26,7,19,0.269,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
974412,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
194501,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
730,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96475,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96484,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96486,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
30162,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96154,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
54487,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
193457,2,2,0,1.0,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,review_required
64539,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
96516,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
67698,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
195412,90,18,72,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
195443,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90458,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
73871,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
252726,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
193143,14,4,10,0.286,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
193286,2,2,0,1.0,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,review_required
94677,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
192929,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
194821,2,2,0,1.0,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,review_required
67963,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
67692,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93974,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93981,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93982,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93972,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
196931,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90463,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
49794,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
192991,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94074,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90447,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
188037,28,6,22,0.214,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
188943,28,6,22,0.214,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
49268,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
75415,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
193291,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94688,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94685,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90169,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
193318,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
96257,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94696,23,7,16,0.304,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
102282,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
194133,29,6,23,0.207,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93967,27,7,20,0.259,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93978,28,7,21,0.25,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
193079,30,6,24,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
195519,28,6,22,0.214,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
46574,29,6,23,0.207,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
43901,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
191380,28,6,22,0.214,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
196932,30,7,23,0.233,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94274,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
199941,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94493,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97860,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97862,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97863,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97861,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
89561,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
89563,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88781,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91458,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91462,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97856,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97857,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97858,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97859,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167940,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167941,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167942,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
89770,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167329,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167335,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96490,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96492,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96493,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96494,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96495,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96496,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96497,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94170,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94171,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91074,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96505,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96506,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91042,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91060,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91936,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
95832,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91004,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91009,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193458,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
167333,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94173,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88364,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97161,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
187639,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
65469,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94107,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
62311,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
199080,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
88447,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
190016,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88067,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
985465,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
89161,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97554,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97572,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
98136,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
98117,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
95875,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
98118,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167101,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167145,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
98138,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167133,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
350699,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
451096,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
74442,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
60996,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
940194,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
91543,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97201,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97947,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97576,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
95114,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167572,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167548,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
58111,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
38463,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97677,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167947,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167102,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
529263,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97434,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97847,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97849,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167570,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
197610,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
91081,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
52720,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
184,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96065,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96066,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
96067,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
67711,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
185346,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
93817,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
89157,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92850,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
19985,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
88057,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
89158,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
190064,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
198145,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
92938,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97577,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
478255,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
167330,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167332,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92939,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92940,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
574210,1,0,1,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97578,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190068,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190089,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
167331,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94802,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167326,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167328,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167325,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
167327,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88097,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
87748,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94803,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
190069,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
230685,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
96354,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
49493,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97710,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97711,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97712,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
97713,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
55227,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
88280,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
41542,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
199079,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
194422,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
88342,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190088,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
95848,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
20571,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
87952,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
72537,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
188698,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
194013,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
67880,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
197220,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
197211,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
95864,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
92149,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190061,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190079,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
92177,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190091,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
188707,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
92176,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
197214,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
701580,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
51564,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94892,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94524,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
92812,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188700,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94810,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
478362,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
190092,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
669326,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
668664,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
73699,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94536,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
87758,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
87766,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
647883,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
31486,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94895,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94809,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94885,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94891,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94233,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94808,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
57227,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
342513,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
88795,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94890,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
94280,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
97053,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
14742,0,0,0,,REVIEW,REVIEW,NO_ORDER_REQUIRED,none_gap_closed
347302,2,0,2,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
