sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
95888,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
92157,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91079,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91036,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
92147,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
95834,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91855,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91015,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91885,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91025,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
21964,37,7,30,0.189,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
67911,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
93344,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
88301,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97058,32,7,25,0.219,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97120,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97059,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
193054,34,6,28,0.176,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90980,37,6,31,0.162,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
95840,37,6,31,0.162,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94537,33,6,27,0.182,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94889,33,6,27,0.182,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
87885,37,6,31,0.162,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
194017,35,6,29,0.171,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94807,33,6,27,0.182,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
94532,34,6,28,0.176,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91151,35,6,29,0.171,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
40732,35,6,29,0.171,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
947520,30,0,30,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
90330,34,0,34,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94511,35,0,35,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
63823,32,0,32,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
463027,27,0,27,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
655050,33,0,33,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
31874,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
591904,33,0,33,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
475114,24,0,24,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
798169,30,0,30,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
491852,33,0,33,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
490563,23,0,23,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
75453,31,0,31,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188766,23,0,23,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
184706,31,0,31,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
62768,30,0,30,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188714,28,0,28,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
90374,30,0,30,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94234,25,0,25,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
483036,26,0,26,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
195078,22,0,22,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
193713,27,0,27,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
458074,28,0,28,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
