store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,shadow_candidate_class,shadow_candidate_score,shadow_candidate_rank,current_governed_action,current_governed_order_units,brain_validated_action_label,brain_validated_expected_value,action_difference_type,segment_historical_bias_pct,segment_historical_wape,economic_net_value_score,shadow_expected_learning_value,mission_sku_score,long_tail_sku_flag,basket_attachment_source_quality,stock_truth_quality,supplier_replenishment_regime,expected_shadow_learning_question,shadow_observation_plan
772,772|8686|2026-03-26|2026-04-08|772-8686-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,8686,0.0,VITAMIN SUPPLEMENT,SHADOW_TOP_50_CANDIDATE,26.5,29,TOP_UP_TO_OPTIMAL,4.0,HOLD_FOR_REPLENISHMENT,-26.072,ACTION_MISMATCH,9.1,0.367,-45.459,32.7,10.9,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,185192,0.0,SUNCARE,SHADOW_TOP_50_CANDIDATE,26.4,30,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-4.752,ACTION_MISMATCH,15.84,0.4767,-20.865,34.3,17.3,NO,MEDIUM,LOW,OVERNIGHT_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|20866|2025-12-25|2026-01-14|772-20866-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,20866,0.0,HAIRCARE,SHADOW_TOP_50_CANDIDATE,26.4,31,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-1.307,ACTION_MISMATCH,15.84,0.4767,-20.034,34.3,17.2,NO,MEDIUM,LOW,OVERNIGHT_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|22069|2025-12-25|2026-01-14|772-22069-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,22069,0.0,VITAMIN SUPPLEMENT,SHADOW_TOP_50_CANDIDATE,26.4,32,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-22.517,ACTION_MISMATCH,10.23,0.4521,-34.735,34.0,15.8,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|198756|2026-04-23|2026-05-06|772-198756-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,198756,0.0,DIGESTIVE CARE,SHADOW_TOP_50_CANDIDATE,26.4,33,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-28.039,ACTION_MISMATCH,9.1,0.367,-45.967,32.6,10.4,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|388823|2025-12-25|2026-01-14|772-388823-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,388823,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,26.3,34,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-14.629,ACTION_MISMATCH,1.54,0.4575,-12.077,33.8,15.4,NO,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|198934|2025-12-25|2026-01-14|772-198934-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,198934,0.0,BEAUTY ACCESSORIES,SHADOW_TOP_50_CANDIDATE,26.2,35,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-3.15,ACTION_MISMATCH,15.84,0.4767,-16.519,33.9,15.7,NO,MEDIUM,LOW,OVERNIGHT_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|306779|2025-12-25|2026-01-14|772-306779-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,306779,0.0,COLOUR COSMETICS,SHADOW_TOP_50_CANDIDATE,26.2,36,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-34.554,ACTION_MISMATCH,1.54,0.4575,-39.885,33.6,14.3,NO,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|190082|2026-03-05|2026-03-18|772-190082-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,190082,0.0,BEAUTY ACCESSORIES,SHADOW_TOP_50_CANDIDATE,26.2,37,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-25.834,ACTION_MISMATCH,9.1,0.367,-38.742,32.2,8.9,NO,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|94618|2026-04-23|2026-05-06|772-94618-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,94618,0.0,COLOUR COSMETICS,SHADOW_TOP_50_CANDIDATE,26.2,38,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-33.865,ACTION_MISMATCH,1.54,0.4575,-35.57,33.6,14.5,NO,LOW,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
