regime_error_profile_key,stock_position_regime,sku_demand_regime,supplier_replenishment_regime,promo_convexity_regime,cash_efficiency_regime,customer_basket_trust_regime,release_ready_flag,promo_demand_source_quality,promo_start_soh_source_quality,row_count,actual_units_total,forecast_units_total,WAPE,bias_pct,MAE,RMSE,missed_demand_units,leftover_units,cash_tied_above_optimal,average_distance_to_optimal_before,average_distance_to_optimal_after,distance_to_optimal_improvement,release_ready_count,unsafe_count,constraint_block_count,unknown_soh_count,recommended_confidence_cap,candidate_count,segment_bias_control_status
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|LOW|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,LOW,LOW,7,12.0,15.894343,0.32452858333333334,32.45285833333333,0.5563347142857143,0.5927838005964496,0.0,0.0,0.0,2.6604285714285716,0.8032857142857143,1.8571428571428572,0,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|OVERNIGHT_REPLENISHMENT|HIGH_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,OVERNIGHT_REPLENISHMENT,HIGH_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,7,24.0,25.924063,0.5750277083333333,8.016929166666669,1.9715235714285713,2.3549378677924815,0.0,5.178000000000001,24.958,2.556285714285714,2.4642857142857144,0.09200000000000001,7,0,0,0,5.0,0,BIAS_CONTROLLED
SEVERELY_OVERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,SEVERELY_OVERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,6,7.0,15.974094000000001,1.2820134285714284,128.20134285714286,1.4956823333333331,1.784950243525199,0.0,39.289,189.373,7.714833333333334,6.548166666666667,1.1666666666666667,6,0,6,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL_LOW_VOLUME|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,OPTIMAL_LOW_VOLUME,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,6,6.0,10.915968999999999,0.8193281666666664,81.93281666666664,0.8193281666666664,0.9695250969950012,0.0,1.0,4.82,0.0,0.16666666666666666,-0.16666666666666666,6,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL_LOW_VOLUME|INTERMITTENT_LOW_VOLUME|OVERNIGHT_REPLENISHMENT|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,OPTIMAL_LOW_VOLUME,INTERMITTENT_LOW_VOLUME,OVERNIGHT_REPLENISHMENT,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,6,10.0,10.392406,0.33353679999999997,3.9240599999999937,0.5558946666666666,0.7071190450819909,0.0,1.0,4.82,0.0,0.6666666666666666,-0.6666666666666666,0,6,6,0,5.0,0,BIAS_CONTROLLED
OPTIMAL|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,OPTIMAL,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,6,8.0,20.636108000000004,1.5795135,157.95135000000005,2.106018,2.232407936378415,0.0,3.7670000000000003,18.158,0.37399999999999994,0.6516666666666667,-0.2776666666666667,6,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
SEVERELY_OVERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,SEVERELY_OVERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,6,33.0,22.619047,0.8963347575757575,-31.45743333333334,4.929841166666667,8.374749195457746,0.0,18.646000000000004,89.87400000000001,7.798166666666666,3.917166666666667,3.8810000000000002,6,0,6,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|NORMAL|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,OPTIMAL,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,NORMAL,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,6,22.0,12.497577,0.4319283181818182,-43.19283181818182,1.5837371666666666,1.7031060984585877,2.0,0.0,0.0,0.3343333333333333,2.4196666666666666,-2.0853333333333333,0,6,6,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|LOW|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,LOW,LOW,6,10.0,19.012039,1.0153085000000002,90.12039000000001,1.6921808333333335,2.3718026494221998,0.0,3.2439999999999998,15.637,3.0818333333333334,0.9965,2.0853333333333333,0,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|NORMAL|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,OPTIMAL,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,NORMAL,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,6,35.0,35.081534,0.29403834285714286,0.23295428571427934,1.7152236666666667,1.934692900370754,0.0,0.0,0.0,0.9758333333333332,4.041166666666666,-3.0653333333333337,6,0,0,0,27.0,0,BIAS_CONTROLLED
