segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
category=FEMININE HYGIENE,actuals_censored_by_stockout,6,0.0133,0.0115
category=FEMININE HYGIENE,legacy_placeholder_detected,205,0.4539,0.3921
category=FEMININE HYGIENE,missing_baseline_daily_units,8,0.0177,0.0153
category=FOOT CARE,actuals_censored_by_stockout,3,0.0066,0.0057
category=FOOT CARE,legacy_placeholder_detected,15,0.0332,0.0287
category=FOOT SUPPORT,legacy_placeholder_detected,61,0.1351,0.1167
category=FOOT SUPPORT,missing_baseline_daily_units,5,0.0111,0.0096
category=FOOTCARE AID,actuals_censored_by_stockout,1,0.0022,0.0019
category=FOOTCARE AID,legacy_placeholder_detected,63,0.1395,0.1205
category=FOOTCARE AID,missing_baseline_daily_units,5,0.0111,0.0096
category=GENERAL MERCH,legacy_placeholder_detected,2,0.0044,0.0038
category=GIFTSETS FEMALE,actuals_censored_by_stockout,1,0.0022,0.0019
category=GIFTSETS FEMALE,legacy_placeholder_detected,126,0.279,0.241
category=GIFTSETS MALE,actuals_censored_by_stockout,1,0.0022,0.0019
category=GIFTSETS MALE,legacy_placeholder_detected,79,0.1749,0.1511
category=GUT HEALTH,legacy_placeholder_detected,18,0.0399,0.0344
category=GUT HEALTH,missing_baseline_daily_units,3,0.0066,0.0057
category=HAIR ACCESSORIES,actuals_censored_by_stockout,9,0.0199,0.0172
category=HAIR ACCESSORIES,legacy_placeholder_detected,297,0.6575,0.568
category=HAIR ACCESSORIES,missing_baseline_daily_units,31,0.0686,0.0593
category=HAIR BRUSHES,actuals_censored_by_stockout,4,0.0089,0.0077
category=HAIR BRUSHES,legacy_placeholder_detected,205,0.4539,0.3921
category=HAIR BRUSHES,missing_baseline_daily_units,22,0.0487,0.0421
category=HAIR ELECTRICAL,actuals_censored_by_stockout,8,0.0177,0.0153
category=HAIR ELECTRICAL,legacy_placeholder_detected,61,0.1351,0.1167
category=HAIR STYLING,actuals_censored_by_stockout,8,0.0177,0.0153
category=HAIR STYLING,legacy_placeholder_detected,303,0.6708,0.5795
category=HAIR STYLING,missing_baseline_daily_units,29,0.0642,0.0555
category=HEALTHY AGEING SUP,actuals_censored_by_stockout,7,0.0155,0.0134
category=HEALTHY AGEING SUP,legacy_placeholder_detected,326,0.7217,0.6235
category=HEALTHY AGEING SUP,missing_baseline_daily_units,23,0.0509,0.044
category=HEART AND CHOLESTE,legacy_placeholder_detected,2,0.0044,0.0038
category=HEAT APPLICATN,actuals_censored_by_stockout,2,0.0044,0.0038
category=HEAT APPLICATN,legacy_placeholder_detected,106,0.2347,0.2027
category=HEAT APPLICATN,missing_baseline_daily_units,3,0.0066,0.0057
category=HOME FRAGRANCE,legacy_placeholder_detected,169,0.3742,0.3232
category=HOME FRAGRANCE,missing_baseline_daily_units,12,0.0266,0.023
category=HOT COLD PACKS,legacy_placeholder_detected,10,0.0221,0.0191
category=HYDRATION,actuals_censored_by_stockout,5,0.0111,0.0096
category=HYDRATION,legacy_placeholder_detected,112,0.248,0.2142
category=HYDRATION,missing_baseline_daily_units,8,0.0177,0.0153
category=IMMUNE HEALTH SUPP,legacy_placeholder_detected,164,0.3631,0.3137
category=IMMUNE HEALTH SUPP,missing_baseline_daily_units,8,0.0177,0.0153
category=INCONTINENCE MEN,actuals_censored_by_stockout,1,0.0022,0.0019
category=INCONTINENCE MEN,legacy_placeholder_detected,22,0.0487,0.0421
