segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
category=TRAVEL ACCESSORIES,95,27.368421052631582,2.1052631578947367,20,4,1,1,69,340.0,1638.8,96.11559999999997,,2.1052631578947367,0.0,340.0,-1262.43
category=TREATMENT,901,32.963374028856826,9.433962264150944,207,31,30,55,578,2710.46,13064.418000000001,126.126,,9.433962264150944,5.180000000000001,2710.46,-6228.158000000001
category=WEIGHT MANAGEMENT,64,6.25,1.5625,4,2,1,0,57,142.0,684.44,126.126,,1.5625,0.0,142.0,-533.2700000000001
category=WOMENS DEODORANT,374,51.33689839572193,15.775401069518717,111,28,14,45,176,1382.6,6664.129000000001,70.0,,15.775401069518717,0.8,1382.6,-5795.571
category=WOMENS ELEC HAIR R,43,16.27906976744186,4.651162790697675,7,1,2,0,33,76.0,366.32,105.0,,4.651162790697675,0.0,76.0,30.90999999999998
category=WOMENS HEALTH SUPP,251,19.9203187250996,5.9760956175298805,37,3,9,6,196,624.8,3011.536,167.83249999999998,,5.9760956175298805,0.08,624.8,-2035.1440000000002
category=WOMENS SHAVING AID,267,28.08988764044944,10.861423220973784,39,13,13,16,186,739.86,3566.125,126.126,,10.861423220973784,0.0,739.86,-2850.825
category=WOUNDCARE,190,47.368421052631575,18.947368421052634,49,6,2,34,99,747.3800000000001,3602.370000000001,93.23999999999971,,18.947368421052634,0.0,747.3800000000001,-3189.9000000000005
demand_band=high,187,100.0,8.55614973262032,168,3,2,14,0,1560.5,7521.610000000001,24.38799999999999,,8.55614973262032,73.78,1560.5,20943.292
demand_band=low,3552,100.0,10.2759009009009,3091,96,105,260,0,10383.38,50047.885,30.8,,10.2759009009009,19.200000000000003,10383.38,10247.761000000002
demand_band=micro,15279,35.067740035342624,6.054061129655082,3846,723,442,483,9785,42577.12,205221.699,97.902,,6.054061129655082,1.56,42577.12,-100878.873
demand_band=mid,1178,100.0,10.611205432937181,1039,14,20,105,0,5631.36,27143.155999999995,25.773399999999995,,10.611205432937181,37.980000000000004,5631.36,18493.847999999998
demand_band=zero,32089,5.712237838511639,4.394029106547415,0,1037,520,890,29642,96518.0,465216.76000000007,168.0,,4.394029106547415,0.0,96518.0,-465216.76000000007
evidence_quality=HIGH,5046,68.52952833927863,10.28537455410226,2479,501,77,442,1547,33778.42,162811.967,84.0,,10.28537455410226,34.8,33778.42,-90006.24599999998
evidence_quality=LOW,228,56.57894736842105,9.649122807017543,94,15,8,14,97,613.6600000000001,2957.8410000000003,112.0,,9.649122807017543,0.42000000000000004,613.6600000000001,-873.8320000000001
evidence_quality=MEDIUM,283,47.349823321554766,3.53356890459364,106,19,4,6,148,879.96,4241.407,112.0,,3.53356890459364,0.30000000000000004,879.96,-1728.1480000000001
evidence_quality=UNSAFE,46728,17.948553329909263,4.90070193460024,5465,1338,1000,1290,37635,121398.31999999999,585139.8950000001,168.0,,4.90070193460024,97.00000000000001,121398.31999999999,-423802.50600000005
release_ready=NO,47661,19.107865970080358,4.850926333899834,6192,1353,1008,1304,37804,126891.35999999999,611616.3300000001,167.665,,4.850926333899834,132.51999999999998,126891.35999999999,-426625.132
release_ready=YES,4624,64.90051903114187,11.440311418685122,1952,520,81,448,1623,29779.0,143534.77999999997,86.614,,11.440311418685122,0.0,29779.0,-89785.59999999999
