segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
category=PAPER PRODUCTS,28,116.0,114.118786,-1.8812139999999973,-1.6217362068965493,0.5127046551724138,2.124062142857143,3.890989938400904,1.7183112499999997,9.006496799999994,71.42857142857143,78.0,31.0
category=PERSONAL WASH,525,753.0,460.28618300000005,-292.713817,-38.87301686586985,0.6899418021248339,0.9895736704761904,5.307497977927457,0.8089780000000002,2.938066,64.76190476190476,511.0,224.0
category=PHYS ACTIVITY SUPP,427,201.0,177.53143,-23.468570000000003,-11.675905472636817,0.6489611840796019,0.30548289929742384,0.6488729240265669,0.29680799999999996,1.1249310000000001,48.24355971896955,168.0,83.0
category=REMOVAL WAX CREAM,178,150.0,128.921825,-21.078174999999998,-14.052116666666665,0.5854995266666666,0.49339847752808985,0.7908167088974388,0.934715,1.710651,64.04494382022472,111.0,74.0
category=RESPIRATORY AND SL,2,0.0,0.157154,0.157154,0.0,0.0,0.078577,0.078577,0.078577,0.078577,0.0,0.0,2.0
category=REVLON,2558,599.0,516.262036,-82.737964,-13.812681803005008,0.6445585275459098,0.15093454182955435,0.3656228692144488,0.074293,0.9894245500000004,63.917122752150114,540.0,361.0
category=REVOLUTION PRO,67,15.0,18.261074,3.261074,21.740493333333333,0.6516673333333336,0.1458956716417911,0.35011673142884486,0.074293,0.5513897999999989,50.74626865671642,15.0,0.0
category=RIMMEL,2315,810.0,670.5644540000001,-139.435546,-17.214264938271604,0.6084748419753087,0.2129004846652268,0.5510238127233356,0.074293,0.996692,64.75161987041037,722.0,235.0
category=SALLY HANSEN,1060,423.0,345.21522,-77.78478000000001,-18.388836879432628,0.556990780141844,0.22227084905660377,0.5054455887455894,0.08183000000000007,0.997681,67.16981132075472,352.0,87.0
category=SEASONAL,11,2.0,1.6664180000000002,-0.33358199999999993,-16.6791,0.37138299999999996,0.06752418181818182,0.11675882966805784,0.026686,0.26908699999999997,18.181818181818183,0.0,0.0
category=SEASONAL CONFEC,2,0.0,0.053372,0.053372,0.0,0.0,0.026686,0.026686,0.026686,0.026686,0.0,0.0,0.0
category=SEXUAL HEALTH,46,37.0,48.76657300000001,11.766573,31.801548648648648,0.6722313783783783,0.5407078478260869,0.8113568022903391,1.075615,1.34970175,43.47826086956522,30.0,7.0
category=SHAMPOO CONDITIONE,1809,1840.0,1404.8860680000003,-435.113932,-23.647496304347825,0.6470747152173913,0.658163336650083,1.6912173437543385,0.5856460000000001,2.56561,66.94306246545052,1390.0,651.0
category=SINGLES FEMALE,1283,316.0,316.02722500000004,0.027225000000001387,0.008615506329114363,0.7316961803797467,0.18021511535463755,0.5070619311068635,0.078577,0.998517,27.90335151987529,276.0,91.0
category=SINGLES MALE,512,113.0,122.33525900000001,9.335259,8.26129115044248,0.7628276194690266,0.168358439453125,0.46957358102736285,0.078577,1.0593063999999996,23.4375,101.0,23.0
category=SINUS,86,59.0,51.377617,-7.6223829999999975,-12.919293220338979,0.6134432033898306,0.4208505697674419,0.8797550769063512,0.779371,1.5254687500000002,73.25581395348837,45.0,6.0
category=SMOKING GUM,66,9.0,10.934049,1.9340489999999997,21.48943333333333,1.319416333333333,0.17992040909090906,0.44250368682222024,0.078577,1.075615,25.757575757575758,9.0,1.0
category=SMOKING LOZENGE,35,9.0,15.559698999999998,6.559698999999999,72.88554444444443,0.8339534444444445,0.21444517142857145,0.4807240635130957,0.078577,1.283324799999998,48.57142857142857,8.0,1.0
category=SMOKING PATCH,15,1.0,2.0059329999999993,1.005933,100.5933,1.005933,0.0670622,0.11528852252356546,0.0644925,0.17753979999999964,40.0,1.0,2.0
category=SMOKING SPRAY,14,2.0,2.032621,0.03262100000000011,1.6310500000000054,0.5885845000000001,0.0840835,0.1617173687458197,0.078577,0.2513709499999998,78.57142857142857,2.0,2.0
category=SNACKS,16,33.0,55.592380000000006,22.59238,68.46175757575757,0.8386258181818182,1.7296657500000001,2.6312166510955297,2.0769085,5.7985685,50.0,33.0,0.0
category=SPORTS NUTRITION,34,55.0,22.932578,-32.067422,-58.30440363636363,0.8336816,1.348602588235294,3.757117332422926,0.997035,4.417491149999991,38.23529411764706,32.0,20.0
category=SUN PROTECTION,842,1893.0,1324.8314260000002,-568.168574,-30.014187744321184,0.7174092551505545,1.612892779097387,4.555686037601824,1.40807875,5.929432649999988,53.32541567695962,1169.0,788.0
category=TAN APPLICATOR,80,167.0,88.044566,-78.95543400000001,-47.27870299401199,0.6048917365269461,1.2627115,2.5512103261040924,1.19293275,6.7803624,56.25,79.0,52.0
category=TAN SET AND REMOVE,24,14.0,11.656898000000002,-2.3431019999999996,-16.736442857142855,0.7890702857142856,0.46029099999999995,0.7617761575825605,0.97696275,1.4751458,66.66666666666666,13.0,4.0
category=TANNING SKIN,667,388.0,327.025821,-60.97417899999999,-15.714994587628864,0.619533394329897,0.36038824137931036,0.7503593209653544,0.394015,1.394015,64.16791604197901,320.0,141.0
