feature_name,feature_family,currently_in_source_frame_flag,brain_eligible_flag,source_module,raw_data_available_flag,derived_feature_available_flag,merge_blocker,decision_value,recommended_merge_action,priority
feature_avg_basket_value_when_present,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
feature_basket_3plus_attach_rate,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
feature_basket_5plus_attach_rate,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
feature_basket_attach_rate,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
feature_sister_club_attach_rate,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
long_tail_mission_sku_flag,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
long_tail_protection_value,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
optimal_base_soh_units,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
overall_regime_opportunity_score,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
overall_regime_risk_score,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
promo_convexity_score,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
promo_discount_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
promo_start_soh_resolved,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
promo_start_soh_source_quality,quality_governance,NO,YES,promo_governance,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
promo_uplift_multiplier,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
range_trust_sku_score,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
recent_momentum_regime,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
replenishment_lead_time_days,supplier_replenishment,NO,YES,derived_or_phase_extension,PARTIAL,MAYBE,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
replenishment_reliability,supplier_replenishment,NO,YES,derived_or_phase_extension,PARTIAL,MAYBE,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
sku_demand_regime,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
store_sales_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
supplier_economic_risk_cost,supplier_replenishment,NO,YES,derived_or_phase_extension,PARTIAL,MAYBE,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
supplier_number_resolved,supplier_replenishment,NO,YES,derived_or_phase_extension,PARTIAL,MAYBE,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
supplier_risk_cost,supplier_replenishment,NO,YES,derived_or_phase_extension,PARTIAL,MAYBE,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
target_day_one_promo_soh,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
target_end_promo_soh,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
unsafe_flag,quality_governance,NO,YES,promo_governance,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
